prefix	input_text	target_text
multilabel classification	akwaugo i da greet oooo i da fell una paroo abeg make u help me with iwa by phyno make i use joylifucate dia cool afternoon	positive
multilabel classification	my big appreciation to everyone thay participated in this poll it means alot to me and fragrance scentuary god bless you ladies shebi una don see am ‍️ west feminine fragrances for unku them abeg dont be dragging male perfumes with men	positive
multilabel classification	just if blesses you abeg no forget the money wey i beg for whatsapp make i fit see tfare go work tomorrow	positive
multilabel classification	na my best number no mean say i go be for age every year na im this year but my demeanor speaks ill be next year ️	positive
multilabel classification	it will be a travesty of justice to include dasuki and not marry him wdiezani on the same stake let di same bullets kee di of dem together	negative
multilabel classification	e dey boring die dm me lets talk na	negative
multilabel classification	i don vex too ocos d one i watch earlier nr add d last part d show b don end for me	negative
multilabel classification	i thought you are supposed to be lecturing us on healthy lifestyle only for you to be asking where is my king e dey kingdom for gwaragwara nation add value im ready for fight come o or say thank you	negative
multilabel classification	joke of a government na thunder way de do press up de wait una	negative
multilabel classification	o boy e don tey wey i hear brymo voice o eko is classic	positive
multilabel classification	please ooo i am not hurt i am just reacting to a tweet i saw about soft men even saw people who have dished pain to the softest men i know waggling their tail there na wetin vex me i am good my women dey try ️	positive
multilabel classification	them don dey sell black market o and baby girl like me cant queue epp us na big daddy	positive
multilabel classification	baba na who dem give dey give thanks i don drop details tire make i smile like others na	positive
multilabel classification	yeah ‍️the guy wants to trend dat was why e join nysc e cant trend with good music again	negative
multilabel classification	see i wont lie to you all the richest people on the tl are the most lowkey na us wey get k for account dey always snap picture every time dey make nonsense noise on top tl	negative
multilabel classification	omo na wetin be all this one na gig don finish again wey na monday afternoon i suball this isps tho	negative
multilabel classification	it will not better for d handlers if this fpl thing oo fraser has always been in my team since the start of the season yesterday dem put caution to his name that he might not play na so i sell am now guy don score goals for st half	negative
multilabel classification	this life is so funny sef you will work hard and buy cloths and shoes and rain will start dictating when to wear them for you because you see rain to wear white na war to wear suede na wahala shoe wey i take my money buy	negative
multilabel classification	lmaoo i no get strength to dey think wetin valverde go play abeg	negative
multilabel classification	dis is unfair of urcompany goingtowks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatum else u willbsurprised my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment	negative
multilabel classification	lil wayne don vex me im actually not excited again	negative
multilabel classification	im not just broke my account red don dim like mad ‍️ e thick pass dirty blood	negative
