headline	text	category	url
Marwako apologize to customers for Ghana wey suffer food poisoning after dem patronize dema restaurant	"Fast food company for Ghana, Marwako extend apologies to customers wey suffer food poisoning after dem patronize dema food. After initial inquiry into de complaints, de fast food company say dem identify about 53 people wey fall victim to food poisoning. Food and Drugs Authority (FDA) shut some of dia branches down over alleged food poisoning allegations after some Twitter users call de Company out on top social media. Spokesperson, Mohammed Amin Lamptey explain say ""de main tin start on Saturday den Sunday evening. We accept everything, we apologize to de victims."" He add say dem also reach out to de victims to support dem and pay for some of dia medical bills. Food and Drugs Authority for Ghana shut down three branches of de fast food chain after social media reports emerge say some customers including kids experience food poisoning. Although de incident happen for dema East Legon branch, de FDA say dem shut de East Legon branch and two other branches which no dey adhere to good kitchen den storage practice. According to FDA, ""we go investigate dis matter well-well den make sure say we take appropriate actions. One Twitter user after reporting to de hospital for stomach pains reveal say en troubles start after he eat for Marwako. After dis tweet, more Twitter users come out to explain dema own experience with food poisoning and diarrhoea. After dis tweet, more Twitter users come out to explain dema own experience with food poisoning and diarrhoea."	AFRICA	https://www.bbc.com/pidgin/tori-61434202
Pierre-Emerick Aubameyang retirement from international football	"Pierre-Emerick Aubameyang - Barcelona striker and Gabon national team captain - don retire from international football. Aubameyang retirement dey come just two weeks before di 2023 Africa Cup of Nations qualifying matches go start. Di 32 year old don show for di Panthers 68 times and score 29 goals for im team. E be di kontri leading scorer of all time. Di Gabon Football Football Federation (Fegafoot) say dem bin get letter from Aubameyang say e wan resign. Di former Arsenal star write for di letter say, ""afta 13 years wey I don represent my kontri with pride, I like tell you say I dey end my international career"". ""I go like thank di Gabonese pipo and di pipo wey don support me for good times and also bad times. ""I go always get great memories like di day I debut, or di day I carry di African Player of di Year award comot Nigeria."" ""I wan thank my papa wey make wan be like him and I hope I make am proud as I wear our colours"". Fegafoot for statement say, ""Pierre-Emerick Aubameyang go always be model for future generation. Di big football family go fit count on im knowledge for future"". Dem born Aubameyang for France and im bin play for di French under 21 side before im move to Gabon to follow im papa footsteps. Pierre-Emerick Aubameyang papa bin captain Gabon for dia first Nations Cup finals for 1994. For im international debut for 2019, Aubameyang score one goal to push Gabo to win dia match against Morocco. E don also follow im team play for four African Cup of Nations finals for im kontri. For 2016, e go on to win di African Player of di Year and also gbab award as part of CAF best elven. E don paly for inside 9 World Cup Qualifier matches and six African Cup of Nations Matches Di striker bin dey di Gabon squad for di delayed 2021 Nations Cup but miss all dia games for Cameroon because of two tins. Di first one be say im catch Covid-19, and afta dat im come get wetin tori be say na 'heart lesions'."	AFRICA	https://www.bbc.com/pidgin/sport-61511326
Anna Qabale Duba: Meet World Best Nurse wey escape forced marriage at 14	"One Kenyan nurse wey dey fight against early marriage and female genital mutilation say she dey ""speechless"" afta she win di prize of $250,000 ( 205,000). Fellow workers wey dey work with Anna Qabale Duba say she dey always go di extra mile for odas for her community for di northern county of Marsabit, and even ger school for her village. She tell BBC Newsday say, ""dis award go help expand my school all ova Kenya"". Di classrooms for Torbi Pioneer Academy dey teach pikin dem for morning, before dia parents go classrooms for literary clases and sometimes den dey give di two age groups go get di homework. Ms Qabale say she be di only girl for Torbi village wey don go university, and di only girl wey get past primary school education for her family wey get 19 children. Di 31 year old get Masters for Epidemiology and get foundation to empower girls and mama dem. She tell BBC say, ""I de so passionate about education. Afta I chop di fruits of education, I decide I go go home to empower di rest"". She sat family and di community na her hey influences even as she dedicate di nursing award to her late brother wey partially pay her university education. With her Qabale Duba Foundation, she use di school wey she build for her village to also teach parents about di koko wey dey sexual and reproductive health mata. She dey work as nurse for di Marsabit County Referral Hospital, she dey try end tins like female genital mutilation (FGM) and early marriage, and na for her work for dia areas wey di Dubai based Aster DM healthcare say she beat pass 24,000 nominees to win dia Global Nursing Award. Ms Qabala tell di BBC say, ""E no easy to tok about dis kain tins for public. As woman, and from di kain male dominated family, e no easy to tok about am but I dey really try my best"". ""I dey use education as excuse for di advocacy wey I dey do for dis kain tin."" Di mama of one wey don marry, tok about wetin do her wey make am hold di beliefs she get. She say, ""I bin get female genital mutilation at di age of 12, and I bin escape early marriage at di age of 14"". Even though FGM dey illegal for Kenya, around 91% of girls and young women still dey face am for di kontri northern regions, according to di Kenya Anti-FGM board. Parents dey carry dia daughters cross border to anoda kontri so dem go fit escape Kenya strict laws. Colleagues sat di ginger wey Ms Qabale get don all women and girls see di rights dem get ova dia health. ""She sabi well-well di palava wey young girls dey face,"" na wetin Hassan Halakhe, wey be director of preventive promotion health services for Marsabit County Referral Hospital, tell BBC. ""Many of dem no dey miss class because dem dey give dem free pad for dia periods. Dem dey also teach dem how dem fit make reusable pads."" Dis Dunbai awardd na di second high profile accolade Ms Qabale dey get as for 2019, she win di Global Citizens' People's Choice Award for New York."	AFRICA	https://www.bbc.com/pidgin/tori-61440343
Ghana taxi driver wey return Ghc8,400 to passenger receive over Ghc35,000 cash as reward	"Wen Isaac Ackon decide to return de Ghc8,400, big money he find inside en taxi back to de owner, he never imagine say de ""God bless you"" wey de fishmonger talk am go turn to instant reward. Emotional video of de taxi driver returning de money show as de fishmonger dey hug am, she dey cry in shock say de honest man drive all de way back to her house to give her her money. Neighbours of de fishmonger join her to hug and thank am for de rare honesty he show de elderly woman who reveal say she no fit sleep afta she lost her money. As fate will have it, de kind gesture of de taxi driver dey move Ghanaians to reward am for de good works, including even de Vice President of de country. Vice President, Dr Mahamudu Bawumia reach out to de man who he gift am Ghc20,000. As if that no be enough, other Ghanaians including musician Kidi also gift am Ghc5000, while another investigative journalist, Manasseh add Ghc2,500. Other contributions wey come in from different sources dey around Ghc20,000 cash rewards. Meanwhile, former Black Stars Captain, Asamoah Gyan also request to meet de taxi driver. When dem ask Isaac Ackon say why he return de money, en response be say sake of en Christian values. ""If you be Christian, you for always be different from non-Christians"" he talk Accra-based Fourth Estate. According to him, he no even count de money, he just know say he for return de money. So after worshiping for en church he drive go de house of de fishmonger for Teshie, wey he return de money. Mr Ackon be taxi driver for Accra who dey feed en family through en taxi driving. Despite say he dey drive, de condition of en old car dey make an difficult to compete in de transport business which ride services like Uber dey take over. He talk say of the reasons he also decide to return de money, be sake of en mother be trader wey he know how dem dey struggle to do business. So as he pick de fishmonger from de Matata market for Accra wey she leave de money, he know say de money be key to her survival as a trader. De father of three in addition to being a family man and self employed, be strong Christian who dey worship for de Church of Pentecost, Ghana. Hundreds of Ghanaians take to social media to celebrate de taxi driver for en honesty. Meanwhile, de donations from different people dey pour as more and more people feel say de honesty to return all de money in dis financially difficult times be evidence say good people still dey."	AFRICA	https://www.bbc.com/pidgin/tori-61419575
2023 Election: Nigeria Senate President admit mistake on Electoral Act amendment	"Senate don amend di Electoral Act 2022 to allow statutory delegates to participate and vote for party conventions, congress and meetings. Statutory delegates include President, Vice President, State and National Assembly members, Governors and dia deputies. E no end dia o, Chairmen of Councils, Councillors, National Working Committee of political parties, Chairmen and Vice Chairmen of political parties dey among too. And before now di law bin no permit dem to vote. Dis amendment fit affect di primaries wey political parties go hold later dis month. Who and who go fit attend dis convention and congresses to vote as delegates? Na dis question wey make di Nigerian Senate, wey be di upper chamber of parliament change di Electoral Act Amendment Bill. Di lawmakers create space for statutory delegates to participate for party conventions, congresses or meetings of political parties for di kontri. Nigeria President Muhammadu Buhari bin sign di Electoral Act Amendment Bill 2021 into law for February. Dis new law go affect di way political parties go prepare for di 2023 general elections. House of Representatives dey expected to vote on di amendment on Wednesday. Consideration happun wen dem suspend some relevant Senate Rules way open road for di First, Second and Third Reading of di bill on Tuesday) for plenary. Deputy Senate President, Senator Ovie Omo-Agege of Delta Central sponsor di bill wit di title A bill for an Act to Amend the 2022 Electoral Act No. 13 and for other Related Matters, 2022 (SB 1002),"" For im Lead Debate, Senator Omo-Agege say di amendment dey necessary to korect one mistake'unintended error' wey dey inside di Electoral Act wey President Muhammadu Buhari sign dis year. E add say dis go make sure say both statutory and elected delegates go participate for conventions, congresses of political parties. "" Section 84 of di Electoral Act, 2022 not provide for di participation of wetin we know generally as statutory delegates for conventions, congresses or meetings of political parties. ""Di extant subsection only clearly provides for di participation of elected delegates for di conventions, congresses or meetings of political parties wey dem dey hold to nominate candidates of political parties. ""Dis na mistake wey we no plan na im make we say make we korect am, and di only wey to korect am na to amaend am now wey e dey our front e tok Senator Uche Ekwunife (PDP, Anambra Central) wey second di motion say di amendment go make sure say statutory delegates no dey disenfranchised for di primaries of political parties to elect candidates for di 2023 General Elections. Afta di First and Second Reading of the Bill, Senate Leader, Yahaya Abdullahi (APC, Kebbi North), move for di suspension of Rule 80 (1) of di Senate State Order to allow di clause-by-clause consideration of di bill by Committee of diWhole. Afta di approval, Senate President, Ahmad Lawan explain say di move na 'emergency effort to make sure say statutory delegates no dey disenfranchised for di forthcoming primaries of political parties. Im say wen di processes don finish for di both chambers of di National Assembly, dem go send di bill to di Executive to approve am dis week. Statutory delegates include President, Vice President, State and National Assembly members, Governors and dia deputies. E no end dia o, Chairmen of Councils, Councillors, National Working Committee of political parties, Chairmen and Vice Chairmen of political parties dey among too. na remember say di ruling part for Nigeria, di All Progressives Congress (APC) tok say all Presidential Aspirants need signatures of 10 statutory delegates from di 36b states of di kontri, including di FCT. So di amendment mean say dis pipo go. Also take part for di voting of candidates."	AFRICA	https://www.bbc.com/pidgin/tori-61401093
Somalia election: Presidential election wia just 329 pipo vote	"By di end of Sunday, Somalis suppose know who dia next president be, but na only di 329 lawmakers dey take part for di voting wey dey hold for heavily secure area. Di unusual circumstance show di kontri security issues and lack of democratic accountability. Di winner among di 39 candidates go also deal wit di impact of di ongoing drought wey di kontri dey experience. But di big task na to take control of much of Somalia from al-Shabab. Di al-Qaeda-linked Islamist militant group continue to dominate large parts of di kontri and carry out frequent attacks for di capital, Mogadishu and oda places. Di African Union dey back di federal goment fight against al-Shabab wit 18,000 troops. Di United Nations dey also back di kontri. Somalia neva get one-person-one-vote democratic election since 1969. Na coup, dictatorship and conflict wey involve clan militias and Islamist extremists follow di vote of 1969. Di instability na one of di reasons why Somalia never fit hold direct elections. Dis na even di third time di indirect election for president dey take place for Somalia. Na neighbouring Kenya and Djibouti dem hold di previous ones. Di current President, Mohamed Abdullahi ""Farmajo"", two former presidents, Sharif Sheikh Ahmed and Hassan Sheikh Mohamud, and former prime minister Hassan Ali Kheyre dey among di 39 candidates wey dey contest. Dis four pipo, along wit di President of Somalia Puntland region, Sa'id Abdullahi Deni, dey considered to be di frontrunners. Dia manifestos focus on political stability, improving security and economic reforms. Fawzia Yusuf Adam wey be former foreign minister na di only woman among di contestants. Na last year dis vote suppose happun wen Mr Farmajo four-year term finish. But political differences and instability delay di poll and di president remain for power. Di MPs wey go choose di next president on Sunday dey elected by di delegates wey di kontri powerful clans nominate. Dem go gada inside large airport hangar for Halane Camp wey dey well guarded. Dis na di main military base of di AU's mission for Somalia (Atmis), and na also di home of diplomatic missions and aid agencies. Voting go be by secret ballot and e dey expected say several rounds go dey before one candidate win. Allegations of voting buying where candidate collect money for support affect past elections. For previous elections, al-Shabab threaten and even kidnap clan elders afta dem condemn dem say dem participate for wetin dem see as poll wey no dey Islamic. Dis time around, dia response to di elections dey muted and fear dey say members or sympathisers fit dey secretly seek parliamentary seats so dem go fit cause kasala from inside. President Omar Guelleh of neighbouring Djibouti publicly express di fear in 2020. Dem quote di president: ""I fear say we go end up wit a parliament wey dey indirectly controlled by al-Shabab sake of say dem fit don buy di support of some of di MPs."" Some analysts feel say Mr Guelleh dey exaggerate di possibility of al-Shabab gaining power for parliament, but doubt no dey say na major political force for Somalia. On top of di continued threat from al-Shabab and di need to skata di militants, Somalia dey suffer from drought wey don hit kontris across di region. E don spark humanitarian crisis where 3.5 million Somalis dey at risk of severe famine, according to di UN. Pastoralists wey don lose dia herds dey come into di towns and cities to look for way to survive. Di kontri also dey affected by food and fuel inflation wey di fuel for Ukraine cause. Pressure dey complete di constitutional process and ensure say di kontri get democratic elections in di next four years. However, Somalia power-brokers agree say one-pesin vote elections go hold dis year, and dem fail to fulfil di promise."	AFRICA	https://www.bbc.com/pidgin/tori-61454730
Freedom Jacob Caesar: Nana Kwame Bediako defend keeping two tigers for im house	"Freedom Jacob Caesar decision to keep two tigers for im house inside Accra bore Ghanaians. Residents around im area recently cry out claiming say di tigers don attack two pipo and dem injure, but e no dey confirmed. Ghana Police say dem receive complaint say tigers dey live for residential facility. Dis tigers belong to businessman Nana Kwame Bediako, popularly known as Freedom Jacob Caesar. ""Di animals stink. Dem hold dem inside an apartment wia dem no get access to proper fresh air. ""As soon as di door open, you go smell a strong unpleasant smell wey dey come from dem."" Na so one of di residents lament to tori pipo for Daily Guide. Freedom Jacob Caesar admit say im get two tigers for im house inside di capital city. Im be social media celebrity for Ghana wey dey share a dream of building a united Africa. ""E no make sense to get wild animals, tigers for dat matter, for estate wey dey for di heart of di city. ""Wia e just be less than a meter between di houses and also without any proper training and care [for dem]. 'We ask which institution authorise dem to put up a structure for di animals for one residential area.' ""Dem tell us say dem no owe us any explanation and so dem no go provide any such authorisation to us. Na wetin di resident add. But di mata don become a public concern. Residents claim say dem contact Ghana Wildlife Society to complain but di situation no change. ""Even if dem get any such authorisation, e only belong to dem."" ""Anytime we call to find out how far, dem dey toss us. ""Sometimes dem go tell us say di officials don travel and e get plenty back and forth. ""Dem no dey tell us anything and dis na di reason we report di matter to di police. ""If we no hear from Wildlife Society afta some time."" Di resident tok. Freedom Jacob Caesar tell journalists say im bring di wild animals for tourism purposes. And e say conversation bin dey go on between im and Ghana Tourism Authority on wia and how to keep dem to boost tourism. ""I wan go into di Safari wild to make sure say Ghana become di first kontri for di whole of West Africa. ""East Africa and central Africa except for South Africa wey don already get dis wild animals. ""Na why I buy di male and di female version of am."" Freedom Jacob say im get di 7 months old tigers on a bid for Dubai as a private investor. E add am say no be im intention to endanger di lives of di residents wit di tigers. ""I don consider di danger side and I no dey here to harm pipo. ""And I no dey here to encourage pipo make dem get Tigers to harm pipo."", e tok. Oga Jacob say im bring experts from outside to create a safety cage for di animals make dem for no endanger di public. Im add say e don dey in toks wit di forestry commission . Ghana Police on Thursday say dem receive complaint say tigers dey live for residential facility. ""We don reach out to di Wildlife Division of di Forestry Commission. ""And efforts don start to relocate di animals to an appropriate facility."" Ghana police add say dem don deploy special police team to provide ogbonge security for di affected neighbourhood. Na to ensure safety of residents until dem relocate di animals., di police add."	AFRICA	https://www.bbc.com/pidgin/tori-61526666
Deborah Sokoto 'Blasphemy': Shehu Shagari College of Education shutdown for student death	"Video of di killing of Deborah Samuel for alleged blasphemy inside Sokoto don provoke condemnation across Nigeria. ""Di mob wey descend on di female student also go on a rampage destroying property including vehicles as well as blocking a major highway."" Na wetin Police tok as dem launch full investigation into wetin happun. Dis na full tori of how dem kill Deborah inside Shehu Shagari College of Education for alleged blasphemy. Sokoto state close down di tertiary institution indefinitely afta di student death on Thursday. Deborah Samuel lost her life on di college campus as kasala burst in di morning. Now heavy security dey di school and both goment plus di school authority don order students to go house sake of di incident. One Sokoto based journalist tell BBC Pidgin say wahala start afta one voice note from Deborah drop on a whatsapp group. ""Di voice note wey dem say contain 'blasphamy' word against di holy prophet for Quran don go viral."" Di journalist tok. E no dey clear exactly wetin she tok or share for di voice note. Di mata don become viral conversation with outrage and reaction across Nigeria. Sokoto state Police command don begin investigate di 'killing' of Deborah Samuel. Deborah be 200 level Economics student of Shehu Shagari College of Education. Police tok-tok pesin for di state, tell BBC Pidgin say although di incident happun, di details still dey sketchy. ASP Sanusi Abubakar add say na from di investigation dem go really find out wetin really happun. Tori be say dem mob her to death. Di mob also go on a rampage destroying property including vehicles as well as blocking a major highway. Police say two suspects don dey arrested and di tertiary college don dey closed until further notice. Dis na wetin a local based tori pesin wey dey Sokoto for wia e happun say im hear. ""Dis morning around 9am problem start afta one female student of di school allegedly insult di name of dia holy prophet"" ""So some student for di campus drag her out from her hostel and start stoning her and some dey beat her wit stick"" ""Dem then kill her and set her bodi on fire."" Viral videos on social media dey show footage wey be like di same account of dis Sokoto tori pesin. However, BBC Pidgin no fit independently verify di content of both di viral videos and voice notes. Di tori pesin Abubakar Imam add say; ""From wetin I hear, di student use dia WhatsApp group to make di comment"" ""Dem set up di WhatsApp group for discussing academic activities and oda things, so one student post something on religion on dat group"" ""So di female student comment ontop di mata and in di process of commenting and condemning di action of dat student, she then use di 'blasphemous' words. But di tori pesin no fit repeat or say di exact word wey dem say be di 'blasphemous' words inside di voice note. Sokoto State Govnor Aminu Tambuwal don order di immediate shutdown of Shehu Shagari College of Education. Di govnor on Thursday direct di state Ministry of Higher Education to investigate di immediate and remote cause of Deborah Samuel death. Oga Tambuwal also ask all relevant security agencies for di state to look into Deborah death and report back to di goment. Information Commissioner Isah Galadanci condemn di action of di students for statement wey e release on behalf of di state goment. Armed police and military men don go tanda for di school campus to maintain law and order following di closure. Christian Association of Nigeria Chairman for Sokoto State, wey also confam di incident say e just dey comot of di office of di oga of Nigeria secret police DSS. And dat wetin dem tell am be say Deborah Samuel bin post something for dia class whatsapp group wey her oda mates claim say e dey blaspheme dia prophet. Tori be say di whole tin come lead to heated argument . E say e neva dey clear di nature of content wey di lady post wey dem see am as blasphemy but dat im dey also dey try to find out wetin really happun. Di sultanate council don condemn and describe di killing of Deborah Samuel as unfortunate. Sokoto Sultanate Council ask security for di state to ensure say dem catch all those wet get hand for di death of Deborah Di council say dem condemn di incident in its totality and call for peace in the state. Nigeria most senior Islamic religious leader, di Sultan of Sokoto, Sa'ad Abubakar, don condemn di killing of di Christian student and dey beg for calm. ""Di Sultanate Council don learn with surprise di unfortunate happening for di Shehu Shagari College of Education, (SSCOE) Sokoto wey lead to di loss of life of one female student of di institution. Sokoto state na di seat of di Caliphate - wey mean say na dia di supreme leader of Muslims in Nigeria tanda. And sharia law dey in practice for di south west Nigerian state. Blasphemy na wen person insult or disrespect God, important pesin or object for particular religion or anything wen dem be consider as divine. For Islam, di mata na wen pesin disrespect or abuse important figures for di religion or any Islamic law. Di worst na wen pesin tok bad tin about God or prophet Muhammad dat one na death penalty. While odas like abusing or disrespecting top disciplines or islamic laws get various punishment According to experts, di blasphemy laws dey different and no be all dey lead to death. Divided between a Muslim north and Christian south, Nigeria get general nationwide laws against blasphemy wey Customary Courts fit interpret. Nigeria get specific Islamic laws against blasphemy wey Sharia Courts inside di twelve northern Nigeria states fit interpret. Di Customary law against blasphemy dey for Section 204 of di Criminal Code of Nigerian law book. Dat section forbid any act wey publicly insult any religion and put a prison sentence of up to two years as penalty. Yusuf Sani wey sabi Sharia law say afta Allah, next for Muslims na prophet Muhammad [SAW]. ""And anybody wey disrespect am fit get death sentence."" ""Even regarding disciples of di prophet dem get levels, for example Abubakar, Umar, Othman and Aliyu wey be caliphs and top figures for di religion; ""Dem no dey abuse or disrespect dem or punishment fit follow pesin."" Sani add. Recent blasphemy-related events wey don happun for Nigeria include:"	AFRICA	https://www.bbc.com/pidgin/world-61429170
Marwako apologize to customers for Ghana wey suffer food poisoning after dem patronize dema restaurant	"Fast food company for Ghana, Marwako extend apologies to customers wey suffer food poisoning after dem patronize dema food. After initial inquiry into de complaints, de fast food company say dem identify about 53 people wey fall victim to food poisoning. Food and Drugs Authority (FDA) shut some of dia branches down over alleged food poisoning allegations after some Twitter users call de Company out on top social media. Spokesperson, Mohammed Amin Lamptey explain say ""de main tin start on Saturday den Sunday evening. We accept everything, we apologize to de victims."" He add say dem also reach out to de victims to support dem and pay for some of dia medical bills. Food and Drugs Authority for Ghana shut down three branches of de fast food chain after social media reports emerge say some customers including kids experience food poisoning. Although de incident happen for dema East Legon branch, de FDA say dem shut de East Legon branch and two other branches which no dey adhere to good kitchen den storage practice. According to FDA, ""we go investigate dis matter well-well den make sure say we take appropriate actions. One Twitter user after reporting to de hospital for stomach pains reveal say en troubles start after he eat for Marwako. After dis tweet, more Twitter users come out to explain dema own experience with food poisoning and diarrhoea. After dis tweet, more Twitter users come out to explain dema own experience with food poisoning and diarrhoea."	AFRICA	https://www.bbc.com/pidgin/tori-61434202
Pierre-Emerick Aubameyang retirement from international football	"Pierre-Emerick Aubameyang - Barcelona striker and Gabon national team captain - don retire from international football. Aubameyang retirement dey come just two weeks before di 2023 Africa Cup of Nations qualifying matches go start. Di 32 year old don show for di Panthers 68 times and score 29 goals for im team. E be di kontri leading scorer of all time. Di Gabon Football Football Federation (Fegafoot) say dem bin get letter from Aubameyang say e wan resign. Di former Arsenal star write for di letter say, ""afta 13 years wey I don represent my kontri with pride, I like tell you say I dey end my international career"". ""I go like thank di Gabonese pipo and di pipo wey don support me for good times and also bad times. ""I go always get great memories like di day I debut, or di day I carry di African Player of di Year award comot Nigeria."" ""I wan thank my papa wey make wan be like him and I hope I make am proud as I wear our colours"". Fegafoot for statement say, ""Pierre-Emerick Aubameyang go always be model for future generation. Di big football family go fit count on im knowledge for future"". Dem born Aubameyang for France and im bin play for di French under 21 side before im move to Gabon to follow im papa footsteps. Pierre-Emerick Aubameyang papa bin captain Gabon for dia first Nations Cup finals for 1994. For im international debut for 2019, Aubameyang score one goal to push Gabo to win dia match against Morocco. E don also follow im team play for four African Cup of Nations finals for im kontri. For 2016, e go on to win di African Player of di Year and also gbab award as part of CAF best elven. E don paly for inside 9 World Cup Qualifier matches and six African Cup of Nations Matches Di striker bin dey di Gabon squad for di delayed 2021 Nations Cup but miss all dia games for Cameroon because of two tins. Di first one be say im catch Covid-19, and afta dat im come get wetin tori be say na 'heart lesions'."	AFRICA	https://www.bbc.com/pidgin/sport-61511326
