4220	12900000	"turn off machine"
0	0	"add instant coffee into mug"
21	72800	"go to coffee maker"
5870	217000	"get mug"
13	7450	"pour water into mug"
10	0	"place the coffee filter into the coffee maker"
5	0	"put water in kettle and boil"
1290	5650	"find the coffeemaker"
16	11600	"close filter basket"
0	0	"turn machine on and wait to brew"
3480	2030000	"turn machine off"
30600	1980000	"find filter"
0	0	"put ground coffee into a coffee filter"
1620	17100	"put lid down"
11	55300	"add water to the resevoir"
0	0	"turn pot on to its brew mode"
0	0	"find an electric coffee pot"
0	0	"place water into grind power"
0	0	"fill the coffee maker reservoir with water"
16	5050	"put water in coffee maker"
0	0	"put filter in coffeepot"
937	1310000	"turn on the coffee machine"
0	30	"put coffee grounds in filter"
0	0	"put filter in coffee pot"
32	989	"pour water in machine"
172000	7150000	"roast coffee"
0	0	"make sure the machine has necessary ingredients"
0	0	"put filter in the basket"
14	2300	"turn coffee pot on"
5	0	"wait for coffee to stop dripping"
2300	263000	"put kettle on"
0	0	"when pot is full remove and serve coffee"
1530	14700	"turn on coffee maker"
0	0	"place coffee inside coffee machine"
15	25000	"put grounds in the filter"
24500	70100000	"turn on the machine"
10	99	"turn coffee pot off"
19	4710	"put coffee in filter"
106	45300	"put hot water in a cup"
17700	913000	"pour the coffee"
10	1770	"wait for coffee to be brewed"
0	0	"locate coffee machine"
237000	8930000	"fill with water"
26	124	"put filter in basket"
0	0	"add coffee to coffee pot"
186	15900	"place coffee in filter"
6300	224000	"measure coffee"
10	55	"add coffee to filter basket"
1840	97500	"run hot water through it"
21	38	"wait until the coffee is done brewing"
1680	43500	"pour in cup"
1510000	10400000	"make coffee"
5	0	"pour coffee from pot into cup"
4570	3270000	"turn machine on"
37	1730	"put coffee into filter"
16	96	"measure coffee into filter"
2980	561000	"grind the coffee beans"
0	0	"place water in coffee pot"
10	0	"put filter into basket"
0	0	"get coffe bucket from refridgerator"
8080	696000	"grind beans"
928	235000	"put in new filter"
10	5290	"put water in coffee pot"
5510	1080	"turn maker on"
5	712	"pour boiling water in mug"
22	11700	"pour hot water into mug"
403000	6120000	"pour water"
1190	4230000	"turn on the coffee maker"
0	0	"place holder in coffee maker"
10	2060	"identify coffee pot"
808	62300	"turn pot on"
42	1100	"add water to machine"
1140	5710	"wait for coffee to brew"
725	23300	"plug in coffee maker"
0	0	"put filter in pot"
143	17100	"put water in kettle"
624	1440000	"get coffee bean"
0	0	"place instant coffee crystals into the coffee pot"
15300	1050000	"install filter"
2250	157000	"put ground coffee"
318	31000	"add water to coffee"
16	1760	"place filter in holder"
38900	2860000	"add coffee"
0	0	"open coffe bucket"
0	0	"pour water in coffee machine"
1160	2350000	"turn on the coffee pot"
16100	4960000	"grind coffee beans"
0	0	"audd milk or cream as desired"
0	0	"put coffee inside filter"
60400	5900000	"find coffee"
154	0	"add water to cofee maker"
0	0	"wait until the coffee pot is filled with coffee"
37	224	"place filter in basket"
18500	1380000	"boil kettle"
148000	6190000	"brew coffee"
79800	1390000000	"go to the kitchen"
3380	425000	"clean coffee machine"
5	0	"add water to coffee pot"
0	0	"pour ground coffee in machine"
0	0	"add boiled water to mug"
409	26400	"turn on coffee pot"
16	233	"put filter in coffee maker"
1880	2430	"put pot on burner"
3420000	13800000	"boil water"
10	0	"put filter in coffee machine"
3550	331000	"coffee in cup"
0	0	"fill water in coffeemaker"
16	0	"put water in coffe maker"
0	0	"load the ground coffee powder to the coffee machine"
0	0	"put coffee in coffee machine"
149	0	"turn coffemaker on"
0	0	"watch cup fill up with coffee"
32	2440	"put water in machine"
522000	5600000	"grind coffee"
610000	23500000	"get water"
648	212000	"fill kettle with water"
0	0	"place water into the coffee pot"
0	0	"place coffe urn under brew spout"
0	0	"put a coffee pot under the coffee machine"
16	7690	"switch coffee machine on"
227	4580	"turn kettle on"
0	0	"place coffee in machine"
0	0	"put new filter in coffee machine"
14	227000	"get coffee filter"
5	0	"move to coffee machine"
405	3650000	"walk to the coffee machine"
0	0	"pour coffee into mug when brewed"
0	0	"idenity coffee grounds"
10	2250	"put water in coffee machine"
5	0	"pour water into coffee pot"
2000000	26300000	"press 'start'"
42	0	"pour water in resevoir"
37	470	"put coffee in mug"
1920	11600	"add sugar as desired"
1520	72300	"place in holder"
1390	0	"pour water in the resevoir"
16	509	"put grounds in filter"
449	18900	"add sugar and milk to taste"
115000000	425000000	"stir"
0	0	"wait for the coffee pot to brew the coffee"
5420	669000	"turn on machine"
0	0	"place pot in the brewer"
0	0	"filter the grinded coffee"
17	7600	"turn on coffee machine"
1020000	7680000	"get coffee"
14	11800	"fill filter with coffee"
6680000	51700000	"add water"
0	0	"grind coffee if have beans"
0	0	"pour coffee beans into filter"
0	0	"place coffee grounds in coffee pot"
0	0	"put coffeepot on the coffemakingmachine"
37	19300	"put coffee in a filter"
