4360	"dispose of empty can"
4360	"find the dog s food bowl"
4360	"look into pitiful hungry eyes"
198000	"measure the food"
198000	"open dog food can"
198000	"put dog food in bowl"
198000	"wait for the dog s meal time"
93100	"find measuring cup"
60000	"sweep up crumbs"
2660000	"feed dogs"
9	"pour some into the dish"
551000	"call dog"
551000	"get dogs bowl"
8530	"put water in bowl"
8530	"first you find the dog food"
8530	"give food for the dog"
8530	"put water into the dog s water bowl"
8530	"put food in pet dish"
8530	"put the food in the dog dish"
8530	"pour food into bowel"
396000	"give food to the dog"
1850	"call the dag"
1850	"measure out food into dish"
3840000	"get the dog food"
2240000	"get a bowl"
2240000	"put dogs food in bowl"
2240000	"identify dog dish"
495	"put the tin in the bin"
495	"remove dog food from it s storage area"
495	"give bowl to dog"
3520000	"give water"
3520000	"notify dog of food availability"
3520000	"get can of petfood"
48200	"scoop out the food"
48200	"pour food into dog s bowl"
1270000	"locate food"
1270000	"pour water into the water bowl"
1270000	"place bowl on the floor"
1270000	"open dogs food"
35200000	"take out food"
35200000	"and than you walk to the dog"
213	"pour it into the dog dish"
8940000	"get dog food"
8940000	"open can of petfood"
8940000	"than you poor it in the bowl"
1270	"pour food into bowl"
14800	"place a bowl on the ground"
4740	"tip the bag over"
2	"call the dog to come and eat"
4300	"put dog food in a bowl"
474000	"get bowl"
254000	"locate dog"
281000	"open dog food"
39100	"take out dog food"
6780000	"dog eats"
6780000	"get food from cupboard"
6780000	"take out food dish"
4650000	"open the bag"
7110	"put food in bowl"
74200	"take out the dog food"
74200	"measure the correct amount of dog food"
74200	"call dog to bowl"
74200	"pour some dog food into the dish from the bag"
74200	"open up the dog food bag"
102000	"find dog dish"
102000	"put the pet foods in a bowl"
88	"put the dog food on a plate"
88	"go to dog bowl"
624000	"scoop food"
624000	"catch the pet dog"
624000	"put dog food into the dog s food bowl"
50500	"clean dog dish"
5080000000	"walk"
5080000000	"find the dog s water bowl"
5080000000	"put the dog food into the dog bowl"
5080000000	"put the full food dish in front fo the dog"
5080000000	"fill food dish with dog food"
5080000000	"put food in dog s bowl"
7130	"find the dry food"
22000000	"buy food"
796	"get a tin of dog food"
796	"call the dog to where the plate is"
796	"locate dogs bowl"
796	"place some food into the food bowl"
1030	"pour food in the bowl"
77	"put the food in container"
2080000	"open food"
2080000	"place dog food dish on the floor"
4780000	"feed dog"
4780000	"remove food from  pantry"
2570	"open the dog food bag"
859	"pour it in the dog bowl"
859	"alert dog that food is in dish"
859	"encourage dog to eat food"
659	"place food in dish"
659	"pour the dry food into the dog dish"
56100	"identify dog food"
148	"put the tin opener away"
148	"put bag of food away"
148	"feed dpog"
10800	"get a tin opener"
10800	"place bows in the dog s usual meal spot"
14500	"pour the contents into the bowl"
1830000	"prepare the food"
52800	"call the dog over"
52800	"add water to the water bowl if it is not almost full"
52800	"carry the dog food to the dish"
1740000	"pet the dog"
1740000	"put food tin in the bin"
1740000	"pour specified quantity of dog food into dog dish"
1740000	"put dog food in dogs bowl"
1740000	"ensure pet dog has access to the dish"
1740000	"pour dog food into the dish until it is full"
27500000	"get food"
27500000	"give bowl to pet"
1620000	"pet a dog"
8120	"put bowl back"
8120	"get the dog s food dish"
8120	"put some dog food into the food bowl"
1500000	"call the dog"
1500000	"place the bowl near the dog"
1500000	"put dog food into dog food dish"
1260000	"place in bowl"
7220	"open a bag of dog food"
1930	"use the can opener to open the can"
637000	"open the tin"
6620	"find the canned food"
3570000	"feed the dog"
8910000	"find dog food"
2310000	"locate pet"
2310000	"put measured dog food in dog food bowl"
90500	"take pet food"
6130000	"take the food"
6130000	"find the dog s food"
6130000	"put food bag away"
13700	"place the dish on the floor"
13700	"put petfood in bowl"
13700	"than you get it bowl"
505000	"carry it to the bowl"
