	"scrub a piece of clothing in the tub until it is clean"
	"move clothes from washer to dryer when done"
908000	"add detergent"
1890000	"add soap"
1890000	"close the  cover of the washing machine"
1890000	"insert laundry in washing machine"
1560	"put detergent in washer"
16500000	"close door"
551000	"put clothes away"
12300000	"push start"
12300000	"take clothes to washing machine"
1250000	"get laundry"
14600	"move to dryer"
263000	"fill washer"
263000	"separate the laundry by type"
52400	"find dirty laundry"
52400	"rotate 'wash cycle' knob to start"
68	"separate the laundry by color"
68	"place clothing in washing machine"
322000	"put laundry away"
3590000	"get clothes"
5280000	"go to step 5"
12100	"run wash cycle"
4250	"put dirty clothes in basket"
66100	"start the water running"
421	"pour out detergent"
421	"place dirty clothes in washing machine"
169000	"open washer"
169000	"find clothes washing machine"
169000	"mix laundry soap into the water"
169000	"remove clothes from washer and hang to dry"
13600	"put clothes in washing machine"
4890000	"dry clothes"
78500	"process laundry"
2800	"put clothes in machine"
2800	"place dirty laundry in washing machine"
774000000	"activate"
446000	"start washer"
446000	"wash towels on hot and other clothes on cold"
265	"choose cycle length"
30000	"put liquid detergent"
37700	"put clothes in dryer"
1210	"turn laundry on"
82100000	"go to the laundry room"
82100000	"pour some laundry soap in the washing machine"
42600	"turn on washer"
3790000	"wait 1 hour"
3790000	"wait for wash cycle to finish"
223000	"put clothes in washer"
223000	"put clothes into washer close lid"
175	"choose dirty laundry"
175	"gather laundry in basket"
614000	"add laundry"
76	"sort clothes by colours"
76	"put in required powder amount"
56	"place laundry in washer"
2010	"put in laundry machine"
2220	"gather the dirty laundry"
433	"seperate colours from whites"
1720000	"close lid"
8190	"turn on washing machine"
8190	"place soiled clothes in washing machine"
8190	"put proper amount of detergent into washer"
8190	"put a group in the washer"
8190	"wait for cloths to wash  remove"
16900	"separate lights from darks"
16900	"move to dryer after wash is completed"
117	"check pockets for change"
1420000	"collect clothes"
857000000	"turn on"
857000000	"pour one-half cup of deterget into washing machine"
676000	"start wash cycle"
676000	"add laundry soap to washing machine"
7070	"insert detergent"
58700	"turn on dryer"
129000	"set the washing machine"
129000	"pour 1 measure of powder/liquid soap into washing machine"
129000	"fill washing machine with dirty clothes"
263000	"open washing machine"
25100	"close washing machine"
4300	"fold laudry"
21500000	"load washer"
121000	"run washer"
121000	"when washing machine is done take out clothes"
121000	"place clothes into washing machine"
916000	"fold clothes"
916000	"move clothes from laundry hamper to inside the washing machine"
86	"add cloth softener"
1640	"need dirty clothes"
93600	"turn dryer on"
1200000	"dry laundry"
7390000	"turn on the washer"
3080	"gather dirty clothing"
3080	"wait for dryer to finish and get clothes"
34900000	"change settings"
34900000	"when dryer is done take out clothes"
34900000	"place laundry into washer"
34900000	"when finished put clothes in dryer"
1510	"put soap in washer"
18800	"put in detergent"
18800	"put clothes in washer or sink/tub"
18800	"after washed hang clothes to dry"
17100	"find dirty clothes"
17100	"pick the dirt clothes"
1070	"add the dirty clothes"
6550000	"wash laundry"
2230000	"wash items"
1130000	"get dirty clothes"
1010	"separate laundry into piles"
113000	"choose water temperature"
12800	"gather dirty clothes"
10500	"let clothes dry"
89500	"put in laundry"
10900	"separate clothes by color"
10900	"place detergent in washing machine"
166000	"pick up dirty laundry"
11800	"gather dirty laundry"
11800	"close washing machine lid"
1170000	"need washing machine"
12500000	"select program"
1920	"put laundry inside"
2880	"select washing program"
1220000	"start washing machine"
2030	"put clothes into washer"
2030	"when dryer finished fold clothes"
138000	"put in clothes"
138000	"do not wash white clothes with colored clothes"
138000	"choose washer settings"
1230000	"close drawer"
39500	"turn the washing machine on"
39500	"press button on washing machine to start the wash cycle"
718	"put dirty clothes in washer"
718	"repeat until all clothes are clean"
3040	"find a laundry tub"
3040	"set program and turn on washing machine"
126000	"close washer"
1100000	"add clothing"
669000	"turn on machine"
669000	"put items in dryer or clothes line"
1120000	"sort laundry"
18100	"collect dirty clothes"
18100	"open powder drawer"
18100	"take dirty laundry to washing machine"
4610	"add soap and bleach"
50700	"add laundry detergent"
50700	"run dryer cycle"
57	"fill the laundry tub with warm water"
1860	"put wet clothes in dryer"
1860	"set washing machine to desired setting"
14400	"gather the dirty clothes"
14400	"empty dryer when done"
