0	0	"put the mailing address on the envelope"
20200	2150000	"buy stamp"
8410000	286000000	"walk away"
0	0	"fold letter to fit inside envelope"
43	3230	"write return address on envelope"
10	0	"seal letter in envelope"
5	0	"drive or walk to the mail box"
16	33	"put envelope in mail box"
11	483000	"apply postage stamp"
0	0	"place the envelope into a mailbox"
134000	6830000	"mail letter"
12	1180	"put stamp on letter"
10	124	"drop letter in mailbox"
485	13300	"properly address the envelope"
5	0	"put letter in letter box"
12	3960	"drop envelope in mailbox"
2660	339000	"write return address"
12	0	"drop envelope in mail box"
0	0	"take letter to mailbox"
1600	234000	"put a stamp on the envelope"
0	0	"get envelope and stamps ready"
11	1980	"put return address on envelope"
92300	10500000	"get paper"
26	3220	"put in postbox"
0	0	"put letter into mail box"
16	128	"fold and place in envelope"
0	0	"write to address on envelope"
9340	188000	"close envelope"
12	1030	"place letter in envelope"
1020	9340	"weigh the letter"
0	6	"write the delivery address on the envelope"
27700	1240000	"address the letter"
16	86100	"write the address on the letter"
43	0	"write return address on evelope"
0	0	"fold letter into thirds"
25800	2370000	"add postage"
48	0	"bring it to a mail box"
0	0	"get the letter to the next mailbox"
32	3980	"affix proper postage to the envelope"
722	57500	"put the letter in the mailbox"
10	134	"drop letter into mailbox"
0	0	"put the sender s and recipient s name on the envelope"
0	0	"place envelope in outgoing mailbox"
148	9950	"put postage on the envelope"
0	0	"write return address in top left corner"
0	0	"put completed letter in envelope"
1820	0	"put letter in envilope"
1760	5280	"place the letter in an envelope"
0	0	"put letter in envelope and seal envelope"
6340	463000	"find an envelope"
0	0	"write information sign at the bottom"
2850	4210	"locate a mailbox"
364	3560	"seal the letter in an envelope"
1320	118000	"close the mailbox"
1010	6810	"walk to mail box"
13	2410	"lick flap"
1830	2000	"put letter in envelope"
0	0	"place a stamp on the letter in the upper-right-hand corner"
2800	1220000	"pick up a letter"
11400	1550000	"seal envelope"
1860	531000	"affix stamp"
22	0	"put stamp on evelope"
693	5020	"put the letter in the mail box"
0	0	"print letter if possible"
15	2310	"write forwarding address"
14000	1010000	"seal the envelope"
125000	14300	"adress envelope"
23900	2180000	"get pen"
11	21400	"place the letter in the mailbox"
67600	5780000	"sign letter"
0	0	"post letter in red post box"
10900	759000	"stamp envelope"
595000	48000000	"write letter"
0	0	"discern need for letter"
27	0	"place stamp on letter"
0	0	"put letter in postal mail box"
0	0	"drop letter into post box"
4570	652000	"write to address"
20	0	"locate an evelope"
303000	6630000000	"wait"
0	0	"put in outgoing mailbox"
2180	40100	"put in mailbox"
0	0	"insert letter in postbox slot"
1780	83100	"put in envelope"
9140	40400000	"decide what to write"
22	3410	"put stamp on envelope"
0	0	"write the return address on the letter in the upper left-hand corner"
11400	23	"seal envilope"
5	0	"get paper and pen sit down"
10	87000	"go to post box"
27	129	"insert letter in envelope"
11100	1580000	"find a mailbox"
0	0	"place postage on the letter"
89000	3320000	"fold paper"
6490	474000	"put stamp"
5	0	"write the address to send it to"
0	0	"move to post box"
0	0	"put address and stamp on the front of the envelope"
5250	6690000	"put it in the mail box"
1450	0	"attatch stamp"
282000	986000000	"stamp"
5	0	"stick a postage stamp on the envelope"
20100	873000	"address the envelope"
0	0	"walk with envelope to post box"
0	0	"post at box or post office"
0	0	"place the envelope in the outgoing mail box"
0	0	"it will be sent out to the address"
0	0	"properly address the envelope to the recipient"
1720	90600	"go to mailbox"
54900	2220000	"find paper"
37	452	"take letter to post office"
0	0	"make sure envelope is sealed"
43	99	"stick stamp on envelope"
16	4720	"write the return address on the envelope"
325000	3530000	"sign the letter"
483	10200	"place a stamp on the envelope"
48	1670	"put letter in mailbox"
4660	2630000	"add stamp"
567	3280000	"move to the mailbox"
17	3630	"put the letter in a mailbox"
5	0	"place proper postage on envelope"
10300	765000	"take letter"
0	0	"take letter to postbox"
0	0	"address envelope in front middle of envelope"
2610	128000	"write the address on the envelope"
0	0	"drop the letter into a postal dropbox"
5	0	"put sufficient stamps on the envelope"
0	0	"find mailing place"
