184000000	1080000000	"get out"
63700000	539000000	"shampoo"
52200000	301000000	"shave"
36500000	222000000	"rinse"
16400000	73300000	"undress"
16400000	73300000	"Undress"
16000000	86300000	"step out"
12300000	64500000	"Get naked"
10200000	3590000000	"dry"
9040000	53100000	"get wet"
5970000	5580000	"bodywash"
3260000	33200000	"dry hair"
1490000	544000000	"conditioner"
1350000	7110000	"I shave"
1210000	4900000	"get undressed"
1210000	38000000	"get dressed"
1140000	11100000	"shampoo hair"
694000	5190000	"towel dry"
607000	3830000	"wash hair"
510000	5270000	"disrobe"
422000	2600000	"wash body"
359000	2870000	"condition hair"
342000	11300000	"rinse off"
342000	11300000	"Rinse off"
329000	1820000	"remove clothes"
317000	2440000	"shampoo your hair"
301000	1440000000	"get in."
282000	1440000000	"get in"
281000	7350000	"dry off"
236000	4770000	"Get dry"
166000	1100000	"turn water off"
160000	4550000	"rinse well"
151000	26300000	"Turn off water."
147000	27500000	"turn off water"
140000	1970000	"step in shower"
112000	16500000	"close door"
111000	9040000	"soap body"
104000	2340000	"I rinse"
93600	5200000	"I wash my hair"
90700	17600000	"turn off the water"
85600	3310000	"check the temperature"
83500	143000000	"turn on the water"
83500	143000000	"Turn on the water"
82500	959000	"get soapy"
81300	1370000	"take off clothes"
71200	3900000	"put on clothes"
70800	2540000	"wash face"
68200	23900000	"Go into the bathroom"
61600	1700000	"take off all your clothes"
51800	5460000	"put clothes on"
48500	1740000	"Rinse Hair"
43000	1480000	"remove clothing"
40500	851000	"start water"
36300	25600000	"shut off water"
32300	1570000	"go to bathroom"
29100	1120000	"rinse shampoo"
28500	1830000	"adjust temperature"
26800	1210000	"draw the curtain"
23300	2490000	"turn on water"
23100	2300000	"take clothes off"
22200	1040000	"rinse conditioner"
22100	2530000	"Turn on water."
21900	7830000	"Get into the shower"
21900	59900000	"Step out of the shower"
19600	801000	"wash the body"
18800	8520000	"shampoo and rinse"
18200	75300000	"turn on the shower"
18200	75300000	"Turn on the shower"
17700	8240000	"get into water"
17500	1110000	"I take off my clothes"
16400	1680000	"clean the hair"
15200	1650000	"apply shampoo"
14300	787000	"get bath"
13900	801000	"apply soap"
12300	1240000	"shave face"
11500	891000	"wash out hair"
