268000	"close the shower"
817	"clean body with them"
2600000	"wash body"
94700	"I soap up"
52	"put shampoo on head"
52	"place clothes in hanger"
1050	"adjust for desired temperature"
16500000	"close door"
64500000	"Get naked"
64500000	"Scrub hands a little."
64500000	"get in when warm"
64500000	"Turn on lighs in the bathroom"
1650000	"apply shampoo"
1650000	"set handle to correct temperature"
502000	"wash everything else"
1680000	"clean the hair"
9540	"open shower tap"
1480000	"remove clothing"
1480000	"scrub soap over your body"
145	"Turn on showerhead."
8	"Use soap to wash body"
333000	"leave shower"
11100000	"shampoo hair"
411000	"turn off shower"
223000000	"get in the bathroom"
146000	"get into shower"
891000	"wash out hair"
16000	"put shampoo on your hair"
133000	"rinse and dry off"
959000	"get soapy"
11300000	"Rinse off"
310000	"close curtain"
26300000	"Turn off water."
1520000	"rinse body"
1240000	"shave face"
73300000	"Undress"
2300000	"take clothes off"
75300000	"turn on the shower"
1100000	"turn water off"
1100000	"Get in when water comfortable."
2110000	"adjust water temperature"
10100000	"turn water on"
893000	"I turn on the warm water"
69300	"get off bathroom"
203000	"I water down"
143000000	"Turn on the water"
301000000	"shave"
772000	"turn cold water on"
674000	"rinse face"
7110000	"I shave"
7830000	"Get into the shower"
124000	"Go in bathroom"
4400	"wash face with cloth"
73300000	"undress"
1590	"rinse body well"
1590	"add soap to cloth as needed"
45	"put soap on washcloth"
45	"put bath soap on body"
143000000	"turn on the water"
6030	"wet entire body"
136000	"wash and rinse hair"
1080000	"Get out of shower."
60300	"shave if needed"
2530000	"Turn on water."
3900000	"put on clothes"
2340000	"I rinse"
2340000	"adjust the position of shower"
2340000	"I get in from the left side"
525000	"open the shower"
4780	"dress in clean clothing"
9850	"get shampoo and soap"
7000	"Use shampoo to wash hair"
7000	"soap body with soap or gel"
3190	"put conditioner on hair"
1700000	"take off all your clothes"
3830000	"wash hair"
12200	"dry off with towel"
12200	"Get soap  shampoo ready."
75300000	"Turn on the shower"
333000	"turn on shower"
506000	"get in shower"
2170	"wash shampoo out of hair"
562000	"remove the clothes"
3590000000	"dry"
3590000000	"Use cloth  etc. to scrub body."
4550000	"rinse well"
337000	"put clothes back on"
2260	"wash conditioner out of hair"
5190000	"towel dry"
200000	"come out of bathroom"
86300000	"step out"
86300000	"peeloff dresses"
55500	"enter shower"
338	"dry the hair with dryer"
338	"wipe off excess water off self"
25600000	"shut off water"
4900000	"get undressed"
8520000	"shampoo and rinse"
10500	"adjust temperature to your liking"
94900	"apply conditioner to hair"
1040000	"rinse conditioner"
40900	"wash the rest of the body"
40900	"feel for good temperature"
400000	"turn on fan"
27500000	"turn off water"
12500	"rinse off lather"
1440000000	"get in"
2810000	"Get into the tub"
1370000	"take off clothes"
4770000	"Get dry"
1500	"retrieve towel"
801000	"apply soap"
5200000	"I wash my hair"
3970	"wash everywhere else"
32400	"turn on exhaust fan"
1210000	"draw the curtain"
574	"close door or curtain"
33200000	"dry hair"
851000	"start water"
4820	"use soap all over your body"
4820	"repeat soaping body"
1820000	"remove clothes"
17600000	"turn off the water"
17600000	"turn hot and cold water off"
53100000	"get wet"
9470	"wash body with soap"
1570000	"go to bathroom"
14100	"dry off body"
1970000	"step in shower"
27500	"exit shower"
7490	"step into spray"
56300	"get hair wet"
1740000	"Rinse Hair"
3310000	"check the temperature"
399000	"wait for hot water"
5270000	"disrobe"
36800	"apply shampoo to hair"
24100	"Get off the tub"
2870000	"condition hair"
2870000	"close tap when you feel to"
582000	"wash hair out"
539000000	"shampoo"
297000	"wash face and neck"
1080000000	"get out"
9040000	"soap body"
9040000	"scrub the body parts"
9040000	"rinse the body in shower"
2840000	"turn off tap"
2840000	"adjust to cold or hot water"
5460000	"put clothes on"
1830000	"adjust temperature"
1830000	"keep towel near"
2490000	"turn on water"
787000	"get bath"
1250	"wet the whole head"
38000000	"get dressed"
1440000000	"get in."
61	"close curtain or door"
544000000	"conditioner"
1120000	"rinse shampoo"
936000	"enter bathroom"
8240000	"get into water"
1110000	"I take off my clothes"
26600000	"Wash my head"
48200	"get in bathroom"
48200	"put face scrub on wash cloth"
59900000	"Step out of the shower"
59900000	"Dry body and hair with towels."
227000	"shave if necessary"
7460	"Wash hair if desired."
1200000	"take off close"
1170000	"rinse soap"
41300	"apply clothes"
41300	"wash ur arms and legs"
312	"dry self with towel"
203000	"turn hot water on"
203000	"Get washcloth  sponge  etc."
203000	"Use showercap with no shampoo"
56	"dry the body with towel"
176000	"exit the shower"
7350000	"dry off"
23900000	"Go into the bathroom"
23900000	"Clean certain parts last.."
801000	"wash the body"
5580000	"bodywash"
101000	"rinse off soap"
8630	"I get out and towel dry."
2440000	"shampoo your hair"
22700	"use shampoo and soap"
11300000	"rinse off"
11300000	"more soap on washcloth"
222000000	"rinse"
2540000	"wash face"
