	"decide on what item you want to puchase"
775	"press desired selection"
44100000	"press the button"
723000	"choose goods"
2570000	"press code"
19900	"locate vending machine"
19900	"wait for product to drop"
29500	"put money in machine"
2480000	"go to a vending machine"
2480000	"place money in vending machine"
33900000	"select item"
33900000	"insert funds into vending machine for desired item"
49800000	"pick up your item"
49800000	"open slot to remove item  enjoy"
23800000	"select a product"
23800000	"depress button indicating desired item"
3160	"identify vending machine"
55	"select correct product code"
55	"get item from dispenser"
8870000	"pick up product"
8870000	"internally choose product"
10300000	"get product"
10300000	"select object to be bought"
269000	"select item to buy"
269000	"wait for goods to drop"
11200000	"select item you want"
11200000	"push button retrieve item bought"
41800000	"take money"
3490000	"putting in a dollar"
3490000	"select an item by pushing it s button"
3490000	"choose vendindg machine"
170000	"take out goods"
170000	"put coins into machine"
34600000	"put money in"
851000	"find vending machine"
851000	"obtain purchased item"
851000	"change paper money into coin"
106000	"press selection button"
24600000	"make selection"
24600000	"put in correct amount of money"
3520000	"find change"
892000	"press selection"
3910000	"find machine"
203000000	"push button"
2480	"put money in vending machine"
2480	"determine item to purchase"
2480	"retrieve product from vending machine"
1080000	"press number"
2130000	"look for money"
2130000	"insert correct amount of change"
1470000	"approach machine"
8910000	"pick up item"
517000000	"choose what you want"
153000000	"get money"
276000000	"put in the money"
55300000	"select product"
903000	"insert change"
903000	"choose the product you wish to have"
2290000	"recieve item"
5340000	"enter product code"
884000	"look at code"
884000	"reach into flap"
944	"aquire change"
3830	"determine desired product"
3830	"locate necessary funds to purchase item"
294000000	"remove item"
168000	"feel thirst"
18600000	"choose product"
7980000	"take out your item"
7980000	"listen for item to drop"
7980000	"place correct amount of money in machine"
9020000000	"done"
88400	"take money from pocket"
88400	"make selection by pressing appropriate buttons"
3920000	"put in money"
3920000	"remove item from tray"
660	"put money into vending machine"
703000	"take change"
9580000	"type in code"
3540000	"retrieve product"
3540000	"open door and grab item"
54	"retreive selection"
223000	"place money in the machine"
23500	"go to vending machine"
23500	"take your change if any"
23500	"selecting what food/drink you want"
85000000	"press button"
651000	"select desired item"
1680000	"insert coins"
347	"collect change if any"
63	"insert money into machine"
63	"take out required money"
16800	"identify desired product"
16800	"take the product from the machine"
33000000	"decide what you want to buy"
55400	"put in coin"
55400	"obtain change (if necessary)"
402000	"collect change"
332000000	"decide what you want"
332000000	"select that item on the screen"
3560000	"count money"
313	"walk towards machine"
313	"put correct money in slot"
8120000	"get your change"
1490000	"buy machine"
1490000	"insert the right money"
1490000	"watch item fall"
1490000	"identify price of product"
60200	"grabbing the item"
5770	"put coins in slot"
31500000	"get item"
31500000	"put change in machine"
988	"recieving your change"
988	"see how much item costs"
988	"press the button for the product"
765000	"insert money"
765000	"take item from machine"
51000	"locate coins"
21700000	"push the button"
574000	"consume the product"
1190000	"choose item"
