take off all your clothes,Turn on lighs in the bathroom,enter bathroom,get in the bathroom,Go in bathroom,remove clothes,get undressed,disrobe,remove the clothes,Get soap  shampoo ready.,take off close,take off clothes,turn on water,turn on water,turn on water,Go into the bathroom,I turn on the warm water,go to bathroom,go to bathroom,get in bathroom,turn on water
adjust temperature to your liking,Get naked,turn on shower,turn on the shower,close door,turn on water,start water,turn on the water,place clothes in hanger,Get washcloth  sponge  etc.,turn on water,start water,adjust temperature,get wet,remove clothing,Turn on the shower,I take off my clothes,undress,remove clothes,peeloff dresses,turn on fan
scrub soap over your body,Turn on the water,set handle to correct temperature,adjust the position of shower,take clothes off,feel for good temperature,adjust water temperature,get in,turn on the water,Turn on water.,wait for hot water,get into water,shampoo and rinse,put shampoo on head,get into shower,Undress,I get in from the left side,turn hot water on,keep towel near,open the shower,undress
wash ur arms and legs,Get into the tub,take off clothes,use shampoo and soap,turn water on,step into spray,step in shower,draw the curtain,check the temperature,Turn on showerhead.,turn on shower,rinse body,conditioner,wash and rinse hair,close curtain,Get into the shower,I water down,turn cold water on,open shower tap,get bath,get in shower
wash everywhere else,Wash my head,enter shower,wash the body,get in when warm,close door or curtain,close curtain or door,apply soap,wet entire body,Use showercap with no shampoo ,get hair wet,soap body,bodywash,put soap on washcloth,shampoo hair,Rinse off,I soap up,adjust for desired temperature,adjust to cold or hot water,close the shower,get wet
rinse and dry off,wash the rest of the body,use soap all over your body,wash the body,get wet,shampoo hair,wash hair,apply shampoo,wet the whole head,Get in when water comfortable.,apply shampoo to hair,rinse off soap,wash face,wash face and neck,wash body,Use soap to wash body,I shave,get in.,get shampoo and soap,get dressed,shampoo your hair
put clothes back on,Get off the tub,put shampoo on your hair,come out of bathroom,get soapy,wash body with soap,wash body,rinse,clean the hair,Use cloth  etc. to scrub body.,shave face,wash hair,rinse,more soap on washcloth,rinse off lather,Rinse off,I rinse,apply shampoo to hair,clean body with them,get off bathroom,wash hair out
null,Get dry,rinse well,null,rinse soap,rinse off,shave,dry,put bath soap on body,Clean certain parts last..,wash shampoo out of hair,condition hair,turn off tap,wash everything else,turn off water,Use shampoo to wash hair,I wash my hair,rinse shampoo,close tap when you feel to,null,condition hair
null,null,put face scrub on wash cloth,null,shampoo,turn off water,rinse,apply clothes,scrub the body parts,Scrub hands a little.,apply conditioner to hair,turn off water,towel dry,add soap to cloth as needed,dry off with towel,Rinse Hair,I get out and towel dry.,apply conditioner to hair,dry self with towel,null,wash body with soap
null,null,wash face with cloth,null,rinse,leave shower,shut off water,null,rinse the body in shower,Wash hair if desired.,wash body with soap,dry off body,turn on exhaust fan,rinse,exit shower,Step out of the shower,null,rinse conditioner,null,null,wash face
null,null,rinse face,null,shave if needed,dry off,null,null,turn off the water,Get out of shower.,wash conditioner out of hair,null,put on clothes,turn off water,null,null,null,soap body with soap or gel,null,null,shave if necessary
null,null,put conditioner on hair,null,get out,null,null,null,exit the shower,Turn off water.,turn off shower,null,dry hair,retrieve towel,null,null,null,rinse body well,null,null,wash out hair
null,null,repeat soaping body,null,dry off,null,null,null,dry the body with towel,Dry body and hair with towels.,turn off water,null,null,dry off,null,null,null,turn hot and cold water off,null,null,turn water off
null,null,rinse well,null,get dressed,null,null,null,dry the hair with dryer,null,dry self with towel,null,null,exit shower,null,null,null,step out,null,null,wipe off excess water off self
null,null,turn off shower,null,null,null,null,null,put clothes on,null,null,null,null,null,null,null,null,dry off,null,null,dry off with towel
null,null,dry off with towel,null,null,null,null,null,null,null,null,null,null,null,null,null,null,dress in clean clothing,null,null,get dressed
