Text,Tags,Time
"Wtf! Everytime I try a new face wash it breaks me out!!! Grrrrrrrrr &gt;i wash mii face with STRICTLY water!! A warm washclOth!" , "" , "2011-07-28 05:35:32"
"Soo I just went to wash my face n I absentmindedly squirted toothpaste on my washcloth n started scrubbing away :/ lol" , "" , "2011-07-26 21:06:53"
"I just attempted to throw a washcloth into the sink. It hit a fork and the fork almost nailed me in the face." , "" , "2011-07-26 18:18:20"
"Am I the only one who dnt use the same washcloth to wash up and was my face,,????" , "" , "2011-07-26 02:49:04"
"You #NASTY son RT I use the same washcloth to wash my face and my butt!!!" , "'NASTY'" , "2011-07-25 21:29:32"
"So uhmmm....I don't know how to break it to Mary that she just washed her face with the washcloth I cleaned my cooch with O_o" , "" , "2011-07-25 17:50:10"
"I can't wash my body with a washcloth I use a scrubby thing (:" , "" , "2011-07-28 04:08:42"
"Wtf! Everytime I try a new face wash it breaks me out!!! Grrrrrrrrr &gt;i wash mii face with STRICTLY water!! A warm washclOth!" , "" , "2011-07-28 05:35:32"
"...find anything to do to my skin. Asked me what products I use. &quot;washcloth, water, and saturated fat.&quot;" , "" , "2011-07-26 01:10:38"
"*Kisses his neck softly and grabs a washcloth* I love water...less than I love you, but still love it." , "" , "2011-07-25 22:50:07"
"No toilet paper?! How da fuk am I supposed 2 take a shit? : soap, water, washcloth..." , "" , "2011-07-25 11:51:51"
"I say soap &amp; water :D RT Hoes get mad at me when they ask what foundation I use on my skin and I say &quot;washcloth &amp; water&quot; o___0" , "" , "2011-07-24 01:14:40"
"Hoes get mad at me when they ask what foundation I use on my skin and I say &quot;washcloth &amp; water&quot; o___0" , "" , "2011-07-24 01:12:56"
"I get them often...soak a washcloth in hot water, put washcloth in a ziploc bag, microwave for 20ish seconds, hold on eye...magic!" , "" , "2011-07-23 02:05:53"
"Brought out a washcloth and ice water... I def just basically washed up in the train station:) i like to stay #fresh #teehee" , "'fresh', 'teehee'" , "2011-07-22 16:24:32"
"There was a wet washcloth on my shower door and a wrench on my bathroom counter when I got home. Showering handyman ghosts?" , "" , "2011-07-26 03:49:23"
"Since when can I not leave a washcloth in my shower." , "" , "2011-07-28 10:54:50"
"I even scrubbed my shoulders with a washcloth in the shower. Now it made my chest area start. #aggervating" , "'aggervating'" , "2011-07-27 23:20:41"
"Eh I'm seeing him on the 9th. 'Til then I'll just keep scrubbing it with soap and a washcloth whenever I'm in the shower." , "" , "2011-07-25 22:05:27"
"Came home feeling good after a really productive day, took a shower with a white washcloth...you woulda thought I washed a fuckin minivan." , "" , "2011-07-25 20:51:19"
"I am mended. I had the hottest shower in the world, and did the thing with the washcloth. #mended" , "'mended'" , "2011-07-24 18:55:43"
"How do i have a clean shower while on my period?: I get that you can and it will include blood on my washcloth b... http://bit.ly/pc0OMX" , "" , "2011-07-24 10:03:51"
"I realized that every caucasian person I've spent time with (homegirls) didn't use a washcloth in the shower . . . That's weird ." , "" , "2011-07-24 01:58:01"
"I always step out the shower only realizing I don't have a towel...smh I always only grab a washcloth" , "" , "2011-07-23 23:50:33"
"true story....i just was in the shower here &amp; i slipped and grabbed the washcloth holder an ripped that fucker off te wall" , "" , "2011-07-23 02:20:20"
"wouldnt give me the last washcloth after I'm already in the shower bc he wanted it for himself, then doesn't use it #siblings" , "'siblings'" , "2011-07-22 16:34:37"
"The Softsoap hit me on my head in the shower &amp; the washcloth stopped the drain so if I'd passed out from the blow, I would have DROWNED!!!" , "" , "2011-07-22 02:14:28"
"girl the sun making my hair &amp; face sweat so oils are being combined causing me to break up so I use that &amp; a white washcloth" , "" , "2011-07-23 18:14:12"
"and there is a trick I use. Get a washcloth, get it wet, put it on ur head and stand under a revolving ceiling fan. (cont)" , "" , "2011-07-26 22:44:21"
"I glad I'm not the only one sick of these bathroom models. Next time move ya washcloth and dirty clothes..lmao..#scallywags" , "" , "2011-07-26 23:10:15"
"Seriously some guys need to carry a washcloth with soap, some deodorant and a change of clothes. I guess some men don't care how they smell." , "" , "2011-07-25 18:55:33"
"lol ok, I'll come!...&amp;do you want me to put your washcloth and towel in the dirty clothes??" , "" , "2011-07-25 16:20:55"
"There was a wet washcloth on my shower door and a wrench on my bathroom counter when I got home. Showering handyman ghosts?" , "" , "2011-07-26 03:49:23"
"I know where my towel is. It's my washcloth I'm always forgetting. #yousassthathooopyfrood?" , "'yousassthathooopyfrood?'" , "2011-07-27 20:59:23"
"got 80% repacked, have to wash my towel and washcloth and a couple outits and pack my food i need too and im set again wow" , "" , "2011-07-26 02:30:26"
"my papicito is drooling and biting maybe we are entering teething stage also? Do u brush ur baby's gums? I scrub em w/washcloth" , "" , "2011-07-28 09:38:57"
"Eh I'm seeing him on the 9th. 'Til then I'll just keep scrubbing it with soap and a washcloth whenever I'm in the shower." , "" , "2011-07-25 22:05:27"
"Seriously some guys need to carry a washcloth with soap, some deodorant and a change of clothes. I guess some men don't care how they smell." , "" , "2011-07-25 18:55:33"
"No toilet paper?! How da fuk am I supposed 2 take a shit? : soap, water, washcloth..." , "" , "2011-07-25 11:51:51"
"definitely a bath all I needed was soap and a washcloth lol" , "" , "2011-07-25 03:36:40"
"I say soap &amp; water :D RT Hoes get mad at me when they ask what foundation I use on my skin and I say &quot;washcloth &amp; water&quot; o___0" , "" , "2011-07-24 01:14:40"
"http://t.co/PyKzOAV Grim! I don't like face and neck tattoos. What will she do when she splits up with this guy??" , "" , "2011-07-28 08:52:46"
"I slide behind her and let my hands explore her body. She rubs my neck and face.Runs her hands back through my hair.And I slide deep in her." , "" , "2011-07-28 06:05:08"
"Fucking great! I have poison ivy on my face and neck and is spreading all over my body... Great!" , "" , "2011-07-27 18:40:46"
"i have 58 unlock items :D 11 unlock hats 6 face unlock 5 neck unlock 19 body unlock 7 hand unlock 8 feet unlock and 4 BG unlock :D" , "" , "2011-07-26 22:58:09"
"I hate when people crack their neck and face and every body part, is that necessary ?" , "" , "2011-07-26 02:42:15"
"Nowadays I mainly sleep on my back without having pillows under my neck because I have noticed gravity marks on my body and face" , "" , "2011-07-25 08:30:21"
"I tried taking a drink out of a water bottle while laying down and it spilled all over my face, neck, chest. You think I'd learn..." , "" , "2011-07-24 07:33:35"
"i hate the feeling of water dripping down my face and neck when the rest of my body is dry." , "" , "2011-07-23 18:07:40"
"i juss hopped my ass to the bathroom &amp; put some cold water on my face , neck and wrist lol" , "" , "2011-07-23 17:19:21"
"drink lots of cold water/ ice tea or lemonade...oH one thing I found worked..get spray bottle and spray face and neck often!" , "" , "2011-07-23 04:23:39"
"So while giving Roxie shower she bit me on my face, dug her claw in my neck and I broke a nail her dirty ass never Sonja bathe" , "" , "2011-07-28 01:50:05"
"I got motor oil in my hands legs face and neck shower time lol" , "" , "2011-07-24 19:49:51"
"So I take a shower. Put my hair rolled up in a bun. Moisterize my whole face and neck with a mask and put clean slippers on and my night" , "" , "2011-07-22 05:35:40"
"Straightened my hair for an hour... get home and I have ringlets by my face and neck.... Smh" , "" , "2011-07-28 07:30:02"
"I slide behind her and let my hands explore her body. She rubs my neck and face.Runs her hands back through my hair.And I slide deep in her." , "" , "2011-07-28 06:05:08"
"I think I put too much olive oil in my hair!! My face and neck greasy greasy!!" , "" , "2011-07-28 03:08:16"
"Ever jus get done getting some neck and you see ur juices all over his face and in his chin hair?? I have." , "" , "2011-07-27 05:38:51"
"I love you too babe. -licks my lips and tangles my hand in your hair holding your face in my neck, mumbling- suck baby." , "" , "2011-07-27 05:08:48"
"I need my hair done . How am i qun qet it its tooooo hot for it to b dwn all in face and on my neck uqhhh" , "" , "2011-07-26 19:21:44"
"*whispers in your ear* and i'll never get tired to speak it out,Klaus *kisses your ear/turns face away/puts hair out of neck*" , "" , "2011-07-26 13:07:13"
"My hair is disgusting just now, all the cream I've been putting on my neck and face has all ended up going into it haha." , "" , "2011-07-26 11:32:17"
"Her hair was wrapped,tats neck, and puma slides with socks.lol If you know Eddie T, you know I laughed in her face!lol" , "" , "2011-07-26 03:58:08"
"-nuzzling you with my face against your cheek and neck grinning while I run my fingers through your hair-" , "" , "2011-07-26 03:50:39"
"hahahahaha!!! Soo funny. His face, his hair and the hot are all soo hot but I'm not digging the neck fur thing......" , "" , "2011-07-26 02:03:38"
"i love his neck too. i'm having an issue with the fact that 95% of his face is covered now...i was so happy to see nice hair and-" , "" , "2011-07-25 23:56:14"
"When I dye my hair, I only manage to successfully get my neck and face." , "" , "2011-07-25 18:43:07"
"#RandomFacts They always talk about how they get to touch his neck, and I'm just like... I touch his face AND his hair. #UMad?" , "'RandomFacts', 'UMad?'" , "2011-07-25 15:59:54"
"I got buku hair on my face and and neck, that stopped growing months ago" , "" , "2011-07-25 00:30:34"
"should probably go clean the bathroom, and my face and neck. Why the fuck do I get nosebleeds again, I'm not having my nose done again -.-" , "" , "2011-07-27 08:25:53"
"I'm so soaked! Conditioner from my hair is dripping down my face. . Lol." , "" , "2011-07-28 04:47:44"
"Cleaned my face with oil tonight. I figure if washing my hair with conditioner turned out to be so great I should try this too. same idea." , "" , "2011-07-28 04:46:15"
"I know I have way too much going on when I pour conditioner in my hand and start washing my face as if it was face wash!!" , "" , "2011-07-28 00:12:06"
"For anyone that's arsed... Here's the colour my hair has gone. (Pre-Conditioner) Ignore the face, I'm high on fumes. http://t.co/AOA6A4q" , "" , "2011-07-27 22:48:40"
"If I had all that fur I would be sprawled motionless on the windowsill with my face in the air conditioner too." , "" , "2011-07-27 19:36:06"
"Let's just pretend that I didn't just rub conditioner on my face thinking it was sunscreen. I didn't sleep very well." , "" , "2011-07-27 17:31:32"
"Air conditioner is busted again... My face is gone. I have no face." , "" , "2011-07-27 15:10:48"
