id	score	v	d-obj	p	p-title
000001	?	put	change	item	vending machine
000002	?	put	change	desired item	vending machine
000003	?	put	change	correct amount of change	vending machine
000004	?	put	change	correct amount of money	vending machine
000005	?	put	change	desired selection	vending machine
000006	?	put	change	selection	vending machine
000007	?	put	change	coins	vending machine
000008	?	put	change	right money	vending machine
000009	?	put	change	money	vending machine
000010	?	put	change	product	vending machine
000011	?	put	change	goods	vending machine
000012	?	put	change	button	vending machine
000013	?	put	change	appropriate buttons	vending machine
000014	?	put	change	any	vending machine
000015	?	put	change	you	vending machine
000016	?	put	change	product code	vending machine
000017	?	put	change	code	vending machine
000018	?	put	change	machine	vending machine
000019	?	place	correct amount	item	vending machine
000020	?	place	correct amount	desired item	vending machine
000021	?	place	correct amount	correct amount of change	vending machine
000022	?	place	correct amount	correct amount of money	vending machine
000023	?	place	correct amount	desired selection	vending machine
000024	?	place	correct amount	selection	vending machine
000025	?	place	correct amount	coins	vending machine
000026	?	place	correct amount	change	vending machine
000027	?	place	correct amount	right money	vending machine
000028	?	place	correct amount	money	vending machine
000029	?	place	correct amount	product	vending machine
000030	?	place	correct amount	goods	vending machine
000031	?	place	correct amount	button	vending machine
000032	?	place	correct amount	appropriate buttons	vending machine
000033	?	place	correct amount	any	vending machine
000034	?	place	correct amount	you	vending machine
000035	?	place	correct amount	product code	vending machine
000036	?	place	correct amount	code	vending machine
000037	?	place	correct amount	machine	vending machine
000038	?	insert	right money	item	vending machine
000039	?	insert	right money	desired item	vending machine
000040	?	insert	right money	correct amount of change	vending machine
000041	?	insert	right money	correct amount of money	vending machine
000042	?	insert	right money	desired selection	vending machine
000043	?	insert	right money	selection	vending machine
000044	?	insert	right money	coins	vending machine
000045	?	insert	right money	change	vending machine
000046	?	insert	right money	money	vending machine
000047	?	insert	right money	product	vending machine
000048	?	insert	right money	goods	vending machine
000049	?	insert	right money	button	vending machine
000050	?	insert	right money	appropriate buttons	vending machine
000051	?	insert	right money	any	vending machine
000052	?	insert	right money	you	vending machine
000053	?	insert	right money	product code	vending machine
000054	?	insert	right money	code	vending machine
000055	?	insert	right money	machine	vending machine
000056	?	approach	machine	item	vending machine
000057	?	approach	machine	desired item	vending machine
000058	?	approach	machine	correct amount of change	vending machine
000059	?	approach	machine	correct amount of money	vending machine
000060	?	approach	machine	desired selection	vending machine
000061	?	approach	machine	selection	vending machine
000062	?	approach	machine	coins	vending machine
000063	?	approach	machine	change	vending machine
000064	?	approach	machine	right money	vending machine
000065	?	approach	machine	money	vending machine
000066	?	approach	machine	product	vending machine
000067	?	approach	machine	goods	vending machine
000068	?	approach	machine	button	vending machine
000069	?	approach	machine	appropriate buttons	vending machine
000070	?	approach	machine	any	vending machine
000071	?	approach	machine	you	vending machine
000072	?	approach	machine	product code	vending machine
000073	?	approach	machine	code	vending machine
000074	?	find	change	item	vending machine
000075	?	find	change	desired item	vending machine
000076	?	find	change	correct amount of change	vending machine
000077	?	find	change	correct amount of money	vending machine
000078	?	find	change	desired selection	vending machine
000079	?	find	change	selection	vending machine
000080	?	find	change	coins	vending machine
000081	?	find	change	right money	vending machine
000082	?	find	change	money	vending machine
000083	?	find	change	product	vending machine
000084	?	find	change	goods	vending machine
000085	?	find	change	button	vending machine
000086	?	find	change	appropriate buttons	vending machine
000087	?	find	change	any	vending machine
000088	?	find	change	you	vending machine
000089	?	find	change	product code	vending machine
000090	?	find	change	code	vending machine
000091	?	find	change	machine	vending machine
000092	?	choose	product	item	vending machine
000093	?	choose	product	desired item	vending machine
000094	?	choose	product	correct amount of change	vending machine
000095	?	choose	product	correct amount of money	vending machine
000096	?	choose	product	desired selection	vending machine
000097	?	choose	product	selection	vending machine
000098	?	choose	product	coins	vending machine
000099	?	choose	product	change	vending machine
000100	?	choose	product	right money	vending machine
000101	?	choose	product	money	vending machine
000102	?	choose	product	goods	vending machine
000103	?	choose	product	button	vending machine
000104	?	choose	product	appropriate buttons	vending machine
000105	?	choose	product	any	vending machine
000106	?	choose	product	you	vending machine
000107	?	choose	product	product code	vending machine
000108	?	choose	product	code	vending machine
000109	?	choose	product	machine	vending machine
000110	?	select	correct product code	item	vending machine
000111	?	select	correct product code	desired item	vending machine
000112	?	select	correct product code	correct amount of change	vending machine
000113	?	select	correct product code	correct amount of money	vending machine
000114	?	select	correct product code	desired selection	vending machine
000115	?	select	correct product code	selection	vending machine
000116	?	select	correct product code	coins	vending machine
000117	?	select	correct product code	change	vending machine
000118	?	select	correct product code	right money	vending machine
000119	?	select	correct product code	money	vending machine
000120	?	select	correct product code	product	vending machine
000121	?	select	correct product code	goods	vending machine
000122	?	select	correct product code	button	vending machine
000123	?	select	correct product code	appropriate buttons	vending machine
000124	?	select	correct product code	any	vending machine
000125	?	select	correct product code	you	vending machine
000126	?	select	correct product code	product code	vending machine
000127	?	select	correct product code	code	vending machine
000128	?	select	correct product code	machine	vending machine
000129	?	collect	change	item	vending machine
000130	?	collect	change	desired item	vending machine
000131	?	collect	change	correct amount of change	vending machine
000132	?	collect	change	correct amount of money	vending machine
000133	?	collect	change	desired selection	vending machine
000134	?	collect	change	selection	vending machine
000135	?	collect	change	coins	vending machine
