id	score	v	d-obj	p	p-title
000001	0.004318932872762171	put	change	item	vending machine
000002	0.0016240629360319185	put	change	desired item	vending machine
000003	0.0016899669392332136	put	change	correct amount of change	vending machine
000004	0.003379933878466427	put	change	correct amount of money	vending machine
000005	0.0005413543120106395	put	change	desired selection	vending machine
000006	0.00212550358981887	put	change	selection	vending machine
000007	0.0022720237736340463	put	change	coins	vending machine
000008	0.0005413543120106395	put	change	right money	vending machine
000009	0.005383726207140404	put	change	money	vending machine
000010	0.007569649660027026	put	change	product	vending machine
000011	0.0008456803651358805	put	change	goods	vending machine
000012	0.0011839635530406037	put	change	button	vending machine
000013	0.0005413543120106395	put	change	appropriate buttons	vending machine
000014	0.0002028607692682215	put	change	any	vending machine
000015	0.0003566681541885391	put	change	you	vending machine
000016	0.0016240629360319185	put	change	product code	vending machine
000017	0.001816715918406486	put	change	code	vending machine
000018	0.004359604314824658	put	change	machine	vending machine
000019	0.004973325283091476	place	correct amount	item	vending machine
000020	0.0018701363274335123	place	correct amount	desired item	vending machine
000021	0.0019460259175322634	place	correct amount	correct amount of change	vending machine
000022	0.0038920518350645267	place	correct amount	correct amount of money	vending machine
000023	0.0006233787758111708	place	correct amount	desired selection	vending machine
000024	0.00244755384118469	place	correct amount	selection	vending machine
000025	0.002616274346022079	place	correct amount	coins	vending machine
000026	0.0026891387231845637	place	correct amount	change	vending machine
000027	0.0006233787758111708	place	correct amount	right money	vending machine
000028	0.006199453071399463	place	correct amount	money	vending machine
000029	0.008716581421252912	place	correct amount	product	vending machine
000030	0.0009738154459100127	place	correct amount	goods	vending machine
000031	0.0013633543391541143	place	correct amount	button	vending machine
000032	0.0006233787758111708	place	correct amount	appropriate buttons	vending machine
000033	0.00023359765536337118	place	correct amount	any	vending machine
000034	0.00041070949726638854	place	correct amount	you	vending machine
000035	0.0018701363274335123	place	correct amount	product code	vending machine
000036	0.002091979541100699	place	correct amount	code	vending machine
000037	0.005020159146239665	place	correct amount	machine	vending machine
000038	0.004973325283091476	insert	right money	item	vending machine
000039	0.0018701363274335123	insert	right money	desired item	vending machine
000040	0.0019460259175322634	insert	right money	correct amount of change	vending machine
000041	0.0038920518350645267	insert	right money	correct amount of money	vending machine
000042	0.0006233787758111708	insert	right money	desired selection	vending machine
000043	0.00244755384118469	insert	right money	selection	vending machine
000044	0.002616274346022079	insert	right money	coins	vending machine
000045	0.0026891387231845637	insert	right money	change	vending machine
000046	0.006199453071399463	insert	right money	money	vending machine
000047	0.008716581421252912	insert	right money	product	vending machine
000048	0.0009738154459100127	insert	right money	goods	vending machine
000049	0.0013633543391541143	insert	right money	button	vending machine
000050	0.0006233787758111708	insert	right money	appropriate buttons	vending machine
000051	0.00023359765536337118	insert	right money	any	vending machine
000052	0.00041070949726638854	insert	right money	you	vending machine
000053	0.0018701363274335123	insert	right money	product code	vending machine
000054	0.002091979541100699	insert	right money	code	vending machine
000055	0.005020159146239665	insert	right money	machine	vending machine
000056	0.004973325283091476	approach	machine	item	vending machine
000057	0.0018701363274335123	approach	machine	desired item	vending machine
000058	0.0019460259175322634	approach	machine	correct amount of change	vending machine
000059	0.0038920518350645267	approach	machine	correct amount of money	vending machine
000060	0.0006233787758111708	approach	machine	desired selection	vending machine
000061	0.00244755384118469	approach	machine	selection	vending machine
000062	0.002616274346022079	approach	machine	coins	vending machine
000063	0.0026891387231845637	approach	machine	change	vending machine
000064	0.0006233787758111708	approach	machine	right money	vending machine
000065	0.006199453071399463	approach	machine	money	vending machine
000066	0.008716581421252912	approach	machine	product	vending machine
000067	0.0009738154459100127	approach	machine	goods	vending machine
000068	0.0013633543391541143	approach	machine	button	vending machine
000069	0.0006233787758111708	approach	machine	appropriate buttons	vending machine
000070	0.00023359765536337118	approach	machine	any	vending machine
000071	0.00041070949726638854	approach	machine	you	vending machine
000072	0.0018701363274335123	approach	machine	product code	vending machine
000073	0.002091979541100699	approach	machine	code	vending machine
000074	0.004973325283091476	find	change	item	vending machine
000075	0.0018701363274335123	find	change	desired item	vending machine
000076	0.0019460259175322634	find	change	correct amount of change	vending machine
000077	0.0038920518350645267	find	change	correct amount of money	vending machine
000078	0.0006233787758111708	find	change	desired selection	vending machine
000079	0.00244755384118469	find	change	selection	vending machine
000080	0.002616274346022079	find	change	coins	vending machine
000081	0.0006233787758111708	find	change	right money	vending machine
000082	0.006199453071399463	find	change	money	vending machine
000083	0.008716581421252912	find	change	product	vending machine
000084	0.0009738154459100127	find	change	goods	vending machine
000085	0.0013633543391541143	find	change	button	vending machine
000086	0.0006233787758111708	find	change	appropriate buttons	vending machine
000087	0.00023359765536337118	find	change	any	vending machine
000088	0.00041070949726638854	find	change	you	vending machine
000089	0.0018701363274335123	find	change	product code	vending machine
000090	0.002091979541100699	find	change	code	vending machine
000091	0.005020159146239665	find	change	machine	vending machine
