id	score	v	d-obj	p	p-title
000001	0.003807832949686452	remove	old sheets	bedsheets	bed sheets
000002	0.003457552991720419	remove	old sheets	laundry	bed sheets
000003	0.0030137090485856857	remove	old sheets	pillows	bed sheets
000004	0.001115475012745803	remove	old sheets	washing machine	bed sheets
000005	0.01673829284677562	remove	old sheets	new sheets	bed sheets
000006	0.04157381591873345	remove	old sheets	bed	bed sheets
000007	0.006613593104919482	remove	old sheets	mattress	bed sheets
000008	0.002538555299790968	remove	old sheets	bedspread	bed sheets
000009	0.001271228912179927	remove	old sheets	laundry hamper	bed sheets
000010	0.003306796552459741	remove	old sheets	bedsheet	bed sheets
000011	0.0011835128648694626	remove	old sheets	laundry basket	bed sheets
000012	0.0008837335194508985	remove	old sheets	wash	bed sheets
000013	0.0010598840398180877	remove	old sheets	dirty clothes	bed sheets
000014	0.0014615949850248463	putting	clean bed sheets	bedsheets	bed sheets
000015	0.0013271438584437749	putting	clean bed sheets	laundry	bed sheets
000016	0.0011567792206061834	putting	clean bed sheets	pillows	bed sheets
000017	0.0004281628700870509	putting	clean bed sheets	washing machine	bed sheets
000018	0.0064248104383725635	putting	clean bed sheets	new sheets	bed sheets
000019	0.008031013047965706	putting	clean bed sheets	old sheets	bed sheets
000020	0.015957654040514153	putting	clean bed sheets	bed	bed sheets
000021	0.002538555299790968	putting	clean bed sheets	mattress	bed sheets
000022	0.0009743966566832309	putting	clean bed sheets	bedspread	bed sheets
000023	0.0004879472990047441	putting	clean bed sheets	laundry hamper	bed sheets
000024	0.001269277649895484	putting	clean bed sheets	bedsheet	bed sheets
000025	0.0004542784546648858	putting	clean bed sheets	laundry basket	bed sheets
000026	0.00033921143526901556	putting	clean bed sheets	wash	bed sheets
000027	0.00040682488380524955	putting	clean bed sheets	dirty clothes	bed sheets
000028	0.0014615949850248463	remove	old dirty bed sheets	bedsheets	bed sheets
000029	0.0013271438584437749	remove	old dirty bed sheets	laundry	bed sheets
000030	0.0011567792206061834	remove	old dirty bed sheets	pillows	bed sheets
000031	0.0004281628700870509	remove	old dirty bed sheets	washing machine	bed sheets
000032	0.0064248104383725635	remove	old dirty bed sheets	new sheets	bed sheets
000033	0.008031013047965706	remove	old dirty bed sheets	old sheets	bed sheets
000034	0.015957654040514153	remove	old dirty bed sheets	bed	bed sheets
000035	0.002538555299790968	remove	old dirty bed sheets	mattress	bed sheets
000036	0.0009743966566832309	remove	old dirty bed sheets	bedspread	bed sheets
000037	0.0004879472990047441	remove	old dirty bed sheets	laundry hamper	bed sheets
000038	0.001269277649895484	remove	old dirty bed sheets	bedsheet	bed sheets
000039	0.0004542784546648858	remove	old dirty bed sheets	laundry basket	bed sheets
000040	0.00033921143526901556	remove	old dirty bed sheets	wash	bed sheets
000041	0.00040682488380524955	remove	old dirty bed sheets	dirty clothes	bed sheets
000042	0.0014615949850248463	fold	corners	bedsheets	bed sheets
000043	0.0013271438584437749	fold	corners	laundry	bed sheets
000044	0.0011567792206061834	fold	corners	pillows	bed sheets
000045	0.0004281628700870509	fold	corners	washing machine	bed sheets
000046	0.0064248104383725635	fold	corners	new sheets	bed sheets
000047	0.008031013047965706	fold	corners	old sheets	bed sheets
000048	0.015957654040514153	fold	corners	bed	bed sheets
000049	0.002538555299790968	fold	corners	mattress	bed sheets
000050	0.0009743966566832309	fold	corners	bedspread	bed sheets
000051	0.0004879472990047441	fold	corners	laundry hamper	bed sheets
000052	0.001269277649895484	fold	corners	bedsheet	bed sheets
000053	0.0004542784546648858	fold	corners	laundry basket	bed sheets
000054	0.00033921143526901556	fold	corners	wash	bed sheets
000055	0.00040682488380524955	fold	corners	dirty clothes	bed sheets
000056	0.0029231899700496926	put	new sheets	bedsheets	bed sheets
000057	0.0026542877168875497	put	new sheets	laundry	bed sheets
000058	0.002313558441212367	put	new sheets	pillows	bed sheets
000059	0.0008563257401741018	put	new sheets	washing machine	bed sheets
000060	0.016062026095931412	put	new sheets	old sheets	bed sheets
000061	0.031915308081028305	put	new sheets	bed	bed sheets
000062	0.005077110599581936	put	new sheets	mattress	bed sheets
000063	0.0019487933133664618	put	new sheets	bedspread	bed sheets
000064	0.0009758945980094882	put	new sheets	laundry hamper	bed sheets
000065	0.002538555299790968	put	new sheets	bedsheet	bed sheets
000066	0.0009085569093297716	put	new sheets	laundry basket	bed sheets
000067	0.0006784228705380311	put	new sheets	wash	bed sheets
000068	0.0008136497676104991	put	new sheets	dirty clothes	bed sheets
000069	0.0009644618854768212	place	them	bedsheets	bed sheets
000070	0.0008757416939220735	place	them	laundry	bed sheets
000071	0.0007633232732850966	place	them	pillows	bed sheets
000072	0.00028253159952399846	place	them	washing machine	bed sheets
000073	0.00423953615927235	place	them	new sheets	bed sheets
000074	0.005299420199090439	place	them	old sheets	bed sheets
000075	0.010529968466907036	place	them	bed	bed sheets
000076	0.001675115100905983	place	them	mattress	bed sheets
000077	0.0006429745903178808	place	them	bedspread	bed sheets
000078	0.00032198151802186	place	them	laundry hamper	bed sheets
000079	0.0008375575504529915	place	them	bedsheet	bed sheets
000080	0.0002997644760734755	place	them	laundry basket	bed sheets
000081	0.0002238352647531094	place	them	wash	bed sheets
000082	0.000268451314155973	place	them	dirty clothes	bed sheets
000083	0.0014615949850248463	replace	new sheet	bedsheets	bed sheets
000084	0.0013271438584437749	replace	new sheet	laundry	bed sheets
000085	0.0011567792206061834	replace	new sheet	pillows	bed sheets
000086	0.0004281628700870509	replace	new sheet	washing machine	bed sheets
000087	0.0064248104383725635	replace	new sheet	new sheets	bed sheets
000088	0.008031013047965706	replace	new sheet	old sheets	bed sheets
000089	0.015957654040514153	replace	new sheet	bed	bed sheets
000090	0.002538555299790968	replace	new sheet	mattress	bed sheets
000091	0.0009743966566832309	replace	new sheet	bedspread	bed sheets
000092	0.0004879472990047441	replace	new sheet	laundry hamper	bed sheets
000093	0.001269277649895484	replace	new sheet	bedsheet	bed sheets
000094	0.0004542784546648858	replace	new sheet	laundry basket	bed sheets
000095	0.00033921143526901556	replace	new sheet	wash	bed sheets
000096	0.00040682488380524955	replace	new sheet	dirty clothes	bed sheets
000097	0.0014615949850248463	spread	sheet	bedsheets	bed sheets
000098	0.0013271438584437749	spread	sheet	laundry	bed sheets
000099	0.0011567792206061834	spread	sheet	pillows	bed sheets
000100	0.0004281628700870509	spread	sheet	washing machine	bed sheets
000101	0.0064248104383725635	spread	sheet	new sheets	bed sheets
000102	0.008031013047965706	spread	sheet	old sheets	bed sheets
000103	0.015957654040514153	spread	sheet	bed	bed sheets
000104	0.002538555299790968	spread	sheet	mattress	bed sheets
000105	0.0009743966566832309	spread	sheet	bedspread	bed sheets
000106	0.0004879472990047441	spread	sheet	laundry hamper	bed sheets
000107	0.001269277649895484	spread	sheet	bedsheet	bed sheets
000108	0.0004542784546648858	spread	sheet	laundry basket	bed sheets
000109	0.00033921143526901556	spread	sheet	wash	bed sheets
000110	0.00040682488380524955	spread	sheet	dirty clothes	bed sheets
000111	0.0014615949850248463	put	existing bedsheet	bedsheets	bed sheets
000112	0.0013271438584437749	put	existing bedsheet	laundry	bed sheets
000113	0.0011567792206061834	put	existing bedsheet	pillows	bed sheets
000114	0.0004281628700870509	put	existing bedsheet	washing machine	bed sheets
000115	0.0064248104383725635	put	existing bedsheet	new sheets	bed sheets
000116	0.008031013047965706	put	existing bedsheet	old sheets	bed sheets
000117	0.015957654040514153	put	existing bedsheet	bed	bed sheets
000118	0.002538555299790968	put	existing bedsheet	mattress	bed sheets
000119	0.0009743966566832309	put	existing bedsheet	bedspread	bed sheets
000120	0.0004879472990047441	put	existing bedsheet	laundry hamper	bed sheets
000121	0.001269277649895484	put	existing bedsheet	bedsheet	bed sheets
000122	0.0004542784546648858	put	existing bedsheet	laundry basket	bed sheets
000123	0.00033921143526901556	put	existing bedsheet	wash	bed sheets
000124	0.00040682488380524955	put	existing bedsheet	dirty clothes	bed sheets
000125	0.0014615949850248463	find	replacement bedsheets	bedsheets	bed sheets
000126	0.0013271438584437749	find	replacement bedsheets	laundry	bed sheets
000127	0.0011567792206061834	find	replacement bedsheets	pillows	bed sheets
000128	0.0004281628700870509	find	replacement bedsheets	washing machine	bed sheets
000129	0.0064248104383725635	find	replacement bedsheets	new sheets	bed sheets
000130	0.008031013047965706	find	replacement bedsheets	old sheets	bed sheets
000131	0.015957654040514153	find	replacement bedsheets	bed	bed sheets
000132	0.002538555299790968	find	replacement bedsheets	mattress	bed sheets
000133	0.0009743966566832309	find	replacement bedsheets	bedspread	bed sheets
000134	0.0004879472990047441	find	replacement bedsheets	laundry hamper	bed sheets
000135	0.001269277649895484	find	replacement bedsheets	bedsheet	bed sheets
000136	0.0004542784546648858	find	replacement bedsheets	laundry basket	bed sheets
000137	0.00033921143526901556	find	replacement bedsheets	wash	bed sheets
000138	0.00040682488380524955	find	replacement bedsheets	dirty clothes	bed sheets
000139	0.0014615949850248463	put	used sheets	bedsheets	bed sheets
000140	0.0013271438584437749	put	used sheets	laundry	bed sheets
