id	score	v	d-obj	p	p-title
000001	0.0026930256951584056	put	soap	washer	laundry
000002	0.005558975419844562	put	soap	washing machine	laundry
000003	0.0005430150662317758	put	soap	laundry soap	laundry
000004	0.0017266523307973166	put	soap	detergent	laundry
000005	0.0009930400933425745	put	soap	wash cycle	laundry
000006	0.0007904642322746956	put	soap	cycle	laundry
000007	0.00017079681355991016	put	soap	basket	laundry
000008	0.00019860801866851486	put	soap	washing program	laundry
000009	0.0002796981672317337	put	soap	program	laundry
000010	0.00014422015193697548	put	soap	warm water	laundry
000011	0.0001842212183088982	put	soap	water	laundry
000012	0.00020715582270449277	put	soap	drawer	laundry
000013	0.00022870054010288866	put	soap	powder drawer	laundry
000014	0.0003436860894323966	put	soap	required powder amount	laundry
000015	0.0	put	soap	1 measure of powder liquid soap	laundry
000016	0.00012576208577015578	put	soap	items	laundry
000017	7.381157539680587e-05	put	soap	piece	laundry
000018	0.001806775388056447	put	soap	dryer	laundry
000019	0.00022870054010288866	put	soap	1 measure	laundry
000020	0.0	put	soap	one half cup of deterget	laundry
000021	0.002263687509643273	put	soap	dirty clothes	laundry
000022	0.0048293220432841	put	soap	clothes	laundry
000023	0.0003436860894323966	put	soap	washing machine lid	laundry
000024	0.0003574473714554323	put	soap	lid	laundry
000025	0.0016290451986953273	put	soap	dirty laundry	laundry
000026	0.00022870054010288866	put	soap	washer settings	laundry
000027	0.0001756117106648764	put	soap	settings	laundry
000028	0.0003964071549722885	put	soap	start	laundry
000029	5.296050952273071e-05	put	soap	button	laundry
000030	0.00022584692350705588	put	soap	color	laundry
000031	0.0	put	soap	colors	laundry
000032	0.004081149198177591	wash	white clothes	washer	laundry
000033	0.00842435633576571	wash	white clothes	washing machine	laundry
000034	0.0008229128693923618	wash	white clothes	laundry soap	laundry
000035	0.0026166574600583023	wash	white clothes	detergent	laundry
000036	0.0015049038663052425	wash	white clothes	wash cycle	laundry
000037	0.0011979100212581458	wash	white clothes	cycle	laundry
000038	0.00025883424727973645	wash	white clothes	basket	laundry
000039	0.00030098077326104846	wash	white clothes	washing program	laundry
000040	0.00042386894153358183	wash	white clothes	program	laundry
000041	0.000218558611786293	wash	white clothes	warm water	laundry
000042	0.00027917827844729695	wash	white clothes	water	laundry
000043	0.0003139345537059686	wash	white clothes	drawer	laundry
000044	0.0003465845229556137	wash	white clothes	powder drawer	laundry
000045	0.0005208395192194084	wash	white clothes	required powder amount	laundry
000046	0.0	wash	white clothes	1 measure of powder liquid soap	laundry
000047	0.0001905863120521851	wash	white clothes	items	laundry
000048	0.00011185784535530775	wash	white clothes	piece	laundry
000049	0.0027380800485900477	wash	white clothes	dryer	laundry
000050	0.0003465845229556137	wash	white clothes	1 measure	laundry
000051	0.0	wash	white clothes	one half cup of deterget	laundry
000052	0.0034305081015433307	wash	white clothes	dirty clothes	laundry
000053	0.007318602202765452	wash	white clothes	clothes	laundry
000054	0.0005208395192194084	wash	white clothes	washing machine lid	laundry
000055	0.000541694071478296	wash	white clothes	lid	laundry
000056	0.0024687386081770854	wash	white clothes	dirty laundry	laundry
000057	0.0003465845229556137	wash	white clothes	washer settings	laundry
000058	0.000266130989191471	wash	white clothes	settings	laundry
000059	0.0006007357247186814	wash	white clothes	start	laundry
000060	8.025907118612013e-05	wash	white clothes	button	laundry
000061	0.00034226000607375597	wash	white clothes	color	laundry
000062	0.0	wash	white clothes	colors	laundry
000063	0.008162298396355181	add	laundry detergent	washer	laundry
000064	0.01684871267153142	add	laundry detergent	washing machine	laundry
000065	0.0016458257387847236	add	laundry detergent	laundry soap	laundry
000066	0.005233314920116605	add	laundry detergent	detergent	laundry
000067	0.003009807732610485	add	laundry detergent	wash cycle	laundry
000068	0.0023958200425162916	add	laundry detergent	cycle	laundry
000069	0.0005176684945594729	add	laundry detergent	basket	laundry
000070	0.0006019615465220969	add	laundry detergent	washing program	laundry
000071	0.0008477378830671637	add	laundry detergent	program	laundry
000072	0.000437117223572586	add	laundry detergent	warm water	laundry
000073	0.0005583565568945939	add	laundry detergent	water	laundry
000074	0.0006278691074119372	add	laundry detergent	drawer	laundry
000075	0.0006931690459112274	add	laundry detergent	powder drawer	laundry
000076	0.0010416790384388168	add	laundry detergent	required powder amount	laundry
000077	0.0	add	laundry detergent	1 measure of powder liquid soap	laundry
000078	0.0003811726241043702	add	laundry detergent	items	laundry
000079	0.0002237156907106155	add	laundry detergent	piece	laundry
000080	0.0054761600971800954	add	laundry detergent	dryer	laundry
000081	0.0006931690459112274	add	laundry detergent	1 measure	laundry
000082	0.0	add	laundry detergent	one half cup of deterget	laundry
000083	0.006861016203086661	add	laundry detergent	dirty clothes	laundry
000084	0.014637204405530903	add	laundry detergent	clothes	laundry
000085	0.0010416790384388168	add	laundry detergent	washing machine lid	laundry
000086	0.001083388142956592	add	laundry detergent	lid	laundry
000087	0.004937477216354171	add	laundry detergent	dirty laundry	laundry
000088	0.0006931690459112274	add	laundry detergent	washer settings	laundry
000089	0.000532261978382942	add	laundry detergent	settings	laundry
000090	0.0012014714494373627	add	laundry detergent	start	laundry
000091	0.00016051814237224026	add	laundry detergent	button	laundry
000092	0.0006845200121475119	add	laundry detergent	color	laundry
000093	0.0	add	laundry detergent	colors	laundry
000094	0.004081149198177591	put	group	washer	laundry
000095	0.00842435633576571	put	group	washing machine	laundry
000096	0.0008229128693923618	put	group	laundry soap	laundry
000097	0.0026166574600583023	put	group	detergent	laundry
000098	0.0015049038663052425	put	group	wash cycle	laundry
000099	0.0011979100212581458	put	group	cycle	laundry
000100	0.00025883424727973645	put	group	basket	laundry
000101	0.00030098077326104846	put	group	washing program	laundry
000102	0.00042386894153358183	put	group	program	laundry
000103	0.000218558611786293	put	group	warm water	laundry
000104	0.00027917827844729695	put	group	water	laundry
000105	0.0003139345537059686	put	group	drawer	laundry
000106	0.0003465845229556137	put	group	powder drawer	laundry
000107	0.0005208395192194084	put	group	required powder amount	laundry
000108	0.0	put	group	1 measure of powder liquid soap	laundry
000109	0.0001905863120521851	put	group	items	laundry
000110	0.00011185784535530775	put	group	piece	laundry
000111	0.0027380800485900477	put	group	dryer	laundry
000112	0.0003465845229556137	put	group	1 measure	laundry
000113	0.0	put	group	one half cup of deterget	laundry
000114	0.0034305081015433307	put	group	dirty clothes	laundry
000115	0.007318602202765452	put	group	clothes	laundry
000116	0.0005208395192194084	put	group	washing machine lid	laundry
000117	0.000541694071478296	put	group	lid	laundry
000118	0.0024687386081770854	put	group	dirty laundry	laundry
000119	0.0003465845229556137	put	group	washer settings	laundry
000120	0.000266130989191471	put	group	settings	laundry
000121	0.0006007357247186814	put	group	start	laundry
000122	8.025907118612013e-05	put	group	button	laundry
000123	0.00034226000607375597	put	group	color	laundry
000124	0.0	put	group	colors	laundry
000125	0.0023789011400016553	add	soap	washer	laundry
000126	0.00491055580616417	add	soap	washing machine	laundry
000127	0.00047967576485409753	add	soap	laundry soap	laundry
000128	0.0015252491669518378	add	soap	detergent	laundry
000129	0.0008772081953644508	add	soap	wash cycle	laundry
000130	0.0006982615378195262	add	soap	cycle	laundry
000131	0.00015087443659256327	add	soap	basket	laundry
000132	0.00017544163907289015	add	soap	washing program	laundry
000133	0.00024707313044958055	add	soap	program	laundry
000134	0.00012739777584405945	add	soap	warm water	laundry
000135	0.00016273296873305695	add	soap	water	laundry
