id	score	v	d-obj	p	p-title
000001	0.011811618597549763	get	condiments	food	fast food restaurant
000002	0.0029342140717959373	get	condiments	my food	fast food restaurant
000003	0.0025412389728946953	get	condiments	napkins and condiments	fast food restaurant
000004	0.0029342140717959373	get	condiments	menu board	fast food restaurant
000005	0.0026514526472337504	get	condiments	cashier	fast food restaurant
000006	0.002548128845198586	get	condiments	my order	fast food restaurant
000007	0.017566329955107693	get	condiments	order	fast food restaurant
000008	0.0006628631618084376	get	condiments	receptacle	fast food restaurant
000009	0.0025771113454700597	get	condiments	tray	fast food restaurant
000010	0.0011281442669850638	get	condiments	number	fast food restaurant
000011	0.0014671070358979687	get	condiments	order number	fast food restaurant
000012	0.0014671070358979687	get	condiments	vacant table	fast food restaurant
000013	0.0028476537068412703	get	condiments	table	fast food restaurant
000014	0.002206861589145204	get	condiments	place to sit	fast food restaurant
000015	0.00048813412622554617	get	condiments	seat	fast food restaurant
000016	0.002385121724036475	get	condiments	restaurant	fast food restaurant
000017	0.002206861589145204	get	condiments	swipe credit card	fast food restaurant
000018	0.0019361982389593537	get	condiments	credit card	fast food restaurant
000019	0.0012160091578191294	get	condiments	car	fast food restaurant
000020	0.001274064422599293	get	condiments	my receipt	fast food restaurant
000021	0.0013257263236168752	get	condiments	receipt	fast food restaurant
000022	0.0014671070358979687	get	condiments	your cup	fast food restaurant
000023	0.0009285331079208284	get	condiments	cup	fast food restaurant
000024	0.0002341304312380484	get	condiments	you	fast food restaurant
000025	0.0025996532599600396	get	condiments	line	fast food restaurant
000026	0.0012453020498905353	get	condiments	trash	fast food restaurant
000027	0.0025412389728946953	get	condiments	trays and trash	fast food restaurant
000028	0.0036079558836580837	get	condiments	menu	fast food restaurant
000029	0.000740181991779952	get	condiments	bill	fast food restaurant
000030	0.003252992809681617	get	condiments	counter	fast food restaurant
000031	0.0014671070358979687	get	condiments	front counter	fast food restaurant
000032	0.003420705718634946	take	food	my food	fast food restaurant
000033	0.0029625754884606225	take	food	napkins and condiments	fast food restaurant
000034	0.003050988848641774	take	food	condiments	fast food restaurant
000035	0.003420705718634946	take	food	menu board	fast food restaurant
000036	0.0030910625507057504	take	food	cashier	fast food restaurant
000037	0.002970607699135748	take	food	my order	fast food restaurant
000038	0.02047882119796616	take	food	order	fast food restaurant
