id	score	v	d-obj	p	p-title
000001	0.09111376027041222	call	dog	food	dog
000002	0.13112246349251058	call	dog	dog food	dog
000003	0.006997366014362842	call	dog	tin of dog food	dog
000004	0.012939684433769943	call	dog	tin	dog
000005	0.016564435069863822	call	dog	pet	dog
000006	0.009406295297995951	call	dog	can of petfood	dog
000007	0.003377985992899358	call	dog	floor	dog
000008	0.011354284441135535	call	dog	dogs	dog
000009	0.029686582903674198	call	dog	dish	dog
000010	0.05288832716917207	call	dog	bowl	dog
000011	0.006901182289079504	call	dog	tin opener	dog
000012	0.002542530429583781	call	dog	can opener	dog
000013	0.03004067059122936	call	dog	dog s	dog
000014	0.05801180515960828	put	food	dog food	dog
000015	0.0030958069505677625	put	food	tin of dog food	dog
000016	0.0057248348772943386	put	food	tin	dog
000017	0.0073285137745052265	put	food	pet	dog
000018	0.004161576556500926	put	food	can of petfood	dog
000019	0.0014945041454560257	put	food	floor	dog
000020	0.005023414899183533	put	food	dogs	dog
000021	0.013134074950939833	put	food	dish	dog
000022	0.023399097677347047	put	food	bowl	dog
000023	0.003053252903137278	put	food	tin opener	dog
000024	0.0011248780412199482	put	food	can opener	dog
000025	0.013290732059056471	put	food	dog s	dog
000026	0.014056084139800884	open	bag	food	dog
000027	0.020228211128579733	open	bag	dog food	dog
000028	0.001079480916636109	open	bag	tin of dog food	dog
000029	0.0019962000536883255	open	bag	tin	dog
000030	0.0025553889157824907	open	bag	pet	dog
000031	0.0014511054944944415	open	bag	can of petfood	dog
000032	0.0005211205771592	open	bag	floor	dog
000033	0.0017516210172664746	open	bag	dogs	dog
000034	0.004579737526788512	open	bag	dish	dog
000035	0.00815906153468905	open	bag	bowl	dog
000036	0.0010646426909778806	open	bag	tin opener	dog
000037	0.00039223517435970745	open	bag	can opener	dog
000038	0.0046343624957764186	open	bag	dog s	dog
000039	0.005038871265246932	pour	water	food	dog
000040	0.007251475644951035	pour	water	dog food	dog
000041	0.0003869758688209703	pour	water	tin of dog food	dog
000042	0.0007156043596617923	pour	water	tin	dog
000043	0.0009160642218131533	pour	water	pet	dog
000044	0.0005201970695626158	pour	water	can of petfood	dog
000045	0.00018681301818200321	pour	water	floor	dog
000046	0.0006279268623979416	pour	water	dogs	dog
000047	0.0016417593688674791	pour	water	dish	dog
000048	0.002924887209668381	pour	water	bowl	dog
000049	0.00038165661289215973	pour	water	tin opener	dog
000050	0.00014060975515249352	pour	water	can opener	dog
000051	0.0016613415073820589	pour	water	dog s	dog
000052	0.009538096161083597	identify	dog food	food	dog
000053	0.000732507907929735	identify	dog food	tin of dog food	dog
000054	0.0013545698702049178	identify	dog food	tin	dog
000055	0.0017340210093567225	identify	dog food	pet	dog
000056	0.0009846827614793158	identify	dog food	can of petfood	dog
000057	0.0003536189828566468	identify	dog food	floor	dog
000058	0.0011886048443004963	identify	dog food	dogs	dog
000059	0.0031076917645465074	identify	dog food	dish	dog
000060	0.005536528717959488	identify	dog food	bowl	dog
000061	0.0007224390707073331	identify	dog food	tin opener	dog
000062	0.00026616067274447014	identify	dog food	can opener	dog
000063	0.0031447588596080376	identify	dog food	dog s	dog
000064	0.009538096161083597	find	measuring cup	food	dog
000065	0.013726342343439328	find	measuring cup	dog food	dog
000066	0.000732507907929735	find	measuring cup	tin of dog food	dog
000067	0.0013545698702049178	find	measuring cup	tin	dog
000068	0.0017340210093567225	find	measuring cup	pet	dog
000069	0.0009846827614793158	find	measuring cup	can of petfood	dog
000070	0.0003536189828566468	find	measuring cup	floor	dog
000071	0.0011886048443004963	find	measuring cup	dogs	dog
000072	0.0031076917645465074	find	measuring cup	dish	dog
000073	0.005536528717959488	find	measuring cup	bowl	dog
000074	0.0007224390707073331	find	measuring cup	tin opener	dog
000075	0.00026616067274447014	find	measuring cup	can opener	dog
000076	0.0031447588596080376	find	measuring cup	dog s	dog
000077	0.007548925356430086	pour	contents	food	dog
000078	0.010863712424100495	pour	contents	dog food	dog
000079	0.0005797433184326507	pour	contents	tin of dog food	dog
000080	0.0010720742030225472	pour	contents	tin	dog
000081	0.0013723907732786304	pour	contents	pet	dog
000082	0.0007793270837947107	pour	contents	can of petfood	dog
000083	0.00027987171245905	pour	contents	floor	dog
000084	0.0009407211980652005	pour	contents	dogs	dog
000085	0.0024595823700197302	pour	contents	dish	dog
000086	0.0043818851602833424	pour	contents	bowl	dog
000087	0.0005717743381105523	pour	contents	tin opener	dog
000088	0.00021065284071710994	pour	contents	can opener	dog
000089	0.0024889191191018872	pour	contents	dog s	dog
000090	0.019076192322167194	take	dog food	food	dog
000091	0.00146501581585947	take	dog food	tin of dog food	dog
000092	0.0027091397404098356	take	dog food	tin	dog
000093	0.003468042018713445	take	dog food	pet	dog
000094	0.0019693655229586315	take	dog food	can of petfood	dog
000095	0.0007072379657132936	take	dog food	floor	dog
000096	0.0023772096886009926	take	dog food	dogs	dog
000097	0.006215383529093015	take	dog food	dish	dog
000098	0.011073057435918975	take	dog food	bowl	dog
000099	0.0014448781414146661	take	dog food	tin opener	dog
000100	0.0005323213454889403	take	dog food	can opener	dog
000101	0.006289517719216075	take	dog food	dog s	dog
000102	0.009538096161083597	feed	dpog	food	dog
000103	0.013726342343439328	feed	dpog	dog food	dog
000104	0.000732507907929735	feed	dpog	tin of dog food	dog
000105	0.0013545698702049178	feed	dpog	tin	dog
000106	0.0017340210093567225	feed	dpog	pet	dog
000107	0.0009846827614793158	feed	dpog	can of petfood	dog
000108	0.0003536189828566468	feed	dpog	floor	dog
000109	0.0011886048443004963	feed	dpog	dogs	dog
000110	0.0031076917645465074	feed	dpog	dish	dog
000111	0.005536528717959488	feed	dpog	bowl	dog
000112	0.0007224390707073331	feed	dpog	tin opener	dog
000113	0.00026616067274447014	feed	dpog	can opener	dog
000114	0.0031447588596080376	feed	dpog	dog s	dog
000115	0.016002165009523325	take	food	dog food	dog
000116	0.000853957457871133	take	food	tin of dog food	dog
000117	0.0015791570716803534	take	food	tin	dog
000118	0.002021521074401077	take	food	pet	dog
000119	0.0011479428122202113	take	food	can of petfood	dog
000120	0.0004122488841229064	take	food	floor	dog
000121	0.0013856751036598095	take	food	dogs	dog
000122	0.0036229459509859075	take	food	dish	dog
000123	0.006454483205214395	take	food	bowl	dog
000124	0.0008422192110275435	take	food	tin opener	dog
000125	0.0003102900173794995	take	food	can opener	dog
000126	0.0036661587571914732	take	food	dog s	dog
000127	0.0062938983108385095	open	can	food	dog
000128	0.009057594034525765	open	can	dog food	dog
000129	0.0004833595936268105	open	can	tin of dog food	dog
000130	0.0008938392813421697	open	can	tin	dog
000131	0.001144227497545892	open	can	pet	dog
000132	0.0006497620766786632	open	can	can of petfood	dog
000133	0.0002333423653205266	open	can	floor	dog
000134	0.0007843240302315711	open	can	dogs	dog
000135	0.002050670869443605	open	can	dish	dog
000136	0.0036533861849758617	open	can	bowl	dog
000137	0.00047671547550135607	open	can	tin opener	dog
