id	score	v	d-obj	p	p-title
000001	0.00014490950050083926	set	setting	utensil	microwave
000002	0.00013342595108258886	set	setting	microwavable utensil	microwave
000003	0.00019123542857943918	set	setting	cover	microwave
000004	0.00013342595108258886	set	setting	protective cover	microwave
000005	6.727820270143848e-05	set	setting	stop	microwave
000006	0.0006759482324732993	set	setting	start button	microwave
000007	0.00025954473560503436	set	setting	oven	microwave
000008	0.0009617243711408664	set	setting	start	microwave
000009	0.00047706811400400587	set	setting	plate	microwave
000010	0.0014367667923171465	set	setting	microwave safe container	microwave
000011	0.0006952182213007493	set	setting	cooking time	microwave
000012	0.0011200051112340986	set	setting	time	microwave
000013	0.0029353709238169544	set	setting	microwave door	microwave
000014	0.0010787971959490912	set	setting	door	microwave
000015	0.00013342595108258886	set	setting	cooking temperature	microwave
000016	0.00021206184174960132	set	setting	temperature	microwave
000017	0.0013641924674343236	set	setting	timer	microwave
000018	0.003938349768606982	set	setting	food	microwave
000019	0.00012401749703948398	set	setting	plastic	microwave
000020	0.0	set	setting	imp protagonist	microwave
000021	0.0010674076086607108	set	setting	power level	microwave
000022	0.00042412368349920265	set	setting	power	microwave
000023	0.00014490950050083926	open	panel	utensil	microwave
000024	0.00013342595108258886	open	panel	microwavable utensil	microwave
000025	0.00019123542857943918	open	panel	cover	microwave
000026	0.00013342595108258886	open	panel	protective cover	microwave
000027	6.727820270143848e-05	open	panel	stop	microwave
000028	0.0006759482324732993	open	panel	start button	microwave
000029	0.00025954473560503436	open	panel	oven	microwave
000030	0.0009617243711408664	open	panel	start	microwave
000031	0.00047706811400400587	open	panel	plate	microwave
000032	0.0014367667923171465	open	panel	microwave safe container	microwave
000033	0.0006952182213007493	open	panel	cooking time	microwave
000034	0.0011200051112340986	open	panel	time	microwave
000035	0.0029353709238169544	open	panel	microwave door	microwave
000036	0.0010787971959490912	open	panel	door	microwave
000037	0.00013342595108258886	open	panel	cooking temperature	microwave
000038	0.00021206184174960132	open	panel	temperature	microwave
000039	0.0013641924674343236	open	panel	timer	microwave
000040	0.003938349768606982	open	panel	food	microwave
000041	0.00012401749703948398	open	panel	plastic	microwave
000042	0.0	open	panel	imp protagonist	microwave
000043	0.0010674076086607108	open	panel	power level	microwave
000044	0.00042412368349920265	open	panel	power	microwave
