id	score	v	d-obj	p	p-title
000001	?	lick	end	front middle	letter
000002	?	lick	end	front of envelope	letter
000003	?	lick	end	evelope	letter
000004	?	lick	end	protection	letter
000005	?	lick	end	return address on envelope	letter
000006	?	lick	end	front right hand corner	letter
000007	?	lick	end	upper left hand corner	letter
000008	?	lick	end	mailing place	letter
000009	?	lick	end	and place	letter
000010	?	lick	end	return address	letter
000011	?	lick	end	address	letter
000012	?	lick	end	sufficient stamps	letter
000013	?	lick	end	envelope and stamps	letter
000014	?	lick	end	return address	letter
000015	?	lick	end	address	letter
000016	?	lick	end	front middle	letter
000017	?	lick	end	front of envelope	letter
000018	?	lick	end	mail box	letter
000019	?	lick	end	mailbox	letter
000020	?	lick	end	pencil or pen	letter
000021	?	lick	end	pen	letter
000022	?	lick	end	paper	letter
000023	?	lick	end	stamp	letter
000024	?	lick	end	postage stamp	letter
000025	?	lick	end	post office	letter
000026	?	lick	end	box or post office	letter
000027	?	lick	end	letter to next mailbox	letter
000028	?	lick	end	envelope and seal envelope	letter
000029	?	lick	end	envelope	letter
000030	?	sign	letter	front middle	letter
000031	?	sign	letter	front of envelope	letter
000032	?	sign	letter	evelope	letter
000033	?	sign	letter	protection	letter
000034	?	sign	letter	return address on envelope	letter
000035	?	sign	letter	front right hand corner	letter
000036	?	sign	letter	upper left hand corner	letter
000037	?	sign	letter	mailing place	letter
000038	?	sign	letter	and place	letter
000039	?	sign	letter	return address	letter
000040	?	sign	letter	address	letter
000041	?	sign	letter	sufficient stamps	letter
000042	?	sign	letter	envelope and stamps	letter
000043	?	sign	letter	return address	letter
000044	?	sign	letter	address	letter
000045	?	sign	letter	front middle	letter
000046	?	sign	letter	front of envelope	letter
000047	?	sign	letter	mail box	letter
000048	?	sign	letter	mailbox	letter
000049	?	sign	letter	pencil or pen	letter
000050	?	sign	letter	pen	letter
000051	?	sign	letter	paper	letter
000052	?	sign	letter	stamp	letter
000053	?	sign	letter	postage stamp	letter
000054	?	sign	letter	post office	letter
000055	?	sign	letter	box or post office	letter
000056	?	sign	letter	letter to next mailbox	letter
000057	?	sign	letter	envelope and seal envelope	letter
000058	?	sign	letter	envelope	letter
