id	score	v	d-obj	p	p-title
000001	0.00011755127540140668	lick	end	front middle	letter
000002	0.0	lick	end	front of envelope	letter
000003	0.00026514235906069134	lick	end	evelope	letter
000004	6.994896548095308e-05	lick	end	protection	letter
000005	0.0005377970849614356	lick	end	return address on envelope	letter
000006	0.0002688985424807178	lick	end	front right hand corner	letter
000007	0.0002688985424807178	lick	end	upper left hand corner	letter
000008	0.00011755127540140668	lick	end	mailing place	letter
000009	0.00013704123494721903	lick	end	and place	letter
000010	0.0008166705995159276	lick	end	return address	letter
000011	0.00205438627147134	lick	end	address	letter
000012	0.00011755127540140668	lick	end	sufficient stamps	letter
000013	0.00017460944316929726	lick	end	envelope and stamps	letter
000014	0.0008166705995159276	lick	end	return address	letter
000015	0.00205438627147134	lick	end	address	letter
000016	0.00011755127540140668	lick	end	front middle	letter
000017	0.0	lick	end	front of envelope	letter
000018	0.0018616439034142168	lick	end	mail box	letter
000019	0.0026243901575965616	lick	end	mailbox	letter
000020	0.00012865906273860602	lick	end	pencil or pen	letter
000021	0.0001604797012514258	lick	end	pen	letter
000022	0.00014024565151145833	lick	end	paper	letter
000023	0.0027351415539632004	lick	end	stamp	letter
000024	0.0004083352997579638	lick	end	postage stamp	letter
000025	0.0001860718928750162	lick	end	post office	letter
000026	0.0002688985424807178	lick	end	box or post office	letter
000027	0.0	lick	end	letter to next mailbox	letter
000028	0.0002688985424807178	lick	end	envelope and seal envelope	letter
000029	0.009084041211812824	lick	end	envelope	letter
000030	0.00023510255080281335	sign	letter	front middle	letter
000031	0.0	sign	letter	front of envelope	letter
000032	0.0005302847181213827	sign	letter	evelope	letter
000033	0.00013989793096190616	sign	letter	protection	letter
000034	0.0010755941699228712	sign	letter	return address on envelope	letter
000035	0.0005377970849614356	sign	letter	front right hand corner	letter
000036	0.0005377970849614356	sign	letter	upper left hand corner	letter
000037	0.00023510255080281335	sign	letter	mailing place	letter
000038	0.00027408246989443807	sign	letter	and place	letter
000039	0.0016333411990318552	sign	letter	return address	letter
000040	0.00410877254294268	sign	letter	address	letter
000041	0.00023510255080281335	sign	letter	sufficient stamps	letter
000042	0.0003492188863385945	sign	letter	envelope and stamps	letter
000043	0.0016333411990318552	sign	letter	return address	letter
000044	0.00410877254294268	sign	letter	address	letter
000045	0.00023510255080281335	sign	letter	front middle	letter
000046	0.0	sign	letter	front of envelope	letter
000047	0.0037232878068284335	sign	letter	mail box	letter
000048	0.005248780315193123	sign	letter	mailbox	letter
000049	0.00025731812547721204	sign	letter	pencil or pen	letter
000050	0.0003209594025028516	sign	letter	pen	letter
000051	0.00028049130302291666	sign	letter	paper	letter
000052	0.005470283107926401	sign	letter	stamp	letter
000053	0.0008166705995159276	sign	letter	postage stamp	letter
000054	0.0003721437857500324	sign	letter	post office	letter
000055	0.0005377970849614356	sign	letter	box or post office	letter
000056	0.0	sign	letter	letter to next mailbox	letter
000057	0.0005377970849614356	sign	letter	envelope and seal envelope	letter
000058	0.018168082423625647	sign	letter	envelope	letter
000059	0.0005877563770070334	insert	letter	front middle	letter
000060	0.0	insert	letter	front of envelope	letter
000061	0.0013257117953034566	insert	letter	evelope	letter
000062	0.00034974482740476545	insert	letter	protection	letter
000063	0.002688985424807178	insert	letter	return address on envelope	letter
000064	0.001344492712403589	insert	letter	front right hand corner	letter
000065	0.001344492712403589	insert	letter	upper left hand corner	letter
000066	0.0005877563770070334	insert	letter	mailing place	letter
000067	0.0006852061747360952	insert	letter	and place	letter
000068	0.004083352997579638	insert	letter	return address	letter
000069	0.0102719313573567	insert	letter	address	letter
000070	0.0005877563770070334	insert	letter	sufficient stamps	letter
000071	0.0008730472158464864	insert	letter	envelope and stamps	letter
000072	0.004083352997579638	insert	letter	return address	letter
000073	0.0102719313573567	insert	letter	address	letter
000074	0.0005877563770070334	insert	letter	front middle	letter
000075	0.0	insert	letter	front of envelope	letter
000076	0.009308219517071083	insert	letter	mail box	letter
000077	0.013121950787982808	insert	letter	mailbox	letter
000078	0.0006432953136930302	insert	letter	pencil or pen	letter
000079	0.0008023985062571291	insert	letter	pen	letter
000080	0.0007012282575572916	insert	letter	paper	letter
000081	0.013675707769816001	insert	letter	stamp	letter
000082	0.002041676498789819	insert	letter	postage stamp	letter
000083	0.000930359464375081	insert	letter	post office	letter
000084	0.001344492712403589	insert	letter	box or post office	letter
000085	0.0	insert	letter	letter to next mailbox	letter
000086	0.001344492712403589	insert	letter	envelope and seal envelope	letter
000087	0.04542020605906412	insert	letter	envelope	letter
000088	0.00011755127540140668	ready	stamps	front middle	letter
000089	0.0	ready	stamps	front of envelope	letter
000090	0.00026514235906069134	ready	stamps	evelope	letter
000091	6.994896548095308e-05	ready	stamps	protection	letter
000092	0.0005377970849614356	ready	stamps	return address on envelope	letter
000093	0.0002688985424807178	ready	stamps	front right hand corner	letter
000094	0.0002688985424807178	ready	stamps	upper left hand corner	letter
000095	0.00011755127540140668	ready	stamps	mailing place	letter
000096	0.00013704123494721903	ready	stamps	and place	letter
000097	0.0008166705995159276	ready	stamps	return address	letter
000098	0.00205438627147134	ready	stamps	address	letter
000099	0.00011755127540140668	ready	stamps	sufficient stamps	letter
000100	0.00017460944316929726	ready	stamps	envelope and stamps	letter
000101	0.0008166705995159276	ready	stamps	return address	letter
000102	0.00205438627147134	ready	stamps	address	letter
000103	0.00011755127540140668	ready	stamps	front middle	letter
000104	0.0	ready	stamps	front of envelope	letter
000105	0.0018616439034142168	ready	stamps	mail box	letter
000106	0.0026243901575965616	ready	stamps	mailbox	letter
000107	0.00012865906273860602	ready	stamps	pencil or pen	letter
000108	0.0001604797012514258	ready	stamps	pen	letter
000109	0.00014024565151145833	ready	stamps	paper	letter
000110	0.0027351415539632004	ready	stamps	stamp	letter
000111	0.0004083352997579638	ready	stamps	postage stamp	letter
000112	0.0001860718928750162	ready	stamps	post office	letter
000113	0.0002688985424807178	ready	stamps	box or post office	letter
000114	0.0	ready	stamps	letter to next mailbox	letter
000115	0.0002688985424807178	ready	stamps	envelope and seal envelope	letter
000116	0.009084041211812824	ready	stamps	envelope	letter
000117	7.412865221546536e-05	find	paper	front middle	letter
000118	0.0	find	paper	front of envelope	letter
000119	0.0001672006165418672	find	paper	evelope	letter
000120	4.411030435240274e-05	find	paper	protection	letter
000121	0.000339138583885754	find	paper	return address on envelope	letter
000122	0.000169569291942877	find	paper	front right hand corner	letter
000123	0.000169569291942877	find	paper	upper left hand corner	letter
000124	7.412865221546536e-05	find	paper	mailing place	letter
000125	8.641915632043167e-05	find	paper	and place	letter
000126	0.000514998162626378	find	paper	return address	letter
000127	0.0012955102776562744	find	paper	address	letter
000128	7.412865221546536e-05	find	paper	sufficient stamps	letter
000129	0.00011010992983303701	find	paper	envelope and stamps	letter
000130	0.000514998162626378	find	paper	return address	letter
000131	0.0012955102776562744	find	paper	address	letter
000132	7.412865221546536e-05	find	paper	front middle	letter
000133	0.0	find	paper	front of envelope	letter
000134	0.0011739655992161397	find	paper	mail box	letter
000135	0.0016549586944578385	find	paper	mailbox	letter
000136	8.113330020070319e-05	find	paper	pencil or pen	letter
000137	0.00010119961626181018	find	paper	pen	letter
000138	0.001724799295638942	find	paper	stamp	letter
000139	0.000257499081313189	find	paper	postage stamp	letter
000140	0.00011733823037568119	find	paper	post office	letter
000141	0.000169569291942877	find	paper	box or post office	letter
000142	0.0	find	paper	letter to next mailbox	letter
000143	0.000169569291942877	find	paper	envelope and seal envelope	letter
000144	0.005728459596903439	find	paper	envelope	letter
000145	0.0003526538262042201	affix	stamp	front middle	letter
000146	0.0	affix	stamp	front of envelope	letter
000147	0.000795427077182074	affix	stamp	evelope	letter
000148	0.00020984689644285926	affix	stamp	protection	letter
000149	0.0016133912548843068	affix	stamp	return address on envelope	letter
