id	score	v	d-obj	p	p-title
000001	0.0004774944765217498	turn	kettle	holder	coffee
000002	0.0019090289162351833	turn	kettle	mug	coffee
000003	0.006356881290147541	turn	kettle	coffee pot	coffee
000004	0.002170858826368913	turn	kettle	brew	coffee
000005	0.0003178440645073771	turn	kettle	auto brew	coffee
000006	0.002531670493559227	turn	kettle	water	coffee
000007	0.0007156566598682274	turn	kettle	hot water	coffee
000008	0.0044498169031032785	turn	kettle	coffee maker	coffee
000009	0.0032453491575998115	turn	kettle	maker	coffee
000010	0.0015892203225368853	turn	kettle	coffee beans	coffee
000011	0.0009535321935221313	turn	kettle	coffee grounds	coffee
000012	0.0012060326813160627	turn	kettle	grounds	coffee
000013	0.00622056414107365	turn	kettle	filter	coffee
000014	0.0009535321935221313	turn	kettle	coffee filter	coffee
000015	0.00048241307252642503	turn	kettle	coffeemaker	coffee
000016	0.003155889140358098	turn	kettle	machine	coffee
000017	0.005085505032118034	turn	kettle	coffee machine	coffee
000018	0.0006284054104408324	turn	kettle	resevoir	coffee
000019	0.0004146655353961125	measure	water	holder	coffee
000020	0.0016578380202504081	measure	water	mug	coffee
000021	0.0055204399490231424	measure	water	coffee pot	coffee
000022	0.001885216231322497	measure	water	brew	coffee
000023	0.00027602199745115714	measure	water	auto brew	coffee
000024	0.000621490229972398	measure	water	hot water	coffee
000025	0.0038643079643162	measure	water	coffee maker	coffee
000026	0.002818324634425694	measure	water	maker	coffee
000027	0.0013801099872557856	measure	water	coffee beans	coffee
000028	0.0008280659923534715	measure	water	coffee grounds	coffee
000029	0.0010473423507347207	measure	water	grounds	coffee
000030	0.00540205947263281	measure	water	filter	coffee
000031	0.0008280659923534715	measure	water	coffee filter	coffee
000032	0.00041893694029388823	measure	water	coffeemaker	coffee
000033	0.0027406358070777804	measure	water	machine	coffee
000034	0.004416351959218514	measure	water	coffee machine	coffee
000035	0.0005457195397618223	measure	water	resevoir	coffee
000036	0.0017657855503842598	pour	water	holder	coffee
000037	0.007059632815250513	pour	water	mug	coffee
000038	0.023507893137145616	pour	water	coffee pot	coffee
000039	0.008027885841631834	pour	water	brew	coffee
000040	0.0011753946568572808	pour	water	auto brew	coffee
000041	0.002646514779054241	pour	water	hot water	coffee
000042	0.01645552519600193	pour	water	coffee maker	coffee
000043	0.012001375785925871	pour	water	maker	coffee
000044	0.005876973284286404	pour	water	coffee beans	coffee
000045	0.0035261839705718425	pour	water	coffee grounds	coffee
000046	0.0044599365786843525	pour	water	grounds	coffee
000047	0.02300378918633627	pour	water	filter	coffee
000048	0.0035261839705718425	pour	water	coffee filter	coffee
000049	0.0017839746314737407	pour	water	coffeemaker	coffee
000050	0.01167055058574086	pour	water	machine	coffee
000051	0.018806314509716492	pour	water	coffee machine	coffee
000052	0.002323857653019717	pour	water	resevoir	coffee
000053	0.0014324834295652493	grind	coffee	holder	coffee
000054	0.005727086748705549	grind	coffee	mug	coffee
000055	0.019070643870442622	grind	coffee	coffee pot	coffee
