id	score	v	d-obj	p	p-title
00001	?	put	change	item	vending machine
00002	?	put	change	desired item	vending machine
00003	?	put	change	correct amount of change	vending machine
00004	?	put	change	correct amount of money	vending machine
00005	?	put	change	desired selection	vending machine
00006	?	put	change	selection	vending machine
00007	?	put	change	coins	vending machine
00008	?	put	change	right money	vending machine
00009	?	put	change	money	vending machine
00010	?	put	change	product	vending machine
00011	?	put	change	goods	vending machine
00012	?	put	change	button	vending machine
00013	?	put	change	appropriate buttons	vending machine
00014	?	put	change	any	vending machine
00015	?	put	change	you	vending machine
00016	?	put	change	product code	vending machine
00017	?	put	change	code	vending machine
00018	?	put	change	machine	vending machine
00019	?	place	correct amount	item	vending machine
00020	?	place	correct amount	desired item	vending machine
00021	?	place	correct amount	correct amount of change	vending machine
00022	?	place	correct amount	correct amount of money	vending machine
00023	?	place	correct amount	desired selection	vending machine
00024	?	place	correct amount	selection	vending machine
00025	?	place	correct amount	coins	vending machine
00026	?	place	correct amount	change	vending machine
00027	?	place	correct amount	right money	vending machine
00028	?	place	correct amount	money	vending machine
00029	?	place	correct amount	product	vending machine
00030	?	place	correct amount	goods	vending machine
00031	?	place	correct amount	button	vending machine
00032	?	place	correct amount	appropriate buttons	vending machine
00033	?	place	correct amount	any	vending machine
00034	?	place	correct amount	you	vending machine
00035	?	place	correct amount	product code	vending machine
00036	?	place	correct amount	code	vending machine
00037	?	place	correct amount	machine	vending machine
00038	?	insert	right money	item	vending machine
00039	?	insert	right money	desired item	vending machine
00040	?	insert	right money	correct amount of change	vending machine
00041	?	insert	right money	correct amount of money	vending machine
00042	?	insert	right money	desired selection	vending machine
00043	?	insert	right money	selection	vending machine
00044	?	insert	right money	coins	vending machine
00045	?	insert	right money	change	vending machine
00046	?	insert	right money	money	vending machine
00047	?	insert	right money	product	vending machine
00048	?	insert	right money	goods	vending machine
00049	?	insert	right money	button	vending machine
00050	?	insert	right money	appropriate buttons	vending machine
00051	?	insert	right money	any	vending machine
00052	?	insert	right money	you	vending machine
00053	?	insert	right money	product code	vending machine
00054	?	insert	right money	code	vending machine
00055	?	insert	right money	machine	vending machine
00056	?	approach	machine	item	vending machine
00057	?	approach	machine	desired item	vending machine
00058	?	approach	machine	correct amount of change	vending machine
00059	?	approach	machine	correct amount of money	vending machine
00060	?	approach	machine	desired selection	vending machine
00061	?	approach	machine	selection	vending machine
00062	?	approach	machine	coins	vending machine
00063	?	approach	machine	change	vending machine
00064	?	approach	machine	right money	vending machine
00065	?	approach	machine	money	vending machine
00066	?	approach	machine	product	vending machine
00067	?	approach	machine	goods	vending machine
00068	?	approach	machine	button	vending machine
00069	?	approach	machine	appropriate buttons	vending machine
00070	?	approach	machine	any	vending machine
00071	?	approach	machine	you	vending machine
00072	?	approach	machine	product code	vending machine
00073	?	approach	machine	code	vending machine
00074	?	find	change	item	vending machine
00075	?	find	change	desired item	vending machine
00076	?	find	change	correct amount of change	vending machine
00077	?	find	change	correct amount of money	vending machine
00078	?	find	change	desired selection	vending machine
00079	?	find	change	selection	vending machine
00080	?	find	change	coins	vending machine
00081	?	find	change	right money	vending machine
00082	?	find	change	money	vending machine
00083	?	find	change	product	vending machine
00084	?	find	change	goods	vending machine
00085	?	find	change	button	vending machine
00086	?	find	change	appropriate buttons	vending machine
00087	?	find	change	any	vending machine
00088	?	find	change	you	vending machine
00089	?	find	change	product code	vending machine
00090	?	find	change	code	vending machine
00091	?	find	change	machine	vending machine
00092	?	choose	product	item	vending machine
00093	?	choose	product	desired item	vending machine
00094	?	choose	product	correct amount of change	vending machine
00095	?	choose	product	correct amount of money	vending machine
00096	?	choose	product	desired selection	vending machine
00097	?	choose	product	selection	vending machine
00098	?	choose	product	coins	vending machine
00099	?	choose	product	change	vending machine
00100	?	choose	product	right money	vending machine
00101	?	choose	product	money	vending machine
00102	?	choose	product	goods	vending machine
00103	?	choose	product	button	vending machine
00104	?	choose	product	appropriate buttons	vending machine
00105	?	choose	product	any	vending machine
00106	?	choose	product	you	vending machine
00107	?	choose	product	product code	vending machine
00108	?	choose	product	code	vending machine
00109	?	choose	product	machine	vending machine
00110	?	select	correct product code	item	vending machine
00111	?	select	correct product code	desired item	vending machine
00112	?	select	correct product code	correct amount of change	vending machine
00113	?	select	correct product code	correct amount of money	vending machine
00114	?	select	correct product code	desired selection	vending machine
00115	?	select	correct product code	selection	vending machine
00116	?	select	correct product code	coins	vending machine
00117	?	select	correct product code	change	vending machine
00118	?	select	correct product code	right money	vending machine
00119	?	select	correct product code	money	vending machine
00120	?	select	correct product code	product	vending machine
00121	?	select	correct product code	goods	vending machine
00122	?	select	correct product code	button	vending machine
00123	?	select	correct product code	appropriate buttons	vending machine
00124	?	select	correct product code	any	vending machine
00125	?	select	correct product code	you	vending machine
00126	?	select	correct product code	product code	vending machine
00127	?	select	correct product code	code	vending machine
00128	?	select	correct product code	machine	vending machine
00129	?	collect	change	item	vending machine
00130	?	collect	change	desired item	vending machine
00131	?	collect	change	correct amount of change	vending machine
00132	?	collect	change	correct amount of money	vending machine
00133	?	collect	change	desired selection	vending machine
00134	?	collect	change	selection	vending machine
00135	?	collect	change	coins	vending machine
00136	?	collect	change	right money	vending machine
00137	?	collect	change	money	vending machine
00138	?	collect	change	product	vending machine
00139	?	collect	change	goods	vending machine
00140	?	collect	change	button	vending machine
00141	?	collect	change	appropriate buttons	vending machine
