id	score	v	d-obj	p	p-title
00001	0.004318932872762171	put	change	item	vending machine
00002	0.0016240629360319185	put	change	desired item	vending machine
00003	0.0016899669392332136	put	change	correct amount of change	vending machine
00004	0.003379933878466427	put	change	correct amount of money	vending machine
00005	0.0005413543120106395	put	change	desired selection	vending machine
00006	0.00212550358981887	put	change	selection	vending machine
00007	0.0022720237736340463	put	change	coins	vending machine
00008	0.0005413543120106395	put	change	right money	vending machine
00009	0.005383726207140404	put	change	money	vending machine
00010	0.007569649660027026	put	change	product	vending machine
00011	0.0008456803651358805	put	change	goods	vending machine
00012	0.0011839635530406037	put	change	button	vending machine
00013	0.0005413543120106395	put	change	appropriate buttons	vending machine
00014	0.0002028607692682215	put	change	any	vending machine
00015	0.0003566681541885391	put	change	you	vending machine
00016	0.0016240629360319185	put	change	product code	vending machine
00017	0.001816715918406486	put	change	code	vending machine
00018	0.004359604314824658	put	change	machine	vending machine
00019	0.004973325283091476	place	correct amount	item	vending machine
00020	0.0018701363274335123	place	correct amount	desired item	vending machine
00021	0.0019460259175322634	place	correct amount	correct amount of change	vending machine
00022	0.0038920518350645267	place	correct amount	correct amount of money	vending machine
00023	0.0006233787758111708	place	correct amount	desired selection	vending machine
00024	0.00244755384118469	place	correct amount	selection	vending machine
00025	0.002616274346022079	place	correct amount	coins	vending machine
00026	0.0026891387231845637	place	correct amount	change	vending machine
00027	0.0006233787758111708	place	correct amount	right money	vending machine
00028	0.006199453071399463	place	correct amount	money	vending machine
00029	0.008716581421252912	place	correct amount	product	vending machine
00030	0.0009738154459100127	place	correct amount	goods	vending machine
00031	0.0013633543391541143	place	correct amount	button	vending machine
00032	0.0006233787758111708	place	correct amount	appropriate buttons	vending machine
00033	0.00023359765536337118	place	correct amount	any	vending machine
00034	0.00041070949726638854	place	correct amount	you	vending machine
00035	0.0018701363274335123	place	correct amount	product code	vending machine
00036	0.002091979541100699	place	correct amount	code	vending machine
00037	0.005020159146239665	place	correct amount	machine	vending machine
00038	0.004973325283091476	insert	right money	item	vending machine
00039	0.0018701363274335123	insert	right money	desired item	vending machine
00040	0.0019460259175322634	insert	right money	correct amount of change	vending machine
00041	0.0038920518350645267	insert	right money	correct amount of money	vending machine
00042	0.0006233787758111708	insert	right money	desired selection	vending machine
00043	0.00244755384118469	insert	right money	selection	vending machine
00044	0.002616274346022079	insert	right money	coins	vending machine
00045	0.0026891387231845637	insert	right money	change	vending machine
00046	0.006199453071399463	insert	right money	money	vending machine
00047	0.008716581421252912	insert	right money	product	vending machine
00048	0.0009738154459100127	insert	right money	goods	vending machine
00049	0.0013633543391541143	insert	right money	button	vending machine
00050	0.0006233787758111708	insert	right money	appropriate buttons	vending machine
00051	0.00023359765536337118	insert	right money	any	vending machine
00052	0.00041070949726638854	insert	right money	you	vending machine
00053	0.0018701363274335123	insert	right money	product code	vending machine
00054	0.002091979541100699	insert	right money	code	vending machine
00055	0.005020159146239665	insert	right money	machine	vending machine
00056	0.004973325283091476	approach	machine	item	vending machine
00057	0.0018701363274335123	approach	machine	desired item	vending machine
00058	0.0019460259175322634	approach	machine	correct amount of change	vending machine
00059	0.0038920518350645267	approach	machine	correct amount of money	vending machine
00060	0.0006233787758111708	approach	machine	desired selection	vending machine
00061	0.00244755384118469	approach	machine	selection	vending machine
00062	0.002616274346022079	approach	machine	coins	vending machine
00063	0.0026891387231845637	approach	machine	change	vending machine
00064	0.0006233787758111708	approach	machine	right money	vending machine
00065	0.006199453071399463	approach	machine	money	vending machine
00066	0.008716581421252912	approach	machine	product	vending machine
00067	0.0009738154459100127	approach	machine	goods	vending machine
00068	0.0013633543391541143	approach	machine	button	vending machine
00069	0.0006233787758111708	approach	machine	appropriate buttons	vending machine
00070	0.00023359765536337118	approach	machine	any	vending machine
00071	0.00041070949726638854	approach	machine	you	vending machine
00072	0.0018701363274335123	approach	machine	product code	vending machine
00073	0.002091979541100699	approach	machine	code	vending machine
00074	0.004973325283091476	find	change	item	vending machine
00075	0.0018701363274335123	find	change	desired item	vending machine
00076	0.0019460259175322634	find	change	correct amount of change	vending machine
00077	0.0038920518350645267	find	change	correct amount of money	vending machine
00078	0.0006233787758111708	find	change	desired selection	vending machine
00079	0.00244755384118469	find	change	selection	vending machine
00080	0.002616274346022079	find	change	coins	vending machine
