id	score	v	d-obj	p	p-title
00001	0.0026930256951584056	put	soap	washer	laundry
00002	0.005558975419844562	put	soap	washing machine	laundry
00003	0.0005430150662317758	put	soap	laundry soap	laundry
00004	0.0017266523307973166	put	soap	detergent	laundry
00005	0.0009930400933425745	put	soap	wash cycle	laundry
00006	0.0007904642322746956	put	soap	cycle	laundry
00007	0.00017079681355991016	put	soap	basket	laundry
00008	0.00019860801866851486	put	soap	washing program	laundry
00009	0.0002796981672317337	put	soap	program	laundry
00010	0.00014422015193697548	put	soap	warm water	laundry
00011	0.0001842212183088982	put	soap	water	laundry
00012	0.00020715582270449277	put	soap	drawer	laundry
00013	0.00022870054010288866	put	soap	powder drawer	laundry
00014	0.0003436860894323966	put	soap	required powder amount	laundry
00015	0.0	put	soap	1 measure of powder liquid soap	laundry
00016	0.00012576208577015578	put	soap	items	laundry
00017	7.381157539680587e-05	put	soap	piece	laundry
00018	0.001806775388056447	put	soap	dryer	laundry
00019	0.00022870054010288866	put	soap	1 measure	laundry
00020	0.0	put	soap	one half cup of deterget	laundry
00021	0.002263687509643273	put	soap	dirty clothes	laundry
00022	0.0048293220432841	put	soap	clothes	laundry
00023	0.0003436860894323966	put	soap	washing machine lid	laundry
00024	0.0003574473714554323	put	soap	lid	laundry
00025	0.0016290451986953273	put	soap	dirty laundry	laundry
00026	0.00022870054010288866	put	soap	washer settings	laundry
00027	0.0001756117106648764	put	soap	settings	laundry
00028	0.0003964071549722885	put	soap	start	laundry
00029	5.296050952273071e-05	put	soap	button	laundry
00030	0.00022584692350705588	put	soap	color	laundry
00031	0.0	put	soap	colors	laundry
00032	0.004081149198177591	wash	white clothes	washer	laundry
00033	0.00842435633576571	wash	white clothes	washing machine	laundry
00034	0.0008229128693923618	wash	white clothes	laundry soap	laundry
00035	0.0026166574600583023	wash	white clothes	detergent	laundry
00036	0.0015049038663052425	wash	white clothes	wash cycle	laundry
00037	0.0011979100212581458	wash	white clothes	cycle	laundry
00038	0.00025883424727973645	wash	white clothes	basket	laundry
00039	0.00030098077326104846	wash	white clothes	washing program	laundry
00040	0.00042386894153358183	wash	white clothes	program	laundry
00041	0.000218558611786293	wash	white clothes	warm water	laundry
00042	0.00027917827844729695	wash	white clothes	water	laundry
00043	0.0003139345537059686	wash	white clothes	drawer	laundry
00044	0.0003465845229556137	wash	white clothes	powder drawer	laundry
00045	0.0005208395192194084	wash	white clothes	required powder amount	laundry
00046	0.0	wash	white clothes	1 measure of powder liquid soap	laundry
00047	0.0001905863120521851	wash	white clothes	items	laundry
00048	0.00011185784535530775	wash	white clothes	piece	laundry
00049	0.0027380800485900477	wash	white clothes	dryer	laundry
00050	0.0003465845229556137	wash	white clothes	1 measure	laundry
00051	0.0	wash	white clothes	one half cup of deterget	laundry
00052	0.0034305081015433307	wash	white clothes	dirty clothes	laundry
00053	0.007318602202765452	wash	white clothes	clothes	laundry
00054	0.0005208395192194084	wash	white clothes	washing machine lid	laundry
00055	0.000541694071478296	wash	white clothes	lid	laundry
00056	0.0024687386081770854	wash	white clothes	dirty laundry	laundry
00057	0.0003465845229556137	wash	white clothes	washer settings	laundry
00058	0.000266130989191471	wash	white clothes	settings	laundry
00059	0.0006007357247186814	wash	white clothes	start	laundry
00060	8.025907118612013e-05	wash	white clothes	button	laundry
00061	0.00034226000607375597	wash	white clothes	color	laundry
00062	0.0	wash	white clothes	colors	laundry
00063	0.008162298396355181	add	laundry detergent	washer	laundry
00064	0.01684871267153142	add	laundry detergent	washing machine	laundry
00065	0.0016458257387847236	add	laundry detergent	laundry soap	laundry
00066	0.005233314920116605	add	laundry detergent	detergent	laundry
00067	0.003009807732610485	add	laundry detergent	wash cycle	laundry
00068	0.0023958200425162916	add	laundry detergent	cycle	laundry
