id	score	v	d-obj	p	p-title
00001	?	set	setting	utensil	microwave
00002	?	set	setting	microwavable utensil	microwave
00003	?	set	setting	cover	microwave
00004	?	set	setting	protective cover	microwave
00005	?	set	setting	stop	microwave
00006	?	set	setting	start button	microwave
00007	?	set	setting	oven	microwave
00008	?	set	setting	start	microwave
00009	?	set	setting	plate	microwave
00010	?	set	setting	microwave safe container	microwave
00011	?	set	setting	cooking time	microwave
00012	?	set	setting	time	microwave
00013	?	set	setting	microwave door	microwave
00014	?	set	setting	door	microwave
00015	?	set	setting	cooking temperature	microwave
00016	?	set	setting	temperature	microwave
00017	?	set	setting	timer	microwave
00018	?	set	setting	food	microwave
00019	?	set	setting	plastic	microwave
00020	?	set	setting	imp protagonist	microwave
00021	?	set	setting	power level	microwave
00022	?	set	setting	power	microwave
00023	?	open	panel	utensil	microwave
00024	?	open	panel	microwavable utensil	microwave
00025	?	open	panel	cover	microwave
00026	?	open	panel	protective cover	microwave
00027	?	open	panel	stop	microwave
00028	?	open	panel	start button	microwave
00029	?	open	panel	oven	microwave
00030	?	open	panel	start	microwave
00031	?	open	panel	plate	microwave
00032	?	open	panel	microwave safe container	microwave
00033	?	open	panel	cooking time	microwave
00034	?	open	panel	time	microwave
00035	?	open	panel	microwave door	microwave
00036	?	open	panel	door	microwave
00037	?	open	panel	cooking temperature	microwave
00038	?	open	panel	temperature	microwave
00039	?	open	panel	timer	microwave
00040	?	open	panel	food	microwave
00041	?	open	panel	plastic	microwave
00042	?	open	panel	imp protagonist	microwave
00043	?	open	panel	power level	microwave
00044	?	open	panel	power	microwave
00045	?	put	food	utensil	microwave
00046	?	put	food	microwavable utensil	microwave
00047	?	put	food	cover	microwave
00048	?	put	food	protective cover	microwave
00049	?	put	food	stop	microwave
00050	?	put	food	start button	microwave
00051	?	put	food	oven	microwave
00052	?	put	food	start	microwave
00053	?	put	food	plate	microwave
00054	?	put	food	microwave safe container	microwave
00055	?	put	food	cooking time	microwave
00056	?	put	food	time	microwave
00057	?	put	food	microwave door	microwave
00058	?	put	food	door	microwave
00059	?	put	food	cooking temperature	microwave
00060	?	put	food	temperature	microwave
00061	?	put	food	timer	microwave
00062	?	put	food	plastic	microwave
00063	?	put	food	imp protagonist	microwave
00064	?	put	food	power level	microwave
00065	?	put	food	power	microwave
