id	score	v	d-obj	p	p-title
00001	0.00014490950050083926	set	setting	utensil	microwave
00002	0.00013342595108258886	set	setting	microwavable utensil	microwave
00003	0.00019123542857943918	set	setting	cover	microwave
00004	0.00013342595108258886	set	setting	protective cover	microwave
00005	6.727820270143848e-05	set	setting	stop	microwave
00006	0.0006759482324732993	set	setting	start button	microwave
00007	0.00025954473560503436	set	setting	oven	microwave
00008	0.0009617243711408664	set	setting	start	microwave
00009	0.00047706811400400587	set	setting	plate	microwave
00010	0.0014367667923171465	set	setting	microwave safe container	microwave
00011	0.0006952182213007493	set	setting	cooking time	microwave
00012	0.0011200051112340986	set	setting	time	microwave
00013	0.0029353709238169544	set	setting	microwave door	microwave
00014	0.0010787971959490912	set	setting	door	microwave
00015	0.00013342595108258886	set	setting	cooking temperature	microwave
00016	0.00021206184174960132	set	setting	temperature	microwave
00017	0.0013641924674343236	set	setting	timer	microwave
00018	0.003938349768606982	set	setting	food	microwave
00019	0.00012401749703948398	set	setting	plastic	microwave
00020	0.0	set	setting	imp protagonist	microwave
00021	0.0010674076086607108	set	setting	power level	microwave
00022	0.00042412368349920265	set	setting	power	microwave
00023	0.00014490950050083926	open	panel	utensil	microwave
00024	0.00013342595108258886	open	panel	microwavable utensil	microwave
00025	0.00019123542857943918	open	panel	cover	microwave
00026	0.00013342595108258886	open	panel	protective cover	microwave
00027	6.727820270143848e-05	open	panel	stop	microwave
00028	0.0006759482324732993	open	panel	start button	microwave
00029	0.00025954473560503436	open	panel	oven	microwave
00030	0.0009617243711408664	open	panel	start	microwave
00031	0.00047706811400400587	open	panel	plate	microwave
00032	0.0014367667923171465	open	panel	microwave safe container	microwave
00033	0.0006952182213007493	open	panel	cooking time	microwave
00034	0.0011200051112340986	open	panel	time	microwave
00035	0.0029353709238169544	open	panel	microwave door	microwave
00036	0.0010787971959490912	open	panel	door	microwave
00037	0.00013342595108258886	open	panel	cooking temperature	microwave
00038	0.00021206184174960132	open	panel	temperature	microwave
00039	0.0013641924674343236	open	panel	timer	microwave
00040	0.003938349768606982	open	panel	food	microwave
00041	0.00012401749703948398	open	panel	plastic	microwave
00042	0.0	open	panel	imp protagonist	microwave
00043	0.0010674076086607108	open	panel	power level	microwave
00044	0.00042412368349920265	open	panel	power	microwave
00045	0.002526285129811102	put	food	utensil	microwave
00046	0.0023260862468358	put	food	microwavable utensil	microwave
00047	0.0033339099082084836	put	food	cover	microwave
00048	0.0023260862468358	put	food	protective cover	microwave
00049	0.0011728970319932663	put	food	stop	microwave
00050	0.0117841684797575	put	food	start button	microwave
00051	0.004524782735525024	put	food	oven	microwave
00052	0.016766257349538186	put	food	start	microwave
00053	0.00831698458796611	put	food	plate	microwave
00054	0.025047926946764828	put	food	microwave safe container	microwave
00055	0.012120112541797318	put	food	cooking time	microwave
00056	0.019525650478705123	put	food	time	microwave
00057	0.051173897430387597	put	food	microwave door	microwave
00058	0.018807250765399734	put	food	door	microwave
00059	0.0023260862468358	put	food	cooking temperature	microwave
00060	0.0036969879515199224	put	food	temperature	microwave
00061	0.02378269977308829	put	food	timer	microwave
00062	0.0021620636157352996	put	food	plastic	microwave
00063	0.0	put	food	imp protagonist	microwave
00064	0.0186086899746864	put	food	power level	microwave
00065	0.007393975903039845	put	food	power	microwave
00066	0.00014490950050083926	put	safe container	utensil	microwave
00067	0.00013342595108258886	put	safe container	microwavable utensil	microwave
00068	0.00019123542857943918	put	safe container	cover	microwave
00069	0.00013342595108258886	put	safe container	protective cover	microwave
00070	6.727820270143848e-05	put	safe container	stop	microwave
00071	0.0006759482324732993	put	safe container	start button	microwave
00072	0.00025954473560503436	put	safe container	oven	microwave
00073	0.0009617243711408664	put	safe container	start	microwave
00074	0.00047706811400400587	put	safe container	plate	microwave
00075	0.0014367667923171465	put	safe container	microwave safe container	microwave
00076	0.0006952182213007493	put	safe container	cooking time	microwave
00077	0.0011200051112340986	put	safe container	time	microwave
00078	0.0029353709238169544	put	safe container	microwave door	microwave
00079	0.0010787971959490912	put	safe container	door	microwave
00080	0.00013342595108258886	put	safe container	cooking temperature	microwave
00081	0.00021206184174960132	put	safe container	temperature	microwave
00082	0.0013641924674343236	put	safe container	timer	microwave
00083	0.003938349768606982	put	safe container	food	microwave
00084	0.00012401749703948398	put	safe container	plastic	microwave
00085	0.0	put	safe container	imp protagonist	microwave
00086	0.0010674076086607108	put	safe container	power level	microwave
00087	0.00042412368349920265	put	safe container	power	microwave
00088	0.0004025467919246043	push	start	utensil	microwave
00089	0.0003706464267846555	push	start	microwavable utensil	microwave
00090	0.0005312364476512302	push	start	cover	microwave
00091	0.0003706464267846555	push	start	protective cover	microwave
00092	0.00018689336841486422	push	start	stop	microwave
00093	0.001877729145078775	push	start	start button	microwave
00094	0.0007209941399123178	push	start	oven	microwave
00095	0.0013252563714462717	push	start	plate	microwave
00096	0.003991221148317476	push	start	microwave safe container	microwave
00097	0.0019312596048215993	push	start	cooking time	microwave
00098	0.0031112829932350415	push	start	time	microwave
00099	0.00815422138926242	push	start	microwave door	microwave
00100	0.0029968107602720653	push	start	door	microwave
00101	0.0003706464267846555	push	start	cooking temperature	microwave
00102	0.0005890905274732537	push	start	temperature	microwave
00103	0.00378961558376372	push	start	timer	microwave
00104	0.010940414944157274	push	start	food	microwave
00105	0.00034451050761488374	push	start	plastic	microwave
00106	0.0	push	start	imp protagonist	microwave
00107	0.002965171414277244	push	start	power level	microwave
00108	0.0011781810549465073	push	start	power	microwave
00109	0.00011468861125364537	remove	container	utensil	microwave
00110	0.00010559995709025516	remove	container	microwavable utensil	microwave
00111	0.00015135326290179667	remove	container	cover	microwave
00112	0.00010559995709025516	remove	container	protective cover	microwave
00113	5.324732753063725e-05	remove	container	stop	microwave
00114	0.0005349791683345837	remove	container	start button	microwave
00115	0.00020541665785787146	remove	container	oven	microwave
00116	0.0007611566678079368	remove	container	start	microwave
00117	0.00037757551630093647	remove	container	plate	microwave
00118	0.0011371289497009473	remove	container	microwave safe container	microwave
00119	0.0005502303992742742	remove	container	cooking time	microwave
00120	0.0008864279454450223	remove	container	time	microwave
00121	0.0023231990559856135	remove	container	microwave door	microwave
00122	0.000853813944566122	remove	container	door	microwave
00123	0.00010559995709025516	remove	container	cooking temperature	microwave
00124	0.0001678363257487816	remove	container	temperature	microwave
00125	0.0010796900067419682	remove	container	timer	microwave
00126	0.0031170065732856094	remove	container	food	microwave
00127	9.815363697654259e-05	remove	container	plastic	microwave
00128	0.0	remove	container	imp protagonist	microwave
00129	0.0008447996567220413	remove	container	power level	microwave
00130	0.0003356726514975632	remove	container	power	microwave
00131	0.00010677498408995455	press	buttons	utensil	microwave
00132	9.831345601766095e-05	press	buttons	microwavable utensil	microwave
00133	0.00014090973865365714	press	buttons	cover	microwave
00134	9.831345601766095e-05	press	buttons	protective cover	microwave
00135	4.957320947362748e-05	press	buttons	stop	microwave
00136	0.0004980650786768216	press	buttons	start button	microwave
00137	0.000191242706096406	press	buttons	oven	microwave
00138	0.0007086361078643895	press	buttons	start	microwave
00139	0.0003515224337020424	press	buttons	plate	microwave
00140	0.001058665931912103	press	buttons	microwave safe container	microwave
00141	0.0005122639596566968	press	buttons	cooking time	microwave
00142	0.0008252635439316557	press	buttons	time	microwave
00143	0.0021628960323885407	press	buttons	microwave door	microwave
00144	0.0007948999412435671	press	buttons	door	microwave
00145	9.831345601766095e-05	press	buttons	cooking temperature	microwave
00146	0.00015625545392566585	press	buttons	temperature	microwave
00147	0.0010051903326041215	press	buttons	timer	microwave
00148	0.0029019300489635676	press	buttons	food	microwave
00149	9.138093932764743e-05	press	buttons	plastic	microwave
00150	0.0	press	buttons	imp protagonist	microwave
00151	0.0007865076481412876	press	buttons	power level	microwave
00152	0.0003125109078513317	press	buttons	power	microwave
00153	0.0008446772200645145	take	food	utensil	microwave
00154	0.0007777396309792146	take	food	microwavable utensil	microwave
00155	0.0011147109722415417	take	food	cover	microwave
00156	0.0007777396309792146	take	food	protective cover	microwave
00157	0.00039216452359836017	take	food	stop	microwave
00158	0.00394010104195868	take	food	start button	microwave
00159	0.0015128858011070857	take	food	oven	microwave
00160	0.005605889644750073	take	food	start	microwave
00161	0.0027808291859786703	take	food	plate	microwave
00162	0.008374911070847478	take	food	microwave safe container	microwave
00163	0.0040524257724779906	take	food	cooking time	microwave
00164	0.0065285077965594575	take	food	time	microwave
00165	0.01711027188154272	take	food	microwave door	microwave
00166	0.0062883069318315265	take	food	door	microwave
00167	0.0007777396309792146	take	food	cooking temperature	microwave
00168	0.0012361080974796184	take	food	temperature	microwave
00169	0.007951875460496128	take	food	timer	microwave
00170	0.0007228977691360117	take	food	plastic	microwave
00171	0.0	take	food	imp protagonist	microwave
00172	0.006221917047833717	take	food	power level	microwave
