id	score	v	d-obj	p	p-title
00001	?	lick	end	front middle	letter
00002	?	lick	end	front of envelope	letter
00003	?	lick	end	evelope	letter
00004	?	lick	end	protection	letter
00005	?	lick	end	return address on envelope	letter
00006	?	lick	end	front right hand corner	letter
00007	?	lick	end	upper left hand corner	letter
00008	?	lick	end	mailing place	letter
00009	?	lick	end	and place	letter
00010	?	lick	end	return address	letter
00011	?	lick	end	address	letter
00012	?	lick	end	sufficient stamps	letter
00013	?	lick	end	envelope and stamps	letter
00014	?	lick	end	return address	letter
00015	?	lick	end	address	letter
00016	?	lick	end	front middle	letter
00017	?	lick	end	front of envelope	letter
00018	?	lick	end	mail box	letter
00019	?	lick	end	mailbox	letter
00020	?	lick	end	pencil or pen	letter
00021	?	lick	end	pen	letter
00022	?	lick	end	paper	letter
00023	?	lick	end	stamp	letter
00024	?	lick	end	postage stamp	letter
00025	?	lick	end	post office	letter
00026	?	lick	end	box or post office	letter
00027	?	lick	end	letter to next mailbox	letter
00028	?	lick	end	envelope and seal envelope	letter
00029	?	lick	end	envelope	letter
00030	?	sign	letter	front middle	letter
00031	?	sign	letter	front of envelope	letter
00032	?	sign	letter	evelope	letter
00033	?	sign	letter	protection	letter
00034	?	sign	letter	return address on envelope	letter
00035	?	sign	letter	front right hand corner	letter
00036	?	sign	letter	upper left hand corner	letter
00037	?	sign	letter	mailing place	letter
00038	?	sign	letter	and place	letter
00039	?	sign	letter	return address	letter
00040	?	sign	letter	address	letter
00041	?	sign	letter	sufficient stamps	letter
00042	?	sign	letter	envelope and stamps	letter
00043	?	sign	letter	return address	letter
00044	?	sign	letter	address	letter
00045	?	sign	letter	front middle	letter
00046	?	sign	letter	front of envelope	letter
00047	?	sign	letter	mail box	letter
00048	?	sign	letter	mailbox	letter
00049	?	sign	letter	pencil or pen	letter
00050	?	sign	letter	pen	letter
00051	?	sign	letter	paper	letter
00052	?	sign	letter	stamp	letter
00053	?	sign	letter	postage stamp	letter
00054	?	sign	letter	post office	letter
00055	?	sign	letter	box or post office	letter
00056	?	sign	letter	letter to next mailbox	letter
00057	?	sign	letter	envelope and seal envelope	letter
00058	?	sign	letter	envelope	letter
00059	?	insert	letter	front middle	letter
00060	?	insert	letter	front of envelope	letter
00061	?	insert	letter	evelope	letter
00062	?	insert	letter	protection	letter
00063	?	insert	letter	return address on envelope	letter
00064	?	insert	letter	front right hand corner	letter
00065	?	insert	letter	upper left hand corner	letter
00066	?	insert	letter	mailing place	letter
00067	?	insert	letter	and place	letter
00068	?	insert	letter	return address	letter
00069	?	insert	letter	address	letter
00070	?	insert	letter	sufficient stamps	letter
00071	?	insert	letter	envelope and stamps	letter
00072	?	insert	letter	return address	letter
00073	?	insert	letter	address	letter
00074	?	insert	letter	front middle	letter
00075	?	insert	letter	front of envelope	letter
00076	?	insert	letter	mail box	letter
00077	?	insert	letter	mailbox	letter
00078	?	insert	letter	pencil or pen	letter
00079	?	insert	letter	pen	letter
00080	?	insert	letter	paper	letter
00081	?	insert	letter	stamp	letter
00082	?	insert	letter	postage stamp	letter
00083	?	insert	letter	post office	letter
00084	?	insert	letter	box or post office	letter
00085	?	insert	letter	letter to next mailbox	letter
00086	?	insert	letter	envelope and seal envelope	letter
00087	?	insert	letter	envelope	letter
00088	?	ready	stamps	front middle	letter
00089	?	ready	stamps	front of envelope	letter
00090	?	ready	stamps	evelope	letter
00091	?	ready	stamps	protection	letter
00092	?	ready	stamps	return address on envelope	letter
00093	?	ready	stamps	front right hand corner	letter
00094	?	ready	stamps	upper left hand corner	letter
00095	?	ready	stamps	mailing place	letter
00096	?	ready	stamps	and place	letter
00097	?	ready	stamps	return address	letter
00098	?	ready	stamps	address	letter
00099	?	ready	stamps	sufficient stamps	letter
00100	?	ready	stamps	envelope and stamps	letter
00101	?	ready	stamps	return address	letter
00102	?	ready	stamps	address	letter
00103	?	ready	stamps	front middle	letter
00104	?	ready	stamps	front of envelope	letter
00105	?	ready	stamps	mail box	letter
