id	score	v	d-obj	p	p-title
00001	0.00011755127540140668	lick	end	front middle	letter
00002	0.0	lick	end	front of envelope	letter
00003	0.00026514235906069134	lick	end	evelope	letter
00004	6.994896548095308e-05	lick	end	protection	letter
00005	0.0005377970849614356	lick	end	return address on envelope	letter
00006	0.0002688985424807178	lick	end	front right hand corner	letter
00007	0.0002688985424807178	lick	end	upper left hand corner	letter
00008	0.00011755127540140668	lick	end	mailing place	letter
00009	0.00013704123494721903	lick	end	and place	letter
00010	0.0008166705995159276	lick	end	return address	letter
00011	0.00205438627147134	lick	end	address	letter
00012	0.00011755127540140668	lick	end	sufficient stamps	letter
00013	0.00017460944316929726	lick	end	envelope and stamps	letter
00014	0.0008166705995159276	lick	end	return address	letter
00015	0.00205438627147134	lick	end	address	letter
00016	0.00011755127540140668	lick	end	front middle	letter
00017	0.0	lick	end	front of envelope	letter
00018	0.0018616439034142168	lick	end	mail box	letter
00019	0.0026243901575965616	lick	end	mailbox	letter
00020	0.00012865906273860602	lick	end	pencil or pen	letter
00021	0.0001604797012514258	lick	end	pen	letter
00022	0.00014024565151145833	lick	end	paper	letter
00023	0.0027351415539632004	lick	end	stamp	letter
00024	0.0004083352997579638	lick	end	postage stamp	letter
00025	0.0001860718928750162	lick	end	post office	letter
00026	0.0002688985424807178	lick	end	box or post office	letter
00027	0.0	lick	end	letter to next mailbox	letter
00028	0.0002688985424807178	lick	end	envelope and seal envelope	letter
00029	0.009084041211812824	lick	end	envelope	letter
00030	0.00023510255080281335	sign	letter	front middle	letter
00031	0.0	sign	letter	front of envelope	letter
00032	0.0005302847181213827	sign	letter	evelope	letter
00033	0.00013989793096190616	sign	letter	protection	letter
00034	0.0010755941699228712	sign	letter	return address on envelope	letter
00035	0.0005377970849614356	sign	letter	front right hand corner	letter
00036	0.0005377970849614356	sign	letter	upper left hand corner	letter
00037	0.00023510255080281335	sign	letter	mailing place	letter
00038	0.00027408246989443807	sign	letter	and place	letter
00039	0.0016333411990318552	sign	letter	return address	letter
00040	0.00410877254294268	sign	letter	address	letter
00041	0.00023510255080281335	sign	letter	sufficient stamps	letter
00042	0.0003492188863385945	sign	letter	envelope and stamps	letter
00043	0.0016333411990318552	sign	letter	return address	letter
00044	0.00410877254294268	sign	letter	address	letter
00045	0.00023510255080281335	sign	letter	front middle	letter
00046	0.0	sign	letter	front of envelope	letter
00047	0.0037232878068284335	sign	letter	mail box	letter
00048	0.005248780315193123	sign	letter	mailbox	letter
00049	0.00025731812547721204	sign	letter	pencil or pen	letter
00050	0.0003209594025028516	sign	letter	pen	letter
00051	0.00028049130302291666	sign	letter	paper	letter
00052	0.005470283107926401	sign	letter	stamp	letter
00053	0.0008166705995159276	sign	letter	postage stamp	letter
00054	0.0003721437857500324	sign	letter	post office	letter
00055	0.0005377970849614356	sign	letter	box or post office	letter
00056	0.0	sign	letter	letter to next mailbox	letter
00057	0.0005377970849614356	sign	letter	envelope and seal envelope	letter
00058	0.018168082423625647	sign	letter	envelope	letter
