id	score	v	d-obj	p	p-title
00001	0.0004774944765217498	turn	kettle	holder	coffee
00002	0.0019090289162351833	turn	kettle	mug	coffee
00003	0.006356881290147541	turn	kettle	coffee pot	coffee
00004	0.002170858826368913	turn	kettle	brew	coffee
00005	0.0003178440645073771	turn	kettle	auto brew	coffee
00006	0.002531670493559227	turn	kettle	water	coffee
00007	0.0007156566598682274	turn	kettle	hot water	coffee
00008	0.0044498169031032785	turn	kettle	coffee maker	coffee
00009	0.0032453491575998115	turn	kettle	maker	coffee
00010	0.0015892203225368853	turn	kettle	coffee beans	coffee
00011	0.0009535321935221313	turn	kettle	coffee grounds	coffee
00012	0.0012060326813160627	turn	kettle	grounds	coffee
00013	0.00622056414107365	turn	kettle	filter	coffee
00014	0.0009535321935221313	turn	kettle	coffee filter	coffee
00015	0.00048241307252642503	turn	kettle	coffeemaker	coffee
00016	0.003155889140358098	turn	kettle	machine	coffee
00017	0.005085505032118034	turn	kettle	coffee machine	coffee
00018	0.0006284054104408324	turn	kettle	resevoir	coffee
00019	0.0004146655353961125	measure	water	holder	coffee
00020	0.0016578380202504081	measure	water	mug	coffee
00021	0.0055204399490231424	measure	water	coffee pot	coffee
00022	0.001885216231322497	measure	water	brew	coffee
00023	0.00027602199745115714	measure	water	auto brew	coffee
00024	0.000621490229972398	measure	water	hot water	coffee
00025	0.0038643079643162	measure	water	coffee maker	coffee
00026	0.002818324634425694	measure	water	maker	coffee
00027	0.0013801099872557856	measure	water	coffee beans	coffee
00028	0.0008280659923534715	measure	water	coffee grounds	coffee
00029	0.0010473423507347207	measure	water	grounds	coffee
00030	0.00540205947263281	measure	water	filter	coffee
00031	0.0008280659923534715	measure	water	coffee filter	coffee
00032	0.00041893694029388823	measure	water	coffeemaker	coffee
00033	0.0027406358070777804	measure	water	machine	coffee
00034	0.004416351959218514	measure	water	coffee machine	coffee
00035	0.0005457195397618223	measure	water	resevoir	coffee
00036	0.0017657855503842598	pour	water	holder	coffee
00037	0.007059632815250513	pour	water	mug	coffee
00038	0.023507893137145616	pour	water	coffee pot	coffee
00039	0.008027885841631834	pour	water	brew	coffee
00040	0.0011753946568572808	pour	water	auto brew	coffee
00041	0.002646514779054241	pour	water	hot water	coffee
00042	0.01645552519600193	pour	water	coffee maker	coffee
00043	0.012001375785925871	pour	water	maker	coffee
00044	0.005876973284286404	pour	water	coffee beans	coffee
00045	0.0035261839705718425	pour	water	coffee grounds	coffee
00046	0.0044599365786843525	pour	water	grounds	coffee
00047	0.02300378918633627	pour	water	filter	coffee
00048	0.0035261839705718425	pour	water	coffee filter	coffee
00049	0.0017839746314737407	pour	water	coffeemaker	coffee
00050	0.01167055058574086	pour	water	machine	coffee
00051	0.018806314509716492	pour	water	coffee machine	coffee
00052	0.002323857653019717	pour	water	resevoir	coffee
00053	0.0014324834295652493	grind	coffee	holder	coffee
00054	0.005727086748705549	grind	coffee	mug	coffee
00055	0.019070643870442622	grind	coffee	coffee pot	coffee
00056	0.006512576479106738	grind	coffee	brew	coffee
00057	0.0009535321935221311	grind	coffee	auto brew	coffee
00058	0.00759501148067768	grind	coffee	water	coffee
