id	score	v	d-obj	p	p-title
00001	0.0	put	card	merchant	credit card
00002	0.04405797255929765	put	card	cashier	credit card
00003	0.005263022835640573	put	card	process	credit card
00004	0.0	put	card	processing	credit card
00005	0.0	put	card	you	credit card
00006	0.0	put	card	amount	credit card
00007	0.0	put	card	total	credit card
00008	0.0	put	card	purchased goods	credit card
00009	0.0	put	card	receipt and goods	credit card
00010	0.03302706146692111	put	card	wallet	credit card
00011	0.009736940829683082	put	card	my wallet	credit card
00012	0.0	put	card	checkout	credit card
00013	0.0	put	card	merchant copy	credit card
00014	0.0	put	card	store copy	credit card
00015	0.008345963784664685	put	card	reader	credit card
00016	0.009736940829683082	put	card	cashier ring	credit card
00017	0.01774787545495155	put	card	charge slip	credit card
00018	0.00724779806119267	put	card	approval	credit card
00019	0.0	put	card	electric pad	credit card
00020	0.0	put	card	paper	credit card
00021	0.0	put	card	store copy of receipt	credit card
00022	0.0033109151229681767	put	card	store	credit card
00023	0.0	put	card	reciept	credit card
00024	0.0	put	card	clerk	credit card
00025	0.0	put	card	items	credit card
00026	0.00285513516730461	put	card	item	credit card
00027	0.004546934558381893	put	card	purchase	credit card
00028	0.0	put	card	purchases	credit card
00029	0.009736940829683082	put	card	my receipt	credit card
00030	0.03304347941947324	put	card	receipt	credit card
00031	0.0	get	credit card	merchant	credit card
00032	0.04405797255929765	get	credit card	cashier	credit card
00033	0.005263022835640573	get	credit card	process	credit card
00034	0.0	get	credit card	processing	credit card
00035	0.0	get	credit card	you	credit card
00036	0.0	get	credit card	amount	credit card
00037	0.0	get	credit card	total	credit card
00038	0.0	get	credit card	purchased goods	credit card
00039	0.0	get	credit card	receipt and goods	credit card
00040	0.03302706146692111	get	credit card	wallet	credit card
00041	0.009736940829683082	get	credit card	my wallet	credit card
00042	0.0	get	credit card	checkout	credit card
00043	0.0	get	credit card	merchant copy	credit card
00044	0.0	get	credit card	store copy	credit card
00045	0.008345963784664685	get	credit card	reader	credit card
00046	0.0636570838173465	get	credit card	card	credit card
00047	0.009736940829683082	get	credit card	cashier ring	credit card
00048	0.01774787545495155	get	credit card	charge slip	credit card
00049	0.00724779806119267	get	credit card	approval	credit card
00050	0.0	get	credit card	electric pad	credit card
00051	0.0	get	credit card	paper	credit card
00052	0.0	get	credit card	store copy of receipt	credit card
00053	0.0033109151229681767	get	credit card	store	credit card
00054	0.0	get	credit card	reciept	credit card
00055	0.0	get	credit card	clerk	credit card
00056	0.0	get	credit card	items	credit card
00057	0.00285513516730461	get	credit card	item	credit card
00058	0.004546934558381893	get	credit card	purchase	credit card
00059	0.0	get	credit card	purchases	credit card
00060	0.009736940829683082	get	credit card	my receipt	credit card
00061	0.03304347941947324	get	credit card	receipt	credit card
00062	0.0	hand	id	merchant	credit card
00063	0.04405797255929765	hand	id	cashier	credit card
00064	0.005263022835640573	hand	id	process	credit card
00065	0.0	hand	id	processing	credit card
00066	0.0	hand	id	you	credit card
00067	0.0	hand	id	amount	credit card
00068	0.0	hand	id	total	credit card
00069	0.0	hand	id	purchased goods	credit card
00070	0.0	hand	id	receipt and goods	credit card
00071	0.03302706146692111	hand	id	wallet	credit card
00072	0.009736940829683082	hand	id	my wallet	credit card
00073	0.0	hand	id	checkout	credit card
00074	0.0	hand	id	merchant copy	credit card
00075	0.0	hand	id	store copy	credit card
00076	0.008345963784664685	hand	id	reader	credit card
00077	0.0636570838173465	hand	id	card	credit card
00078	0.009736940829683082	hand	id	cashier ring	credit card
00079	0.01774787545495155	hand	id	charge slip	credit card
00080	0.00724779806119267	hand	id	approval	credit card
00081	0.0	hand	id	electric pad	credit card
00082	0.0	hand	id	paper	credit card
00083	0.0	hand	id	store copy of receipt	credit card
00084	0.0033109151229681767	hand	id	store	credit card
00085	0.0	hand	id	reciept	credit card
00086	0.0	hand	id	clerk	credit card
00087	0.0	hand	id	items	credit card
00088	0.00285513516730461	hand	id	item	credit card
00089	0.004546934558381893	hand	id	purchase	credit card
00090	0.0	hand	id	purchases	credit card
00091	0.009736940829683082	hand	id	my receipt	credit card
00092	0.03304347941947324	hand	id	receipt	credit card
00093	0.0	enter	zip code	merchant	credit card
00094	0.04405797255929765	enter	zip code	cashier	credit card
00095	0.005263022835640573	enter	zip code	process	credit card
00096	0.0	enter	zip code	processing	credit card
00097	0.0	enter	zip code	you	credit card
00098	0.0	enter	zip code	amount	credit card
00099	0.0	enter	zip code	total	credit card
00100	0.0	enter	zip code	purchased goods	credit card
00101	0.0	enter	zip code	receipt and goods	credit card
00102	0.03302706146692111	enter	zip code	wallet	credit card
00103	0.009736940829683082	enter	zip code	my wallet	credit card
00104	0.0	enter	zip code	checkout	credit card
00105	0.0	enter	zip code	merchant copy	credit card
00106	0.0	enter	zip code	store copy	credit card
00107	0.008345963784664685	enter	zip code	reader	credit card
00108	0.0636570838173465	enter	zip code	card	credit card
00109	0.009736940829683082	enter	zip code	cashier ring	credit card
00110	0.01774787545495155	enter	zip code	charge slip	credit card
00111	0.00724779806119267	enter	zip code	approval	credit card
00112	0.0	enter	zip code	electric pad	credit card
00113	0.0	enter	zip code	paper	credit card
00114	0.0	enter	zip code	store copy of receipt	credit card
00115	0.0033109151229681767	enter	zip code	store	credit card
00116	0.0	enter	zip code	reciept	credit card
00117	0.0	enter	zip code	clerk	credit card
00118	0.0	enter	zip code	items	credit card
00119	0.00285513516730461	enter	zip code	item	credit card
00120	0.004546934558381893	enter	zip code	purchase	credit card
00121	0.0	enter	zip code	purchases	credit card
00122	0.009736940829683082	enter	zip code	my receipt	credit card
00123	0.03304347941947324	enter	zip code	receipt	credit card
00124	0.0	put	receipt	merchant	credit card
00125	0.03826080442406171	put	receipt	cashier	credit card
00126	0.004570511889143197	put	receipt	process	credit card
00127	0.0	put	receipt	processing	credit card
00128	0.0	put	receipt	you	credit card
00129	0.0	put	receipt	amount	credit card
00130	0.0	put	receipt	total	credit card
00131	0.0	put	receipt	purchased goods	credit card
00132	0.0	put	receipt	receipt and goods	credit card
00133	0.028681345647183304	put	receipt	wallet	credit card
00134	0.008455749711854295	put	receipt	my wallet	credit card
00135	0.0	put	receipt	checkout	credit card
00136	0.0	put	receipt	merchant copy	credit card
00137	0.0	put	receipt	store copy	credit card
00138	0.0072477980611926705	put	receipt	reader	credit card
00139	0.05528105567870971	put	receipt	card	credit card
00140	0.008455749711854295	put	receipt	cashier ring	credit card
00141	0.015412601903334868	put	receipt	charge slip	credit card
00142	0.006294129484763723	put	receipt	approval	credit card
00143	0.0	put	receipt	electric pad	credit card
00144	0.0	put	receipt	paper	credit card
00145	0.0	put	receipt	store copy of receipt	credit card
00146	0.00287526340014982	put	receipt	store	credit card
00147	0.0	put	receipt	reciept	credit card
00148	0.0	put	receipt	clerk	credit card
00149	0.0	put	receipt	items	credit card
00150	0.0024794551790479355	put	receipt	item	credit card
00151	0.00394864683419355	put	receipt	purchase	credit card
00152	0.0	put	receipt	purchases	credit card
00153	0.008455749711854295	put	receipt	my receipt	credit card
00154	0.0	obtain	credit card	merchant	credit card
00155	0.04405797255929765	obtain	credit card	cashier	credit card
00156	0.005263022835640573	obtain	credit card	process	credit card
00157	0.0	obtain	credit card	processing	credit card
00158	0.0	obtain	credit card	you	credit card
00159	0.0	obtain	credit card	amount	credit card
00160	0.0	obtain	credit card	total	credit card
00161	0.0	obtain	credit card	purchased goods	credit card
00162	0.0	obtain	credit card	receipt and goods	credit card
00163	0.03302706146692111	obtain	credit card	wallet	credit card
00164	0.009736940829683082	obtain	credit card	my wallet	credit card
00165	0.0	obtain	credit card	checkout	credit card
00166	0.0	obtain	credit card	merchant copy	credit card
00167	0.0	obtain	credit card	store copy	credit card
00168	0.008345963784664685	obtain	credit card	reader	credit card
00169	0.0636570838173465	obtain	credit card	card	credit card
00170	0.009736940829683082	obtain	credit card	cashier ring	credit card
00171	0.01774787545495155	obtain	credit card	charge slip	credit card
00172	0.00724779806119267	obtain	credit card	approval	credit card
00173	0.0	obtain	credit card	electric pad	credit card
00174	0.0	obtain	credit card	paper	credit card
