id	score	v	d-obj	p	p-title
00001	?	wash	everything	i	shower
00002	?	wash	everything	washcloth	shower
00003	?	wash	everything	face and neck	shower
00004	?	wash	everything	face	shower
00005	?	wash	everything	conditioner	shower
00006	?	wash	everything	undress	shower
00007	?	wash	everything	curtain	shower
00008	?	wash	everything	door or curtain	shower
00009	?	wash	everything	self	shower
00010	?	wash	everything	body	shower
00011	?	wash	everything	your body	shower
00012	?	wash	everything	body parts	shower
00013	?	wash	everything	certain parts	shower
00014	?	wash	everything	shampoo	shower
00015	?	wash	everything	water	shower
00016	?	wash	everything	hot water	shower
00017	?	wash	everything	curtain or door	shower
00018	?	wash	everything	door	shower
00019	?	wash	everything	tap	shower
00020	?	wash	everything	hair	shower
00021	?	wash	everything	cloth	shower
00022	?	wash	everything	rinse	shower
00023	?	wash	everything	shampoo and rinse	shower
00024	?	wash	everything	fan	shower
00025	?	wash	everything	exhaust fan	shower
00026	?	wash	everything	my clothes	shower
00027	?	wash	everything	clothes	shower
00028	?	wash	everything	tub	shower
00029	?	wash	everything	bathroom	shower
00030	?	wash	everything	lather	shower
00031	?	wash	everything	whole head	shower
00032	?	wash	everything	towel	shower
00033	?	wash	everything	towels	shower
00034	?	wash	everything	good temperature	shower
00035	?	wash	everything	temperature	shower
00036	?	wash	everything	scrub	shower
00037	?	wash	everything	scrub soap over your body	shower
00038	?	wash	everything	shampoo and soap	shower
00039	?	wash	everything	soap	shower
00040	?	close	shower	i	shower
00041	?	close	shower	washcloth	shower
00042	?	close	shower	face and neck	shower
00043	?	close	shower	face	shower
00044	?	close	shower	conditioner	shower
00045	?	close	shower	undress	shower
00046	?	close	shower	curtain	shower
00047	?	close	shower	door or curtain	shower
00048	?	close	shower	self	shower
00049	?	close	shower	body	shower
00050	?	close	shower	your body	shower
00051	?	close	shower	body parts	shower
00052	?	close	shower	certain parts	shower
00053	?	close	shower	shampoo	shower
00054	?	close	shower	water	shower
00055	?	close	shower	hot water	shower
00056	?	close	shower	curtain or door	shower
00057	?	close	shower	door	shower
00058	?	close	shower	tap	shower
00059	?	close	shower	hair	shower
00060	?	close	shower	cloth	shower
00061	?	close	shower	rinse	shower
00062	?	close	shower	shampoo and rinse	shower
00063	?	close	shower	fan	shower
00064	?	close	shower	exhaust fan	shower
00065	?	close	shower	my clothes	shower
00066	?	close	shower	clothes	shower
00067	?	close	shower	tub	shower
00068	?	close	shower	bathroom	shower
00069	?	close	shower	lather	shower
00070	?	close	shower	whole head	shower
00071	?	close	shower	towel	shower
00072	?	close	shower	towels	shower
00073	?	close	shower	good temperature	shower
00074	?	close	shower	temperature	shower
00075	?	close	shower	scrub	shower
00076	?	close	shower	scrub soap over your body	shower
00077	?	close	shower	shampoo and soap	shower
00078	?	close	shower	soap	shower
00079	?	put	soap	i	shower
00080	?	put	soap	washcloth	shower
00081	?	put	soap	face and neck	shower
00082	?	put	soap	face	shower
00083	?	put	soap	conditioner	shower
00084	?	put	soap	undress	shower
00085	?	put	soap	curtain	shower
00086	?	put	soap	door or curtain	shower
00087	?	put	soap	self	shower
00088	?	put	soap	body	shower
00089	?	put	soap	your body	shower
00090	?	put	soap	body parts	shower
00091	?	put	soap	certain parts	shower
00092	?	put	soap	shampoo	shower
00093	?	put	soap	water	shower
00094	?	put	soap	hot water	shower
00095	?	put	soap	curtain or door	shower
00096	?	put	soap	door	shower
00097	?	put	soap	tap	shower
00098	?	put	soap	hair	shower
00099	?	put	soap	cloth	shower
00100	?	put	soap	rinse	shower
00101	?	put	soap	shampoo and rinse	shower
00102	?	put	soap	fan	shower
