id	score	v	d-obj	p	p-title
00001	0.001151232754522525	wash	everything	i	shower
00002	0.0008502720710852735	wash	everything	washcloth	shower
00003	0.0007194609832260008	wash	everything	face and neck	shower
00004	0.0010481085547169927	wash	everything	face	shower
00005	0.0011221371354571859	wash	everything	conditioner	shower
00006	0.0007383928839496775	wash	everything	undress	shower
00007	0.0007873288576559632	wash	everything	curtain	shower
00008	0.0007194609832260008	wash	everything	door or curtain	shower
00009	0.0005361874844043541	wash	everything	self	shower
00010	0.004675571397738275	wash	everything	body	shower
00011	0.0006073102118542629	wash	everything	your body	shower
00012	0.00041210504594746026	wash	everything	body parts	shower
00013	0.00041210504594746026	wash	everything	certain parts	shower
00014	0.003550244281946462	wash	everything	shampoo	shower
00015	0.0025171210403584898	wash	everything	water	shower
00016	0.0006959207838788113	wash	everything	hot water	shower
00017	0.0007194609832260008	wash	everything	curtain or door	shower
00018	0.0002221028977234347	wash	everything	door	shower
00019	0.0004786174561063761	wash	everything	tap	shower
00020	0.006056529793777701	wash	everything	hair	shower
00021	0.0005508964360278504	wash	everything	cloth	shower
00022	0.00293390615176624	wash	everything	rinse	shower
00023	0.0007194609832260008	wash	everything	shampoo and rinse	shower
00024	0.0003936644288279816	wash	everything	fan	shower
00025	0.00041210504594746026	wash	everything	exhaust fan	shower
00026	0.00041210504594746026	wash	everything	my clothes	shower
00027	0.0018905028279599537	wash	everything	clothes	shower
00028	0.0003936644288279816	wash	everything	tub	shower
00029	0.001652078128810348	wash	everything	bathroom	shower
00030	0.0002461309613165592	wash	everything	lather	shower
00031	0.00041210504594746026	wash	everything	whole head	shower
00032	0.0015441122454698444	wash	everything	towel	shower
00033	0.00020883789893802714	wash	everything	towels	shower
00034	0.00041210504594746026	wash	everything	good temperature	shower
00035	0.0008557226275984869	wash	everything	temperature	shower
00036	0.0009351142795476549	wash	everything	scrub	shower
00037	0.0	wash	everything	scrub soap over your body	shower
00038	0.0014389219664520017	wash	everything	shampoo and soap	shower
00039	0.002908465889169159	wash	everything	soap	shower
00040	0.001151232754522525	close	shower	i	shower
00041	0.0008502720710852735	close	shower	washcloth	shower
00042	0.0007194609832260008	close	shower	face and neck	shower
00043	0.0010481085547169927	close	shower	face	shower
00044	0.0011221371354571859	close	shower	conditioner	shower
00045	0.0007383928839496775	close	shower	undress	shower
00046	0.0007873288576559632	close	shower	curtain	shower
00047	0.0007194609832260008	close	shower	door or curtain	shower
00048	0.0005361874844043541	close	shower	self	shower
00049	0.004675571397738275	close	shower	body	shower
00050	0.0006073102118542629	close	shower	your body	shower
00051	0.00041210504594746026	close	shower	body parts	shower
00052	0.00041210504594746026	close	shower	certain parts	shower
00053	0.003550244281946462	close	shower	shampoo	shower
00054	0.0025171210403584898	close	shower	water	shower
00055	0.0006959207838788113	close	shower	hot water	shower
00056	0.0007194609832260008	close	shower	curtain or door	shower
00057	0.0002221028977234347	close	shower	door	shower
00058	0.0004786174561063761	close	shower	tap	shower
00059	0.006056529793777701	close	shower	hair	shower
00060	0.0005508964360278504	close	shower	cloth	shower
00061	0.00293390615176624	close	shower	rinse	shower
00062	0.0007194609832260008	close	shower	shampoo and rinse	shower
00063	0.0003936644288279816	close	shower	fan	shower
00064	0.00041210504594746026	close	shower	exhaust fan	shower
00065	0.00041210504594746026	close	shower	my clothes	shower
00066	0.0018905028279599537	close	shower	clothes	shower
00067	0.0003936644288279816	close	shower	tub	shower
00068	0.001652078128810348	close	shower	bathroom	shower
00069	0.0002461309613165592	close	shower	lather	shower
00070	0.00041210504594746026	close	shower	whole head	shower
00071	0.0015441122454698444	close	shower	towel	shower
00072	0.00020883789893802714	close	shower	towels	shower
00073	0.00041210504594746026	close	shower	good temperature	shower
00074	0.0008557226275984869	close	shower	temperature	shower
00075	0.0009351142795476549	close	shower	scrub	shower
00076	0.0	close	shower	scrub soap over your body	shower
00077	0.0014389219664520017	close	shower	shampoo and soap	shower
00078	0.002908465889169159	close	shower	soap	shower
00079	0.0007596633297360378	put	soap	i	shower
00080	0.0005610685677285929	put	soap	washcloth	shower
00081	0.00047475032653957865	put	soap	face and neck	shower
00082	0.0006916148202640095	put	soap	face	shower
00083	0.0007404640194548826	put	soap	conditioner	shower
00084	0.00048724290954287004	put	soap	undress	shower
