id	score	v	d-obj	p	p-title
00001	0.09111376027041222	call	dog	food	dog
00002	0.13112246349251058	call	dog	dog food	dog
00003	0.006997366014362842	call	dog	tin of dog food	dog
00004	0.012939684433769943	call	dog	tin	dog
00005	0.016564435069863822	call	dog	pet	dog
00006	0.009406295297995951	call	dog	can of petfood	dog
00007	0.003377985992899358	call	dog	floor	dog
00008	0.011354284441135535	call	dog	dogs	dog
00009	0.029686582903674198	call	dog	dish	dog
00010	0.05288832716917207	call	dog	bowl	dog
00011	0.006901182289079504	call	dog	tin opener	dog
00012	0.002542530429583781	call	dog	can opener	dog
00013	0.03004067059122936	call	dog	dog s	dog
00014	0.05801180515960828	put	food	dog food	dog
00015	0.0030958069505677625	put	food	tin of dog food	dog
00016	0.0057248348772943386	put	food	tin	dog
00017	0.0073285137745052265	put	food	pet	dog
00018	0.004161576556500926	put	food	can of petfood	dog
00019	0.0014945041454560257	put	food	floor	dog
00020	0.005023414899183533	put	food	dogs	dog
00021	0.013134074950939833	put	food	dish	dog
00022	0.023399097677347047	put	food	bowl	dog
00023	0.003053252903137278	put	food	tin opener	dog
00024	0.0011248780412199482	put	food	can opener	dog
00025	0.013290732059056471	put	food	dog s	dog
00026	0.014056084139800884	open	bag	food	dog
00027	0.020228211128579733	open	bag	dog food	dog
00028	0.001079480916636109	open	bag	tin of dog food	dog
00029	0.0019962000536883255	open	bag	tin	dog
00030	0.0025553889157824907	open	bag	pet	dog
00031	0.0014511054944944415	open	bag	can of petfood	dog
00032	0.0005211205771592	open	bag	floor	dog
00033	0.0017516210172664746	open	bag	dogs	dog
00034	0.004579737526788512	open	bag	dish	dog
00035	0.00815906153468905	open	bag	bowl	dog
00036	0.0010646426909778806	open	bag	tin opener	dog
00037	0.00039223517435970745	open	bag	can opener	dog
00038	0.0046343624957764186	open	bag	dog s	dog
00039	0.005038871265246932	pour	water	food	dog
00040	0.007251475644951035	pour	water	dog food	dog
00041	0.0003869758688209703	pour	water	tin of dog food	dog
00042	0.0007156043596617923	pour	water	tin	dog
00043	0.0009160642218131533	pour	water	pet	dog
00044	0.0005201970695626158	pour	water	can of petfood	dog
00045	0.00018681301818200321	pour	water	floor	dog
00046	0.0006279268623979416	pour	water	dogs	dog
00047	0.0016417593688674791	pour	water	dish	dog
00048	0.002924887209668381	pour	water	bowl	dog
00049	0.00038165661289215973	pour	water	tin opener	dog
00050	0.00014060975515249352	pour	water	can opener	dog
