id	score	v	d-obj	p	p-title
000001	?	wash	everything	i	shower
000002	?	wash	everything	washcloth	shower
000003	?	wash	everything	face and neck	shower
000004	?	wash	everything	face	shower
000005	?	wash	everything	conditioner	shower
000006	?	wash	everything	undress	shower
000007	?	wash	everything	curtain	shower
000008	?	wash	everything	door or curtain	shower
000009	?	wash	everything	self	shower
000010	?	wash	everything	body	shower
000011	?	wash	everything	your body	shower
000012	?	wash	everything	body parts	shower
000013	?	wash	everything	certain parts	shower
000014	?	wash	everything	shampoo	shower
000015	?	wash	everything	water	shower
000016	?	wash	everything	hot water	shower
000017	?	wash	everything	curtain or door	shower
000018	?	wash	everything	door	shower
000019	?	wash	everything	tap	shower
000020	?	wash	everything	hair	shower
000021	?	wash	everything	cloth	shower
000022	?	wash	everything	rinse	shower
000023	?	wash	everything	shampoo and rinse	shower
000024	?	wash	everything	fan	shower
000025	?	wash	everything	exhaust fan	shower
000026	?	wash	everything	my clothes	shower
000027	?	wash	everything	clothes	shower
000028	?	wash	everything	tub	shower
000029	?	wash	everything	bathroom	shower
000030	?	wash	everything	lather	shower
000031	?	wash	everything	whole head	shower
000032	?	wash	everything	towel	shower
000033	?	wash	everything	towels	shower
000034	?	wash	everything	good temperature	shower
000035	?	wash	everything	temperature	shower
000036	?	wash	everything	scrub	shower
000037	?	wash	everything	scrub soap over your body	shower
000038	?	wash	everything	shampoo and soap	shower
000039	?	wash	everything	soap	shower
000040	?	close	shower	i	shower
000041	?	close	shower	washcloth	shower
000042	?	close	shower	face and neck	shower
000043	?	close	shower	face	shower
000044	?	close	shower	conditioner	shower
000045	?	close	shower	undress	shower
000046	?	close	shower	curtain	shower
000047	?	close	shower	door or curtain	shower
000048	?	close	shower	self	shower
000049	?	close	shower	body	shower
000050	?	close	shower	your body	shower
000051	?	close	shower	body parts	shower
000052	?	close	shower	certain parts	shower
000053	?	close	shower	shampoo	shower
000054	?	close	shower	water	shower
000055	?	close	shower	hot water	shower
000056	?	close	shower	curtain or door	shower
000057	?	close	shower	door	shower
000058	?	close	shower	tap	shower
000059	?	close	shower	hair	shower
000060	?	close	shower	cloth	shower
000061	?	close	shower	rinse	shower
000062	?	close	shower	shampoo and rinse	shower
000063	?	close	shower	fan	shower
000064	?	close	shower	exhaust fan	shower
000065	?	close	shower	my clothes	shower
000066	?	close	shower	clothes	shower
000067	?	close	shower	tub	shower
000068	?	close	shower	bathroom	shower
000069	?	close	shower	lather	shower
000070	?	close	shower	whole head	shower
000071	?	close	shower	towel	shower
000072	?	close	shower	towels	shower
000073	?	close	shower	good temperature	shower
000074	?	close	shower	temperature	shower
000075	?	close	shower	scrub	shower
000076	?	close	shower	scrub soap over your body	shower
000077	?	close	shower	shampoo and soap	shower
000078	?	close	shower	soap	shower
000079	?	put	soap	i	shower
000080	?	put	soap	washcloth	shower
