id	score	v	d-obj	p	p-title
000001	0.001151232754522525	wash	everything	i	shower
000002	0.0008502720710852735	wash	everything	washcloth	shower
000003	0.0007194609832260008	wash	everything	face and neck	shower
000004	0.0010481085547169927	wash	everything	face	shower
000005	0.0011221371354571859	wash	everything	conditioner	shower
000006	0.0007383928839496775	wash	everything	undress	shower
000007	0.0007873288576559632	wash	everything	curtain	shower
000008	0.0007194609832260008	wash	everything	door or curtain	shower
000009	0.0005361874844043541	wash	everything	self	shower
000010	0.004675571397738275	wash	everything	body	shower
000011	0.0006073102118542629	wash	everything	your body	shower
000012	0.00041210504594746026	wash	everything	body parts	shower
000013	0.00041210504594746026	wash	everything	certain parts	shower
000014	0.003550244281946462	wash	everything	shampoo	shower
000015	0.0025171210403584898	wash	everything	water	shower
000016	0.0006959207838788113	wash	everything	hot water	shower
000017	0.0007194609832260008	wash	everything	curtain or door	shower
000018	0.0002221028977234347	wash	everything	door	shower
000019	0.0004786174561063761	wash	everything	tap	shower
000020	0.006056529793777701	wash	everything	hair	shower
000021	0.0005508964360278504	wash	everything	cloth	shower
000022	0.00293390615176624	wash	everything	rinse	shower
000023	0.0007194609832260008	wash	everything	shampoo and rinse	shower
000024	0.0003936644288279816	wash	everything	fan	shower
000025	0.00041210504594746026	wash	everything	exhaust fan	shower
000026	0.00041210504594746026	wash	everything	my clothes	shower
000027	0.0018905028279599537	wash	everything	clothes	shower
000028	0.0003936644288279816	wash	everything	tub	shower
000029	0.001652078128810348	wash	everything	bathroom	shower
000030	0.0002461309613165592	wash	everything	lather	shower
000031	0.00041210504594746026	wash	everything	whole head	shower
000032	0.0015441122454698444	wash	everything	towel	shower
000033	0.00020883789893802714	wash	everything	towels	shower
000034	0.00041210504594746026	wash	everything	good temperature	shower
000035	0.0008557226275984869	wash	everything	temperature	shower
000036	0.0009351142795476549	wash	everything	scrub	shower
000037	0.0	wash	everything	scrub soap over your body	shower
000038	0.0014389219664520017	wash	everything	shampoo and soap	shower
000039	0.002908465889169159	wash	everything	soap	shower
000040	0.001151232754522525	close	shower	i	shower
000041	0.0008502720710852735	close	shower	washcloth	shower
000042	0.0007194609832260008	close	shower	face and neck	shower
000043	0.0010481085547169927	close	shower	face	shower
000044	0.0011221371354571859	close	shower	conditioner	shower
000045	0.0007383928839496775	close	shower	undress	shower
000046	0.0007873288576559632	close	shower	curtain	shower
000047	0.0007194609832260008	close	shower	door or curtain	shower
000048	0.0005361874844043541	close	shower	self	shower
000049	0.004675571397738275	close	shower	body	shower
000050	0.0006073102118542629	close	shower	your body	shower
000051	0.00041210504594746026	close	shower	body parts	shower
000052	0.00041210504594746026	close	shower	certain parts	shower
000053	0.003550244281946462	close	shower	shampoo	shower
000054	0.0025171210403584898	close	shower	water	shower
000055	0.0006959207838788113	close	shower	hot water	shower
000056	0.0007194609832260008	close	shower	curtain or door	shower
000057	0.0002221028977234347	close	shower	door	shower
000058	0.0004786174561063761	close	shower	tap	shower
000059	0.006056529793777701	close	shower	hair	shower
000060	0.0005508964360278504	close	shower	cloth	shower
000061	0.00293390615176624	close	shower	rinse	shower
000062	0.0007194609832260008	close	shower	shampoo and rinse	shower
000063	0.0003936644288279816	close	shower	fan	shower
000064	0.00041210504594746026	close	shower	exhaust fan	shower
000065	0.00041210504594746026	close	shower	my clothes	shower
000066	0.0018905028279599537	close	shower	clothes	shower
000067	0.0003936644288279816	close	shower	tub	shower
000068	0.001652078128810348	close	shower	bathroom	shower
000069	0.0002461309613165592	close	shower	lather	shower
000070	0.00041210504594746026	close	shower	whole head	shower
000071	0.0015441122454698444	close	shower	towel	shower
000072	0.00020883789893802714	close	shower	towels	shower
000073	0.00041210504594746026	close	shower	good temperature	shower
000074	0.0008557226275984869	close	shower	temperature	shower
000075	0.0009351142795476549	close	shower	scrub	shower
000076	0.0	close	shower	scrub soap over your body	shower
000077	0.0014389219664520017	close	shower	shampoo and soap	shower
000078	0.002908465889169159	close	shower	soap	shower
000079	0.0007596633297360378	put	soap	i	shower
000080	0.0005610685677285929	put	soap	washcloth	shower
000081	0.00047475032653957865	put	soap	face and neck	shower
000082	0.0006916148202640095	put	soap	face	shower
000083	0.0007404640194548826	put	soap	conditioner	shower
000084	0.00048724290954287004	put	soap	undress	shower
000085	0.000519534263818149	put	soap	curtain	shower
000086	0.00047475032653957865	put	soap	door or curtain	shower
000087	0.0003538137428467614	put	soap	self	shower
000088	0.003085266747728678	put	soap	body	shower
000089	0.0004007454582121004	put	soap	your body	shower
000090	0.00027193553186845597	put	soap	body parts	shower
000091	0.00027193553186845597	put	soap	certain parts	shower
000092	0.0023426977576905005	put	soap	shampoo	shower
000093	0.001660971287826537	put	soap	water	shower
000094	0.00045921686803738994	put	soap	hot water	shower
000095	0.00047475032653957865	put	soap	curtain or door	shower
000096	0.0001465589179649299	put	soap	door	shower
